,Frame Number,Rotation Vector
0,0.0,"[-1.1510839580911465, 0.30209855710459543, -2.928575265371652]"
1,1.0,"[-1.1512379095020628, 0.3012962138108705, -2.9284251810948043]"
2,2.0,"[-1.152161843601648, 0.30303518774057253, -2.9282860099973926]"
3,3.0,"[-1.152296398877642, 0.30269665989276334, -2.9283350817797253]"
4,4.0,"[-1.152554772110952, 0.3024701669031148, -2.9284585072276634]"
5,5.0,"[-1.152867123398031, 0.3024905904827, -2.9285675818052908]"
6,6.0,"[-1.1526145820602245, 0.30294132603539214, -2.9285694366497954]"
7,7.0,"[-1.152859184128772, 0.3030694212401775, -2.928591030441744]"
8,8.0,"[-1.1527895934009924, 0.30304711467718615, -2.9286193136086713]"
9,9.0,"[-1.1527604150481554, 0.30344304863894206, -2.928662651870047]"
10,10.0,"[-1.1529519913024886, 0.3029718776289427, -2.928631606201213]"
11,11.0,"[-1.1528370901937066, 0.3028706746266745, -2.9287378477927306]"
12,12.0,"[-1.1528015235456852, 0.30298218064017596, -2.9287664973344447]"
13,13.0,"[-1.1526960745533787, 0.3027584084067601, -2.9287370822768026]"
14,14.0,"[-1.1526510773187595, 0.3028087710493553, -2.928660814405429]"
15,15.0,"[-1.152651153971656, 0.30280914281300697, -2.9286607761967307]"
16,16.0,"[-1.1526336024065231, 0.3027844712618977, -2.928690822036659]"
17,17.0,"[-1.1526291459599969, 0.3026411438993238, -2.9286862352252245]"
18,18.0,"[-1.1526510009968023, 0.3027905700927408, -2.9286817734231505]"
19,19.0,"[-1.1526054697438548, 0.3027533384259855, -2.9286800655653247]"
20,20.0,"[-1.1523115122048826, 0.30345695187972266, -2.9290037575859458]"
21,21.0,"[-1.1521752661201579, 0.3035241899033687, -2.9290590178221683]"
22,22.0,"[-1.1521749761348803, 0.3035241992979044, -2.9290591066730696]"
23,23.0,"[-1.1521742315555077, 0.3035260834294477, -2.929058994593789]"
24,24.0,"[-1.152174197068847, 0.30352523899839917, -2.929059048354159]"
25,25.0,"[-1.1521737383744841, 0.3035256390157004, -2.9290590951752606]"
26,26.0,"[-1.1521738131877444, 0.3035250535293198, -2.929059106432511]"
27,27.0,"[-1.1521727035295617, 0.3035267568908843, -2.9290588805495688]"
