,Frame Number,Rotation Vector
0,0.0,"[0.28641060661107004, 0.13252418143402847, -3.109876825575398]"
1,1.0,"[0.2889581534745578, 0.13594899987909553, -3.1102350639318592]"
2,2.0,"[0.28018256075510034, 0.13710256649834268, -3.0924456057705814]"
3,3.0,"[0.28738930536875384, 0.13979128843874414, -3.092372213772018]"
4,4.0,"[0.2771163301836442, 0.12389429930056987, -3.086802308485855]"
5,5.0,"[0.2696463879097096, 0.11048595084712996, -3.076098888268306]"
6,6.0,"[0.26872044707934256, 0.11809488778554493, -3.0605071757805753]"
7,7.0,"[0.2940198066589327, 0.11425858904280997, -3.0385171612841826]"
8,8.0,"[0.2960452237940936, 0.14186248143169117, -3.0177337489366045]"
9,9.0,"[0.32744086529224886, 0.1318467615694451, -3.0174789212321773]"
10,10.0,"[0.3243716835704594, 0.14799885320402587, -3.009643389254756]"
11,11.0,"[0.3193359629176126, 0.1345885380705076, -3.0080902904305153]"
12,12.0,"[0.32053507603366777, 0.13396915424029085, -2.998615775522322]"
13,13.0,"[0.33960551391023436, 0.1357652731325745, -2.984305380759186]"
14,14.0,"[0.3635303647712579, 0.15052826263981336, -2.9648066209655846]"
15,15.0,"[0.3661550951774781, 0.13450205345679175, -2.9718639994455955]"
16,16.0,"[0.4089202365369798, 0.16231263666310491, -2.9661479299939075]"
17,17.0,"[0.41422079509033705, 0.1611088814204805, -2.972276960893107]"
18,18.0,"[0.45060786797770297, 0.18046211987930136, -2.980577128586595]"
19,19.0,"[0.49686995261516936, 0.19704274185989953, -2.9973624901965197]"
20,20.0,"[0.4547335261261314, 0.16668442171138695, -3.011673342785005]"
21,21.0,"[0.45364317615756006, 0.16723875816649966, -3.0384525294576026]"
22,22.0,"[0.4571384018039279, 0.1771339917793114, -3.053894329365677]"
23,23.0,"[0.4645724863933522, 0.18201463708324528, -3.067484120848247]"
24,24.0,"[0.4632606251021799, 0.17023645763921882, -3.081550655714493]"
25,25.0,"[0.4599700394663319, 0.17425805791411125, -3.0905566999049614]"
26,26.0,"[0.47170695485132697, 0.167588279328654, -3.091073439897741]"
27,27.0,"[0.46330719285770877, 0.15826962952368165, -3.092667693127393]"
28,28.0,"[0.4536442426909929, 0.14435768187883638, -3.0918202144546787]"
29,29.0,"[0.45517857396926437, 0.15809858933010762, -3.085161736714217]"
30,30.0,"[0.45346277230096627, 0.16410046010595647, -3.079923506488416]"
31,31.0,"[0.4728949897204169, 0.17403248447491373, -3.0760958967350147]"
32,32.0,"[0.4662623063087483, 0.16303999867939822, -3.0733779705506046]"
33,33.0,"[0.4647305732207328, 0.1640284200028088, -3.075710017196473]"
34,34.0,"[0.4628738416313991, 0.16120059449268573, -3.0785132153302888]"
35,35.0,"[0.4573565420250922, 0.14860007257242178, -3.081144671700899]"
36,36.0,"[0.45287711728240093, 0.15708435259306522, -3.0836651091692158]"
37,37.0,"[0.4525521354768387, 0.15061892059192022, -3.085920768857909]"
38,38.0,"[0.4444830645713291, 0.15700454106750725, -3.0872575755700433]"
39,39.0,"[0.4448660503045395, 0.16923566424079364, -3.1004879291986853]"
40,40.0,"[0.4554474336023424, 0.17115332343764797, -3.104452622138244]"
41,41.0,"[0.458396524966258, 0.19022408680130984, -3.117365274067573]"
42,42.0,"[0.4363761620388011, 0.19408199341328736, -3.1354703954244543]"
43,43.0,"[0.4332335756819119, 0.18350189776062173, -3.1472048565445725]"
44,44.0,"[0.4528792607533949, 0.20467431859531468, -3.1615561448750977]"
45,45.0,"[0.4464468281212746, 0.2186856695459571, -3.1835197105824493]"
46,46.0,"[0.43213690718790365, 0.210629299394456, -3.184128095476079]"
47,47.0,"[0.45435630250218906, 0.2202756974150813, -3.1896377605256285]"
48,48.0,"[0.44340023057682587, 0.2177253947748511, -3.1878418983249084]"
49,49.0,"[0.4306652065143644, 0.2188018770386132, -3.1952930375472994]"
50,50.0,"[0.40602499260333136, 0.21122557173405254, -3.1923618586253593]"
51,51.0,"[0.41806876442496704, 0.2284425032739713, -3.2006626933638573]"
52,52.0,"[0.421662012808528, 0.21659720343908576, -3.187305624059423]"
53,53.0,"[0.41328101277752827, 0.22787677717577645, -3.1787499954062195]"
54,54.0,"[0.41409459949955046, 0.2387961709070632, -3.193977361064904]"
55,55.0,"[0.40164791496197033, 0.19647293706132776, -3.1972847914335465]"
56,56.0,"[0.3841961315983919, 0.20035490413409052, -3.2075429209757313]"
57,57.0,"[0.3798270760304355, 0.22587689471299258, -3.200394338365539]"
58,58.0,"[0.4155690953965547, 0.23576626291581093, -3.1876782804159975]"
59,59.0,"[0.4152245418122816, 0.2113731377824575, -3.1907201450543363]"
60,60.0,"[0.41620811371600175, 0.20808897966190795, -3.1894778128201207]"
61,61.0,"[0.4161213377573133, 0.20777229170795172, -3.1727644449145953]"
62,62.0,"[0.39733610248773116, 0.19067333272278836, -3.171488588899729]"
63,63.0,"[0.4327508344397399, 0.17301629182797892, -3.1474914652190353]"
64,64.0,"[0.4329415379069332, 0.15355539151554323, -3.1352410242131326]"
65,65.0,"[0.43033743502034527, 0.15382746297308555, -3.141365524908731]"
66,66.0,"[0.42625640522484043, 0.1648416231054532, -3.1318332206624744]"
67,67.0,"[0.4375399854747669, 0.1628955142177829, -3.127344592970926]"
68,68.0,"[0.44167107247704096, 0.1374936915566974, -3.1144144547844252]"
69,69.0,"[0.4237530511713925, 0.12285193261583242, -3.1147581474501145]"
70,70.0,"[0.4149474241743559, 0.1047854847573738, -3.107123682548426]"
71,71.0,"[0.39859281493754506, 0.10848706045514037, -3.1005877468881367]"
72,72.0,"[0.37078744431817645, 0.09738896836205953, -3.089720146949771]"
73,73.0,"[0.3702020242620188, 0.09660913034294037, -3.0788917754885436]"
74,74.0,"[0.37758325150653926, 0.1093249562335262, -3.082218069677216]"
75,75.0,"[0.3692685065085571, 0.10173426717722449, -3.084282607759025]"
76,76.0,"[0.39589411896142246, 0.14791440956076604, -3.0867419919603094]"
77,77.0,"[0.3649991731757948, 0.17054036822630356, -3.107486054035971]"
