,Frame Number,Rotation Vector
0,0.0,"[0.07812838755650423, 0.08345525115211867, -2.939033979149921]"
1,1.0,"[0.10151309575862746, 0.10403939721156784, -2.952234899173833]"
2,2.0,"[0.16794682302251718, 0.15830343254168933, -2.9457691333017118]"
3,3.0,"[0.23523473432599643, 0.24115278840951976, -2.941223209208402]"
4,4.0,"[0.2955040702686387, 0.3194862135834901, -2.9197754532147107]"
5,5.0,"[0.36189550523449876, 0.35900968816031287, -2.9431406233741915]"
6,6.0,"[0.3888261000563004, 0.37765283338581657, -2.9543611838697674]"
7,7.0,"[0.4110456126079084, 0.41100714426681667, -2.9798482622751337]"
8,8.0,"[0.40512737171935137, 0.43588228874027646, -2.985794705513002]"
9,9.0,"[0.3789144982004646, 0.44946810531100634, -2.9888900856841643]"
10,10.0,"[0.35190369332162114, 0.43923480877384014, -2.989146243464005]"
11,11.0,"[0.32165457843801715, 0.4301722265941174, -2.975631712753096]"
12,12.0,"[0.28796574577068584, 0.4188433798089735, -2.9596271046300577]"
13,13.0,"[0.2712279254373402, 0.43445782234959995, -2.951445686520957]"
14,14.0,"[0.2618999856172188, 0.45064086482195376, -2.9485641319144458]"
15,15.0,"[0.27263641424498664, 0.45479856362671334, -2.9594663703235637]"
16,16.0,"[0.26550745629207867, 0.46011897334620877, -2.967648140868421]"
17,17.0,"[0.27384795004049084, 0.4735200996915056, -2.9656370616617913]"
18,18.0,"[0.28797466386118237, 0.5113525253780953, -2.986373792315696]"
19,19.0,"[0.2977032260995625, 0.5152434990682405, -2.9932648791510847]"
20,20.0,"[0.30119425743035955, 0.5046784905919712, -2.987270444028302]"
21,21.0,"[0.3011681693506062, 0.5014075531031769, -2.972761106946263]"
22,22.0,"[0.32113205603916817, 0.48176323222405376, -2.964057720825126]"
23,23.0,"[0.31937342073071334, 0.47697191932212535, -2.963975763801744]"
24,24.0,"[0.3261302244640992, 0.5003030509176817, -2.9581898435001226]"
25,25.0,"[0.3521172616123052, 0.4992012869543838, -2.97948933067473]"
26,26.0,"[0.3514219422564095, 0.5008084067563772, -2.985508394649112]"
27,27.0,"[0.3539653220045086, 0.4915025911675041, -2.9882208489322]"
28,28.0,"[0.34413976095497006, 0.49901195502516676, -2.976152366863325]"
29,29.0,"[0.33708355213178764, 0.4751002921258574, -2.9790758260343084]"
30,30.0,"[0.33469920693768274, 0.4695280841773177, -2.9666737664254375]"
31,31.0,"[0.3381345321995242, 0.4726104720331535, -2.968472217197007]"
32,32.0,"[0.3469141915321419, 0.47833542915240645, -2.9653387255474124]"
33,33.0,"[0.354699049546524, 0.48512894675181173, -2.974632627833227]"
34,34.0,"[0.351470240924178, 0.47830587253513285, -2.9864050646062275]"
35,35.0,"[0.3298327055616864, 0.4599019661993554, -2.983646877115003]"
36,36.0,"[0.34128302553379786, 0.46039404295079434, -2.9653152246415564]"
37,37.0,"[0.3420407264316767, 0.45767992821507086, -2.961422719805035]"
38,38.0,"[0.337310664941768, 0.472392003547579, -2.9654053891646037]"
39,39.0,"[0.33330550775387097, 0.48142624569974574, -2.963190277912824]"
40,40.0,"[0.33633132311980474, 0.49832009494229185, -2.9660264719571945]"
41,41.0,"[0.3257214658717532, 0.5062814519911244, -2.9765064436593125]"
42,42.0,"[0.33029288839611504, 0.508847472976952, -2.989609481353323]"
43,43.0,"[0.3231896726742355, 0.5087353071824351, -2.988108574777557]"
44,44.0,"[0.3250053229125624, 0.5044992319865884, -2.9821497957836782]"
45,45.0,"[0.34290902159772063, 0.503805227699093, -2.9765406991735612]"
46,46.0,"[0.3564092742661407, 0.5076784516821754, -2.989354365203918]"
47,47.0,"[0.342633404655734, 0.5105874180444954, -2.9918746416363273]"
48,48.0,"[0.36626786901256947, 0.50708799537524, -2.9939696125347735]"
49,49.0,"[0.3957880259660609, 0.49848847849389966, -3.004834943668481]"
50,50.0,"[0.4110926711949574, 0.4753775715485311, -3.020257051686126]"
51,51.0,"[0.41384482172713993, 0.43105317386556047, -2.9933169680661655]"
52,52.0,"[0.37721582972793805, 0.4167870008757698, -2.991439012453348]"
53,53.0,"[0.32692760591120096, 0.4166579342762502, -2.9839318340746503]"
54,54.0,"[0.34482930643322435, 0.40998235353064266, -2.990444607931971]"
55,55.0,"[0.3458055035773331, 0.40973644898024086, -2.9887943395545253]"
56,56.0,"[0.3431945260673347, 0.43857799355549226, -2.9811726882791754]"
57,57.0,"[0.3551231998861654, 0.45199930515150877, -2.999526449067334]"
58,58.0,"[0.34250088903409914, 0.4618631440880206, -3.0067155465310424]"
59,59.0,"[0.3444294271600987, 0.4581631487683351, -3.006897264179738]"
60,60.0,"[0.3578918762128978, 0.4368236532213188, -2.999837706736039]"
61,61.0,"[0.3692464554355718, 0.41761932947728825, -2.9967260464885306]"
62,62.0,"[0.3271494241464671, 0.42383105002437277, -2.9778338875795103]"
63,63.0,"[0.32760765324026303, 0.43118444200205386, -2.9611276950664904]"
64,64.0,"[0.3184546683989451, 0.43044143734980544, -2.9591695180356563]"
65,65.0,"[0.3326502620292244, 0.43642577006039807, -2.957663366282474]"
66,66.0,"[0.3224943230447553, 0.43931594167995586, -2.962733837952486]"
67,67.0,"[0.33491981621888806, 0.4550637671414883, -2.96824439836604]"
68,68.0,"[0.3422125923471873, 0.4371187910714333, -2.969850745800113]"
69,69.0,"[0.3394796756659753, 0.39996145412086165, -2.9790835747950246]"
70,70.0,"[0.33050657431182673, 0.3817932953669782, -2.9815726933312576]"
71,71.0,"[0.3236701194850257, 0.422483419952093, -2.9570671675999374]"
72,72.0,"[0.33412740292199655, 0.4445648585460905, -2.946239497422254]"
73,73.0,"[0.3348807521221024, 0.4482748617597899, -2.949619028134814]"
74,74.0,"[0.3377520711023151, 0.4459811702478346, -2.952643820932059]"
75,75.0,"[0.34189220625651884, 0.4341463337715103, -2.9467683432942233]"
76,76.0,"[0.31093124454131477, 0.42288891520613575, -2.948458968064184]"
77,77.0,"[0.2523471790468872, 0.42026687540793584, -2.944076998111522]"
