,Frame Number,Rotation Vector
0,0.0,"[0.3105823838042722, 0.18991623701517837, -3.0482646778792426]"
1,1.0,"[0.3296890655507361, 0.20227793351664622, -3.0470362400147644]"
2,2.0,"[0.34523905334545885, 0.21245360305113603, -3.0436034795448452]"
3,3.0,"[0.35878138605672233, 0.22799906826113828, -3.042017612834043]"
4,4.0,"[0.3926835587549557, 0.22169483480192617, -3.0085858937738306]"
5,5.0,"[0.4072886932069225, 0.2111304536684796, -3.0091109529971676]"
6,6.0,"[0.38403679314048356, 0.22382384598009458, -2.9987703234343877]"
7,7.0,"[0.37068132570478174, 0.2454318715859145, -2.999814392191261]"
8,8.0,"[0.36522604993883057, 0.2590680692507146, -3.023488543434681]"
9,9.0,"[0.35094315816049343, 0.25427636404729753, -3.006496788341596]"
10,10.0,"[0.34046753718868766, 0.2918483315902514, -3.0029720328443226]"
11,11.0,"[0.3141385704649476, 0.27502672763143376, -3.0272312555014977]"
12,12.0,"[0.28780874635347753, 0.28031151339927013, -3.0440076650541688]"
13,13.0,"[0.30584339173388236, 0.24409873025438067, -3.0440692368825535]"
14,14.0,"[0.38319253915602447, 0.22042030195441548, -3.0215230301908638]"
15,15.0,"[0.36582641489288226, 0.1819068510422316, -3.017126919108593]"
16,16.0,"[0.41663444989228304, 0.20456383997809732, -2.9981552828221045]"
17,17.0,"[0.39754453451096794, 0.19449167071640655, -2.9973125053758034]"
18,18.0,"[0.4113905121058881, 0.23169429346216852, -2.9989803254326657]"
19,19.0,"[0.36570664515815615, 0.2626180209207361, -2.9989642025356553]"
20,20.0,"[0.3720456091507218, 0.2872353390232164, -3.026932760910666]"
21,21.0,"[0.33613917348362166, 0.27099323458675484, -3.0387257575853726]"
22,22.0,"[0.3052747254938695, 0.3052064734748015, -3.0267699834026596]"
23,23.0,"[0.2878796854774284, 0.2809604838365842, -3.0509070775593234]"
24,24.0,"[0.2442766147252387, 0.2589923028529993, -3.07714791797191]"
25,25.0,"[0.2526601307464282, 0.25882089018362514, -3.0775650139401307]"
26,26.0,"[0.2018874922291749, 0.26189136508182986, -3.0666667283752016]"
27,27.0,"[0.14713425733258384, 0.2492933664202109, -3.079040521559907]"
28,28.0,"[0.05500048476533605, 0.2512278300461228, -3.1020537506268004]"
29,29.0,"[-0.11942291345678807, 0.2950952356178259, -3.1132971821812068]"
30,30.0,"[-0.3559265571720746, 0.31466566617412844, -3.063056315343974]"
31,31.0,"[-0.5111556761965814, 0.3486492827582779, -3.005316983281931]"
32,32.0,"[-0.5689070934223003, 0.3589284955873298, -2.987975184999357]"
33,34.0,"[-0.5713117600441188, 0.43043720535202123, -3.0296092562692634]"
34,35.0,"[-0.5685698094684297, 0.41978363748416814, -3.0451147477286313]"
35,36.0,"[-0.5522572780837354, 0.4049257414493262, -3.009836945959729]"
36,37.0,"[-0.513023833040538, 0.4120733374565389, -3.0578580128190067]"
37,38.0,"[-0.46276294478488583, 0.4035013058785203, -3.076729366362297]"
38,39.0,"[-0.42983779840473496, 0.3886072554649562, -3.0677275911408994]"
39,40.0,"[-0.4534765410417898, 0.36917589143749724, -3.070312150076781]"
40,41.0,"[-0.5050048129865689, 0.30752025215364, -3.0592231731991375]"
