,Frame Number,Rotation Vector
0,0.0,"[-0.2585975945183349, 0.1061224790246206, -3.268808864554935]"
1,1.0,"[-0.262388683510056, 0.1125701103400653, -3.271626732470618]"
2,2.0,"[-0.2729183964417963, 0.12964812875607346, -3.277797181183058]"
3,3.0,"[-0.2654431855995628, 0.14065753846686005, -3.2793804207150243]"
4,4.0,"[-0.27820857019909934, 0.16282530947157736, -3.278863328466956]"
5,5.0,"[-0.29052308475773314, 0.18553587831452856, -3.277024232519531]"
6,6.0,"[-0.2999330018900217, 0.1881484185127619, -3.282268269298901]"
7,7.0,"[-0.30971589819386697, 0.19547925772766628, -3.2810699105715173]"
8,8.0,"[-0.3065621173916483, 0.1961405080212328, -3.2820308035259607]"
9,9.0,"[-0.2964337914790909, 0.20114217355199124, -3.2847055612349547]"
10,10.0,"[-0.30163363940117577, 0.20259273156946728, -3.2873810217376604]"
11,11.0,"[-0.3050603231899147, 0.20388182916763062, -3.2823003989016417]"
12,12.0,"[-0.3137416936576995, 0.20934403073905575, -3.2791198186744115]"
13,13.0,"[-0.31417787716709256, 0.2204318595852122, -3.276817517458952]"
14,14.0,"[-0.3106855340205421, 0.22159529086474353, -3.280936275067173]"
15,15.0,"[-0.3130876486967067, 0.2271122637206442, -3.2807162851760316]"
16,16.0,"[-0.306840569868811, 0.22703773714722872, -3.2835234324122218]"
17,17.0,"[-0.32467859327802684, 0.23608930583025792, -3.27969538485061]"
18,18.0,"[-0.3324866515260266, 0.23720667227441108, -3.2787881978768887]"
19,19.0,"[-0.3463412660208874, 0.2326253450348665, -3.2754823857201796]"
20,20.0,"[-0.34852854364352664, 0.23448380199275334, -3.270128289311537]"
21,21.0,"[-0.35561431070756755, 0.23019266591648138, -3.265776815964668]"
22,22.0,"[-0.3539244615764991, 0.23538069717626403, -3.2669270459443807]"
23,23.0,"[-0.33943990785459893, 0.26393991486075863, -3.262851917793845]"
24,24.0,"[-0.34866711552193824, 0.2706862455520073, -3.2581172136007797]"
25,25.0,"[-0.3537295666656992, 0.28109522408951326, -3.259431011764589]"
26,26.0,"[-0.3632940093509516, 0.270853313076903, -3.2626499232084796]"
27,27.0,"[-0.365012439065061, 0.2630154589941002, -3.2635727114073516]"
28,28.0,"[-0.3719657568321853, 0.26732995128737447, -3.2643463476458905]"
29,29.0,"[-0.36983941841713885, 0.27074136774242397, -3.2644152057004114]"
30,30.0,"[-0.3716524754007019, 0.27687047076284577, -3.2575012454865164]"
