,Frame Number,Rotation Vector
0,0.0,"[0.538121251031047, 0.18025665986760603, -3.1911167746099656]"
1,1.0,"[0.5315799152877523, 0.20429404003537885, -3.193659286944798]"
2,2.0,"[0.5221660746370471, 0.2497100485574783, -3.201012495132041]"
3,3.0,"[0.4838048819006717, 0.18860203933211847, -3.2171085607655745]"
4,4.0,"[0.4567749286337043, 0.20025954389732126, -3.223530913702382]"
5,5.0,"[0.42613316368503773, 0.18675221388824925, -3.225108270374425]"
6,6.0,"[0.39517789424654376, 0.18182116338107904, -3.228190116587426]"
7,7.0,"[0.3943900512886287, 0.20658297343774124, -3.2245889507684407]"
8,8.0,"[0.37172309526659736, 0.2196640202880072, -3.2358102043032475]"
9,9.0,"[0.3455222469199771, 0.2219935391292026, -3.2461448997634417]"
10,10.0,"[0.3185671547735259, 0.2128546738360975, -3.260647481693901]"
11,11.0,"[0.3019240530454229, 0.20258040346411338, -3.2695307359557115]"
12,12.0,"[0.2973606233102037, 0.23772544705756668, -3.257182098872501]"
13,13.0,"[0.24374236848882694, 0.2278034170155366, -3.2611796850863786]"
14,14.0,"[0.2186196010295157, 0.20813865190531447, -3.270485000247332]"
15,15.0,"[0.21661341158741493, 0.21083168661030574, -3.2681061749990956]"
16,16.0,"[0.2148821640218693, 0.19235500127222643, -3.271382497706828]"
17,17.0,"[0.21806928143816998, 0.18192253337978853, -3.271487815755718]"
18,18.0,"[0.17482342395491987, 0.16026028752155713, -3.2679721584146324]"
19,19.0,"[0.16043945429880038, 0.14423034759922995, -3.268156027296867]"
20,20.0,"[0.13223306591879183, 0.13570435017997554, -3.2665907843433484]"
21,21.0,"[0.12752517045848427, 0.13253278256638903, -3.2838994116422]"
22,22.0,"[0.1590467638980876, 0.09833847660036292, -3.2699400857860272]"
23,23.0,"[0.17662708959972337, 0.11727582714296947, -3.2764571064742425]"
24,24.0,"[0.1525177457886592, 0.049511679519233756, -3.2736760432581837]"
25,25.0,"[0.2037208216917669, 0.07267558854564675, -3.2753739586158495]"
26,26.0,"[0.26680259958450664, 0.12633730602664425, -3.264892204101459]"
27,27.0,"[0.30445337230936925, 0.15066980309432618, -3.2536978105865417]"
28,28.0,"[0.3313509129238074, 0.1399169139762473, -3.243789088314955]"
29,29.0,"[0.34026318094025854, 0.19821937885415286, -3.2375532571580905]"
30,30.0,"[0.3165015850852982, 0.15817100610329893, -3.2462590399997664]"
31,31.0,"[0.3153913093828936, 0.14144388667396032, -3.2468349062257413]"
32,32.0,"[0.33538471922397306, 0.17517194680409695, -3.2381227346267387]"
33,33.0,"[0.33872292742741966, 0.1752374884432195, -3.2339198734327916]"
34,34.0,"[0.3142838910614674, 0.16693365994867124, -3.236770225593894]"
35,35.0,"[0.3371005873174291, 0.17105675226061934, -3.2287744945553243]"
36,36.0,"[0.34747074461291266, 0.18475314467070028, -3.2046184002819156]"
37,37.0,"[0.33953659747727966, 0.15132147095255397, -3.194339480935387]"
38,38.0,"[0.35393265725453227, 0.15072640821420907, -3.1897724758074393]"
39,39.0,"[0.38433198175009364, 0.20079211699675356, -3.1965490231787728]"
40,40.0,"[0.3851406317765383, 0.22009134357591123, -3.2067216402312613]"
41,41.0,"[0.43761599917053096, 0.22648309730376276, -3.2239544719067545]"
42,42.0,"[0.41694896086299954, 0.23280718533621267, -3.223733026997058]"
43,43.0,"[0.4756143000480119, 0.2432869590190247, -3.2149878535230396]"
44,44.0,"[0.4803267345500234, 0.253083178542127, -3.201569755483741]"
45,45.0,"[0.5166380261346722, 0.267550599608582, -3.2035293577829873]"
46,46.0,"[0.5152779366026697, 0.2227601034345021, -3.2005025389782316]"
47,47.0,"[0.5299235487625262, 0.2253792831416946, -3.203615084257366]"
48,48.0,"[0.5243805843072946, 0.2341992642525039, -3.2147800222240277]"
49,49.0,"[0.5549394280748955, 0.27747101210770464, -3.2049528454551663]"
50,50.0,"[0.5791308450776544, 0.2877506218388549, -3.202739806594945]"
51,51.0,"[0.579773663181335, 0.28237261705928435, -3.1902889072170617]"
52,52.0,"[0.5935119614018111, 0.30270564000751904, -3.1724723162355524]"
53,53.0,"[0.6233250616901913, 0.29623095862554316, -3.1893787043755646]"
54,54.0,"[0.6396044295517541, 0.3066421969415549, -3.1802417123612603]"
55,55.0,"[0.7037906737300891, 0.2807206204923644, -3.1761599058797643]"
56,56.0,"[0.6983576806248182, 0.28115316042362937, -3.177311611647407]"
57,57.0,"[0.6847023917291134, 0.25128778743323915, -3.188353865275258]"
58,58.0,"[0.7054595576669292, 0.22564140495989862, -3.194220429061182]"
59,59.0,"[0.7180932084977875, 0.21820095231186581, -3.189297505815985]"
60,60.0,"[0.7220294261088896, 0.2549242665890331, -3.167020808950757]"
61,61.0,"[0.7031794193465231, 0.2510223402671014, -3.1639455443057667]"
62,62.0,"[0.7146324940269255, 0.21386973251107366, -3.1710608764030694]"
63,63.0,"[0.6900179353492445, 0.1879511183910625, -3.168423729264186]"
64,64.0,"[0.7003399806782461, 0.19463003403727144, -3.1634329796545724]"
65,65.0,"[0.7132700433868224, 0.2242465758375406, -3.152484322940784]"
66,66.0,"[0.7446481074426425, 0.26831909873639037, -3.150509310095266]"
67,67.0,"[0.7666420343148546, 0.30202077119673354, -3.1464632847102005]"
68,68.0,"[0.7541549009566959, 0.26468744863331906, -3.1381683774510583]"
69,69.0,"[0.7475453463889169, 0.2615799211861934, -3.1380687082725673]"
70,70.0,"[0.7602051406469789, 0.24739320456558367, -3.1397856106590982]"
71,71.0,"[0.7778900588378881, 0.2514550711502852, -3.1395214988993563]"
72,72.0,"[0.7792488827852018, 0.26554008646419197, -3.1404533696083994]"
73,73.0,"[0.7589379714951674, 0.20131869191980292, -3.141848401950717]"
74,74.0,"[0.7685900963250507, 0.1728379890175757, -3.1404649663404016]"
75,75.0,"[0.7453652965622232, 0.19838346963539957, -3.1330010675189164]"
76,76.0,"[0.7640947767525875, 0.22578486808906187, -3.108652836261756]"
77,77.0,"[0.7722600635722413, 0.21121659581234964, -3.11384984330417]"
78,78.0,"[0.7557918801018481, 0.2290041118618429, -3.131624049235526]"
79,79.0,"[0.7164479617951146, 0.2504566606930015, -3.14409061212536]"
80,80.0,"[0.713312980681106, 0.2631309558992089, -3.1471166796019285]"
81,81.0,"[0.6959886378538234, 0.26551435482154606, -3.1478683058721333]"
82,82.0,"[0.7072355094690307, 0.2822391544924599, -3.1415863329115212]"
83,83.0,"[0.6950041119388877, 0.2837253513017235, -3.143040782523734]"
84,84.0,"[0.6751587863508851, 0.2661813382083005, -3.1524326681248143]"
85,85.0,"[0.6902795714225016, 0.2984290947978231, -3.1411766429077086]"
86,86.0,"[0.7000974824675266, 0.3006789639897921, -3.1399558225904474]"
87,87.0,"[0.6882816966804941, 0.28569901571874445, -3.140475580435646]"
88,88.0,"[0.6943639750378947, 0.3002936097907068, -3.136497902574484]"
89,89.0,"[0.691484179684747, 0.28194633846625633, -3.1380119532403024]"
90,90.0,"[0.6940541921351283, 0.29161437301745136, -3.13799207356654]"
91,91.0,"[0.7078193086028752, 0.3040850710350105, -3.1356732958395788]"
92,92.0,"[0.7190156028254362, 0.3088840300923368, -3.133181775158041]"
93,93.0,"[0.709334609910608, 0.3113581863302454, -3.1390617239076186]"
94,94.0,"[0.7095057492033364, 0.31432367008847784, -3.1398074559309825]"
