,Frame Number,Rotation Vector
0,0.0,"[-0.25773754052913694, -0.01470387188855502, -3.2902891047567184]"
1,1.0,"[-0.2583325164196758, -0.013384195816848956, -3.2774001195759355]"
2,2.0,"[-0.31127793070385573, 0.04398244722962988, -3.2741365510850766]"
3,3.0,"[-0.3436974176909529, 0.010507125531463412, -3.248749500932352]"
4,4.0,"[-0.4162173130465959, 0.0033431243421056618, -3.2201771895377274]"
5,5.0,"[-0.41035838340330255, -0.004113623417679325, -3.222422565529846]"
6,6.0,"[-0.4728852049614214, 0.0015231512047055953, -3.1885405891782255]"
7,7.0,"[-0.5064113444409636, 0.010870287032041594, -3.186168915491594]"
8,8.0,"[-0.518831222220418, -0.049937303494348016, -3.177528932730133]"
9,9.0,"[-0.5514000483450472, -0.07323930983471913, -3.1757991077275682]"
10,10.0,"[-0.5869833971380136, -0.027077769641361014, -3.168311127707784]"
11,11.0,"[-0.5883386878541216, -0.032787217295349565, -3.1727157793363885]"
12,12.0,"[-0.6084737087288965, -0.02522685267564766, -3.1649998575931164]"
13,13.0,"[-0.6764019551911273, 0.031489267732371574, -3.1352429151787797]"
14,14.0,"[-0.6561001356509932, 0.030305844384420168, -3.151189072944982]"
15,15.0,"[-0.6971103451929335, 0.05251809017022612, -3.16305477195998]"
16,16.0,"[-0.7437165463291683, 0.07207366438029056, -3.163223398390757]"
17,17.0,"[-0.7751432303377599, 0.10241865633303604, -3.1451505869880947]"
18,18.0,"[-0.7448071722190072, 0.08091031514598203, -3.149258094764949]"
19,19.0,"[-0.7346141831230909, 0.056400842866439475, -3.1319402131683294]"
20,20.0,"[-0.7237447594485761, 0.138007992478757, -3.130003535456232]"
21,21.0,"[-0.7186294555740803, 0.13640754490900417, -3.1326607883818403]"
22,22.0,"[-0.7269482925850532, 0.13778995990493087, -3.118336928174403]"
23,23.0,"[-0.7358834282602633, 0.1345693500851628, -3.112031773901066]"
24,24.0,"[-0.7206842573307528, 0.13953194279876252, -3.1176043318306492]"
25,25.0,"[-0.7713190300481971, 0.12235688066416249, -3.1016618200409125]"
26,26.0,"[-0.7597573222722372, 0.10658859764155698, -3.1176224407833004]"
