,Frame Number,Rotation Vector
0,0.0,"[-0.8836391415023759, 0.25101665448961163, -3.019828233776752]"
1,1.0,"[-0.8818739300913907, 0.23531301483978004, -3.01262111740638]"
2,2.0,"[-0.8887709076529262, 0.24794676189298143, -3.006629234284848]"
3,3.0,"[-0.8760213975430317, 0.2423875506450682, -3.00686693998977]"
4,4.0,"[-0.8953665774502249, 0.2624368059722647, -2.9964809183136367]"
5,5.0,"[-0.8870875141769778, 0.26589055957861624, -3.000001256924513]"
6,6.0,"[-0.8882816205058873, 0.24716253092349758, -3.00468627955854]"
7,7.0,"[-0.8882169945784918, 0.2419206159649239, -3.002612021327596]"
8,8.0,"[-0.8898613056215608, 0.24312957674888824, -3.0016421433589686]"
9,9.0,"[-0.9137222168777813, 0.2614987203513566, -2.9938514979739903]"
10,10.0,"[-0.9193262598063237, 0.24522998744137509, -2.985578180613903]"
11,11.0,"[-0.9830375843837897, 0.33745224123243456, -2.968033886542365]"
12,12.0,"[-0.9817856295490682, 0.3338428080370788, -2.9669232861112875]"
13,13.0,"[-0.9461983724156913, 0.3094227952860639, -2.9889834868773995]"
14,14.0,"[-0.9134525641713042, 0.2823364770158816, -2.998092237033635]"
15,15.0,"[-0.9019565248219463, 0.27588744225313655, -2.9966022291157217]"
16,16.0,"[-0.8952813665178737, 0.2525806183657089, -3.0037490982433255]"
17,17.0,"[-0.8892458983186978, 0.24800100500381464, -3.0088680688928746]"
18,18.0,"[-0.9368307758031877, 0.2950738954927245, -2.9836431952949503]"
19,19.0,"[-0.9329504988864749, 0.3209566881633383, -2.984382984929142]"
20,20.0,"[-0.9317448012427343, 0.34010557242881595, -2.987396362957445]"
21,21.0,"[-0.9381831331666881, 0.30319502276642485, -2.977622870022973]"
22,22.0,"[-0.929568792573194, 0.3382305797723061, -2.9919115416703628]"
23,23.0,"[-0.8891980674295905, 0.29584145238659293, -3.004158030753217]"
24,24.0,"[-0.8618048801206604, 0.3189852421401741, -3.0152745759901207]"
25,25.0,"[-0.8410179467045699, 0.26760926598446344, -3.0145556810113407]"
26,26.0,"[-0.8200175001517169, 0.23677722666206832, -3.024972723795472]"
27,27.0,"[-0.8167539943779392, 0.259440042995002, -3.0196316009316537]"
28,28.0,"[-0.8239956650211417, 0.2705179141546651, -3.0212578346828765]"
29,29.0,"[-0.8146885216418975, 0.25479134640204104, -3.022110535526214]"
30,30.0,"[-0.8282157918470149, 0.2907074185871117, -3.0209699235869696]"
31,31.0,"[-0.816344726864174, 0.25623554962690426, -3.0247282629672276]"
32,32.0,"[-0.8399920139841873, 0.2786295886308828, -3.019534523011249]"
33,33.0,"[-0.8612046274376888, 0.31687825539050135, -3.0040460778529856]"
34,34.0,"[-0.8728121878471584, 0.31978986265996867, -3.0002784318081854]"
35,35.0,"[-0.8979725085862369, 0.3260569665018267, -2.987919665374128]"
36,36.0,"[-0.8881542949824627, 0.3223217110515339, -2.990484124292545]"
37,37.0,"[-0.8905647134377475, 0.3194359332759617, -2.9883703345777803]"
38,38.0,"[-0.900440381535575, 0.325299817824349, -2.9769113735598527]"
39,39.0,"[-0.9013649848640679, 0.32379801025350274, -2.983895727973884]"
40,40.0,"[-0.8921921549303151, 0.29817388195027594, -2.974814385204342]"
41,41.0,"[-0.8886843557638661, 0.3123686261098762, -2.981928648987287]"
42,42.0,"[-0.8965656592363407, 0.3028296369775381, -2.972321177923475]"
43,43.0,"[-0.89279091159394, 0.29238438679222095, -2.9767513743292993]"
44,44.0,"[-0.8891255236345043, 0.30558843189866464, -2.9763765376497897]"
45,45.0,"[-0.8895075328611298, 0.3119721038835986, -2.982519583447822]"
46,46.0,"[-0.885576796932232, 0.3116148081572181, -2.983570630903345]"
47,47.0,"[-0.9066123575370618, 0.32165608603859314, -2.9801080472741677]"
48,48.0,"[-0.8918634623076178, 0.31664300771028586, -2.9795296621601377]"
49,49.0,"[-0.9044253738964809, 0.32648970083029494, -2.97268429803318]"
50,50.0,"[-0.8949606389172047, 0.314257675177245, -2.9739069682814]"
51,51.0,"[-0.9074211408360495, 0.31712148399503787, -2.9695530179400706]"
52,52.0,"[-0.9186948615612325, 0.30810984867421687, -2.960044662308999]"
53,53.0,"[-0.9172230419925145, 0.31014295187038415, -2.953607038267068]"
54,54.0,"[-0.9239075177041958, 0.3157819362613168, -2.950855827325106]"
55,55.0,"[-0.9109122217988603, 0.3163392155471713, -2.9613324375716696]"
56,56.0,"[-0.8866092688657021, 0.2834968666264482, -2.973861554913398]"
57,57.0,"[-0.8791796137646707, 0.2605534782255165, -2.9799745852675357]"
58,58.0,"[-0.8656271037408062, 0.28252497061384046, -2.9822188513569388]"
59,59.0,"[-0.8587931194742762, 0.29250325017794704, -2.9877805518205123]"
60,60.0,"[-0.8574465457128934, 0.28411574177421267, -2.9867950024208696]"
61,61.0,"[-0.8547029942916275, 0.28726593111945325, -2.987853976284832]"
62,62.0,"[-0.7962945787320029, 0.25324533452571246, -3.0088373179265684]"
63,63.0,"[-0.8489995937139165, 0.29474846451085945, -2.9953301508968546]"
64,64.0,"[-0.8540464840538511, 0.3181059196806338, -2.983867615872803]"
65,65.0,"[-0.8623470084734624, 0.3412555162733799, -2.979154640589264]"
66,66.0,"[-0.8527807083001762, 0.3646557617094933, -2.984341559988252]"
67,67.0,"[-0.8335637204719089, 0.35546060706625743, -2.9959507396456813]"
68,68.0,"[-0.800653529506174, 0.34952677216297556, -3.0083464276213974]"
69,69.0,"[-0.7883976237771556, 0.3505200641176052, -3.014878739679705]"
70,70.0,"[-0.7886876627391189, 0.32970692193098466, -3.0123300718568338]"
71,71.0,"[-0.7796827430480906, 0.311175362709876, -3.0244130105866094]"
72,72.0,"[-0.7763505629443043, 0.2932805617078109, -3.023216457516799]"
73,73.0,"[-0.7960420887977817, 0.2972625564470683, -3.009974466533088]"
74,74.0,"[-0.7988672519023298, 0.29147659180586777, -3.011439808194292]"
75,75.0,"[-0.8095583022269353, 0.2977760733676335, -2.9975695220132867]"
76,76.0,"[-0.8217855575055791, 0.2935658348056197, -2.9906386218932246]"
77,77.0,"[-0.8270649251080437, 0.2984606260562993, -2.9868557706115983]"
78,78.0,"[-0.8186967209909467, 0.2983330578073964, -2.9857198572866497]"
79,79.0,"[-0.8336232920141697, 0.2964568993790426, -2.9763552597693397]"
80,80.0,"[-0.8249913884650031, 0.3077760308959787, -2.9813892232670676]"
81,81.0,"[-0.8262748525922206, 0.3217744539566451, -2.983341160809034]"
82,82.0,"[-0.8383817851171763, 0.31074796863842286, -2.9806822034033997]"
83,83.0,"[-0.8192583875775176, 0.315670711308139, -2.98486699881897]"
84,84.0,"[-0.8035940009748105, 0.299617429487717, -2.995645806973021]"
85,85.0,"[-0.8249468555805328, 0.3057702352104372, -2.983587796892373]"
86,86.0,"[-0.8140807340052735, 0.31197188489233796, -2.988122009451327]"
87,87.0,"[-0.8337553032625582, 0.3199765346151975, -2.9748326961299774]"
