,Frame Number,Rotation Vector
0,0.0,"[0.20145601603969052, 0.11113811713657712, -3.1090233172954758]"
1,1.0,"[0.20983381140456306, 0.11975926490068603, -3.1163634719350584]"
2,2.0,"[0.21373337253608246, 0.12256708135504397, -3.117744029427026]"
3,3.0,"[0.21731393320132328, 0.13502839125010926, -3.110953746063527]"
4,4.0,"[0.211619308715542, 0.13311981816137017, -3.1138399125390896]"
5,5.0,"[0.20993896484139796, 0.1300827363867487, -3.1060690679786216]"
6,6.0,"[0.2214824724577397, 0.132654403586439, -3.106710428340139]"
7,7.0,"[0.22009247573752558, 0.15167349877130856, -3.09856274954384]"
8,8.0,"[0.22290903599788406, 0.17203667022606994, -3.0986335107519047]"
9,9.0,"[0.2332866548858524, 0.15189338737668956, -3.1091050917665686]"
10,10.0,"[0.22586548308945537, 0.13353108672929687, -3.109006949751365]"
11,11.0,"[0.22689864484728228, 0.13766453813955287, -3.1068299329816083]"
12,12.0,"[0.22513739342839953, 0.14149061466085724, -3.1114528563764687]"
13,13.0,"[0.21933780206870304, 0.15465801615041733, -3.1034530259372977]"
14,14.0,"[0.21101110558429906, 0.15044716932751756, -3.1018865379696083]"
15,15.0,"[0.21475280425652932, 0.16488095348547493, -3.101270284255744]"
16,16.0,"[0.20696561036575264, 0.16060503943658255, -3.103265227988144]"
17,17.0,"[0.19846982617682954, 0.1625796963798807, -3.114566412207503]"
18,18.0,"[0.18397216825517557, 0.16306143138535892, -3.119482681114557]"
19,19.0,"[0.19116937147771396, 0.15810202434793286, -3.111800018497195]"
20,20.0,"[0.18556890507043838, 0.14567254726457698, -3.113648543190457]"
21,21.0,"[0.18256411526340674, 0.1471779386129207, -3.1107986954156277]"
22,22.0,"[0.18322202489023873, 0.15231387822510092, -3.106682250628689]"
23,23.0,"[0.17950207877071606, 0.15941075112130862, -3.1024023959187987]"
24,24.0,"[0.16463501732707264, 0.14899432604746815, -3.1109253676434707]"
25,25.0,"[0.1748342412293402, 0.1486967804630215, -3.1082136544131553]"
26,26.0,"[0.22348826262131663, 0.15986412121171442, -3.1115598247417346]"
27,27.0,"[0.2990618138479737, 0.16124710456384625, -3.12341224625113]"
28,28.0,"[0.3806947353160986, 0.16367312706223766, -3.116438296309916]"
29,29.0,"[0.45795054387566836, 0.17273163956121998, -3.1230787509923843]"
30,30.0,"[0.5400620368786095, 0.18695363065290801, -3.120365399538777]"
31,31.0,"[0.5684840115705168, 0.1809837347100098, -3.119114753616333]"
32,32.0,"[0.5788120185708823, 0.19461603343339165, -3.120228216266016]"
33,33.0,"[0.5981527033050321, 0.18345941084671852, -3.117976587670817]"
34,34.0,"[0.6019964608897291, 0.18472231872625947, -3.1208487158061757]"
35,35.0,"[0.595519357205752, 0.1791402922771118, -3.1163173162581]"
36,36.0,"[0.6157191153861722, 0.19718735823523267, -3.115541428618931]"
37,37.0,"[0.6247375450764234, 0.20051798005770474, -3.1119612264347016]"
38,38.0,"[0.63442738254326, 0.2028318880940207, -3.1077521821448064]"
39,39.0,"[0.6318997500818728, 0.2018048991269109, -3.1117465260819186]"
40,40.0,"[0.6166665502240765, 0.19674707626620275, -3.114461590291686]"
41,41.0,"[0.6065949998216058, 0.19528572084265386, -3.11563616149655]"
42,42.0,"[0.5878442434738664, 0.20737421780263268, -3.1117990923154575]"
43,43.0,"[0.6012585735569951, 0.19577282893152848, -3.1200886496943965]"
44,44.0,"[0.5945315615714312, 0.2016207396975495, -3.104520739043698]"
45,45.0,"[0.592356905056642, 0.19958487143609854, -3.0913083683013287]"
46,46.0,"[0.5990408101828889, 0.20742455022497697, -3.0828449546349392]"
47,47.0,"[0.6046409961831721, 0.203790261681094, -3.0935815874681216]"
48,48.0,"[0.6131314363960497, 0.1946980054036271, -3.0954168442113636]"
49,49.0,"[0.610429781039813, 0.18824714643463686, -3.109814180143255]"
50,50.0,"[0.6226371258093601, 0.18570464515590232, -3.1050576414598883]"
51,51.0,"[0.6137491758817554, 0.18632291963344336, -3.1083154833582114]"
52,52.0,"[0.6188307054615737, 0.19242578464277338, -3.1033623717227314]"
53,53.0,"[0.6226374190190096, 0.19033248127905822, -3.09940211254236]"
54,54.0,"[0.6260104365841255, 0.19111432923443566, -3.1021034911974366]"
55,55.0,"[0.6189313893239823, 0.1945720872400393, -3.09953691039982]"
56,56.0,"[0.617918758020609, 0.19598575991159348, -3.1061075981110915]"
57,57.0,"[0.6155912700752596, 0.1993403610120007, -3.104895742585167]"
58,58.0,"[0.6140550573527673, 0.1981138913139436, -3.10622649113487]"
59,59.0,"[0.600772469605, 0.20205301428879435, -3.0976683778184504]"
60,60.0,"[0.6069406268752789, 0.2074288052619984, -3.0947496192804054]"
61,61.0,"[0.6057102031263101, 0.20835994699011837, -3.097622713490053]"
