,Frame Number,Rotation Vector
0,0.0,"[0.7395131136313385, 0.04983781654075116, -2.981687869452602]"
1,1.0,"[0.7120495765705258, -0.017219030594321772, -2.9725379444496896]"
2,2.0,"[0.6956349801236767, 0.023453584715723053, -2.980139613318032]"
3,3.0,"[0.7108566008729671, 0.00184566102108589, -2.9628270932688046]"
4,4.0,"[0.7314694807719333, 0.08189755578228258, -3.0001123271073706]"
5,5.0,"[0.7361117237542729, 0.11314949696532876, -3.0537890805838237]"
6,6.0,"[0.7225198271195277, 0.09365263083996486, -3.0461322206628068]"
7,7.0,"[0.7412579935064151, 0.05924007340427669, -3.117803372583477]"
8,8.0,"[0.7242020338126195, 0.04066358270268421, -3.1110131474123053]"
9,9.0,"[0.7268936406612458, 0.14663945424766273, -3.118854337315615]"
10,10.0,"[0.767341353739995, 0.24373071886646044, -3.11624235022457]"
11,11.0,"[0.7600893241101887, 0.23347897619449803, -3.136985559279492]"
12,12.0,"[0.7786389489763169, 0.3046878502869288, -3.1450983791170386]"
13,13.0,"[0.7423080337423745, 0.3274040898181731, -3.141566908919654]"
14,14.0,"[0.7691672304181595, 0.33599473763366283, -3.1447126563565733]"
15,15.0,"[0.8047406577077434, 0.360940440377157, -3.1379971752098452]"
16,16.0,"[0.8045930917403313, 0.37218514810513836, -3.142965798120769]"
17,17.0,"[0.7885440982861613, 0.36399322514024113, -3.142001982758311]"
18,18.0,"[0.7727995900445012, 0.37939576743489284, -3.1407231782028435]"
19,19.0,"[0.7846406266415015, 0.34875445269788385, -3.1327027610413]"
20,20.0,"[0.7338103404609443, 0.36037004395730954, -3.144258299422221]"
21,21.0,"[0.7221152781905675, 0.3640001385502265, -3.14906734336499]"
22,22.0,"[0.6654082749809868, 0.32805821672599345, -3.1622239871776796]"
23,23.0,"[0.6477057320249741, 0.2902198119246395, -3.173627788401566]"
24,24.0,"[0.6215929903569557, 0.26067453256130907, -3.1748894566018793]"
25,25.0,"[0.6230084038700273, 0.2255875710372479, -3.182499697478335]"
26,26.0,"[0.5826208408968739, 0.22900720537447364, -3.1694130963439338]"
27,27.0,"[0.5743002966013137, 0.21707089316577977, -3.172448786442161]"
28,28.0,"[0.5573289367146654, 0.24388317723542818, -3.1410008312802216]"
29,29.0,"[0.5136265245404524, 0.26941119035697775, -3.13703695991337]"
30,30.0,"[0.4612118003340624, 0.217015398812302, -3.1439447736377852]"
31,31.0,"[0.3832707634457073, 0.28034309252937323, -3.148053518177976]"
32,32.0,"[0.30675821007839177, 0.3559652591476654, -3.1223278895949016]"
33,33.0,"[0.23082459296718436, 0.35479748115383686, -3.0965047848166076]"
34,34.0,"[0.20663407657953786, 0.34617593956891707, -3.0760363592806788]"
35,35.0,"[0.19812152124320692, 0.34928889832887994, -3.0829346581880843]"
36,36.0,"[0.20994901160727833, 0.3532257526603785, -3.1043348658328807]"
37,37.0,"[0.23773396583335088, 0.3343681480187739, -3.099722411835605]"
38,38.0,"[0.2800637402118745, 0.24814300936746606, -3.115941234877384]"
39,39.0,"[0.2824750641843887, 0.19965940935385917, -3.113903608264773]"
40,40.0,"[0.2734509132152741, 0.031888031951585356, -3.1059319462312547]"
