,Frame Number,Rotation Vector
0,0.0,"[-0.6266760718605786, 0.3831459437632955, -3.066036686137128]"
1,1.0,"[-0.6277002336717987, 0.35008861537162006, -3.059964994433596]"
2,2.0,"[-0.6453472236601215, 0.3387901723327788, -3.047417714980676]"
3,3.0,"[-0.6517564383131541, 0.3251136317714969, -3.050375304618539]"
4,4.0,"[-0.6346200458389557, 0.3296781848014385, -3.042320584777492]"
5,5.0,"[-0.6484213062868871, 0.33921126927401385, -3.035990315797083]"
6,6.0,"[-0.6707046587861991, 0.355251719584794, -3.0307231767733236]"
7,7.0,"[-0.672806238646835, 0.37495501837949385, -3.028277944634234]"
8,8.0,"[-0.6717549729017966, 0.39014114329957555, -3.025446635987465]"
9,9.0,"[-0.6733935015074001, 0.3864449693677796, -3.027978014741763]"
10,10.0,"[-0.6750294449789728, 0.38427180529583516, -3.02832576435664]"
11,11.0,"[-0.6914669676262792, 0.3889597602518518, -3.023164191493721]"
12,12.0,"[-0.7037291919004104, 0.36501276148600936, -3.0242868984345717]"
13,13.0,"[-0.7210353968734613, 0.3888301710250193, -3.0167690697957306]"
14,14.0,"[-0.7124914810284717, 0.38866468998990633, -3.0203821420812984]"
15,15.0,"[-0.7213579822972079, 0.3800231022476163, -3.018631711257018]"
16,16.0,"[-0.705587763914468, 0.3614195386562337, -3.0234825437739423]"
17,17.0,"[-0.7030452604877415, 0.37214823628525323, -3.021031190432284]"
18,18.0,"[-0.7062258707748914, 0.38930264787718843, -3.024239250292954]"
19,19.0,"[-0.7607029245432874, 0.37330795675478373, -3.0063611094882132]"
20,20.0,"[-0.7731482460117844, 0.3651487026651157, -3.0074321659039653]"
21,21.0,"[-0.7510333884494209, 0.3722372902667137, -3.020848947394641]"
22,22.0,"[-0.7655531523695104, 0.38010168074371836, -3.0140850861080866]"
23,23.0,"[-0.7482627189817874, 0.3973252636858071, -3.023477233349883]"
24,24.0,"[-0.7285012479464056, 0.3845658400881201, -3.032604243503757]"
25,25.0,"[-0.7261775520570687, 0.3990286507901227, -3.0326433418851564]"
26,26.0,"[-0.7311810147455694, 0.39270586429289506, -3.0319144819088066]"
27,27.0,"[-0.7291279574099737, 0.39558179001563415, -3.030034715936833]"
28,28.0,"[-0.7390253330077738, 0.381984148930639, -3.0264229809504393]"
29,29.0,"[-0.719063448575647, 0.3580705824578569, -3.03315473660884]"
30,30.0,"[-0.7217953311453394, 0.3498816432610548, -3.029196716249113]"
31,31.0,"[-0.7262502224103324, 0.38670214642301887, -3.0219602769402463]"
32,32.0,"[-0.7225979358475318, 0.37152128161067566, -3.022425981960024]"
33,33.0,"[-0.7249044549848037, 0.3559971271635767, -3.020396301372203]"
34,34.0,"[-0.7202628479308484, 0.3553774555299804, -3.0211989975640985]"
35,35.0,"[-0.7169313078785515, 0.34694247029743364, -3.017918213591501]"
36,36.0,"[-0.7238960716462695, 0.3468836982012611, -3.0098242222075555]"
37,37.0,"[-0.7086858849523554, 0.35918078573315493, -3.0130889680001784]"
38,38.0,"[-0.7180749282378159, 0.39222893347116755, -3.0066236203375443]"
39,39.0,"[-0.7016650181242176, 0.375193841545107, -3.0068704036352543]"
40,40.0,"[-0.7001408405881219, 0.36428395954332016, -3.0070860275041165]"
41,41.0,"[-0.7071151135958944, 0.3482370379153752, -3.005256041216053]"
42,42.0,"[-0.7059522168598584, 0.3424241670219692, -3.0062992508872504]"
43,43.0,"[-0.7059808536293009, 0.3488833789594254, -3.0059021273763125]"
44,44.0,"[-0.7112021341085939, 0.34132353899954226, -3.007598072978082]"
45,45.0,"[-0.7118763030507314, 0.3078636246568772, -3.0155820589870044]"
46,46.0,"[-0.7268139107317573, 0.28087539122342264, -3.008272829321053]"
47,47.0,"[-0.7124494310135636, 0.31802231034634, -3.0058253551036924]"
48,48.0,"[-0.7313028985403489, 0.31176667583106943, -3.001032323845427]"
49,49.0,"[-0.7099241457109755, 0.2445199708864059, -2.995259207734194]"
50,50.0,"[-0.6972369289562725, 0.3145016350031017, -2.992491793811326]"
51,51.0,"[-0.7075006492209952, 0.32266622294540004, -2.982749440512525]"
52,52.0,"[-0.6927136031447673, 0.292806232243082, -2.9794952030513278]"
53,53.0,"[-0.7012683537169032, 0.2791726559304385, -2.9802524864996456]"
54,54.0,"[-0.701463879693977, 0.23183957047495368, -2.9779636185448983]"
55,55.0,"[-0.7177914402566293, 0.2782074814756525, -2.9666470111363252]"
56,56.0,"[-0.7133583280102564, 0.25540702133788334, -2.9721395361989273]"
57,57.0,"[-0.7059147636893653, 0.2682830879644623, -2.975965338086207]"
58,58.0,"[-0.7004749945072782, 0.29907066769057794, -2.9783898017157076]"
59,59.0,"[-0.7153502749742533, 0.2952581992812823, -2.9825798660585603]"
60,60.0,"[-0.7210711018090381, 0.287946044508508, -2.9833967362203913]"
61,61.0,"[-0.7075196294016718, 0.3139889983650634, -2.995429323746401]"
62,62.0,"[-0.7289969817696867, 0.3234826886162488, -2.9994868975464617]"
63,63.0,"[-0.7181210110368463, 0.3486557706609422, -3.0097732651178903]"
64,64.0,"[-0.7260334549881587, 0.3511310281842341, -3.000701397300674]"
65,65.0,"[-0.7376841948782256, 0.3477158959026943, -2.992561290749303]"
66,66.0,"[-0.73388922859336, 0.3614863427314689, -2.985263309552952]"
67,67.0,"[-0.7344052000872446, 0.3436896033983491, -2.9921354634235184]"
68,68.0,"[-0.7194888306675232, 0.36676437409487006, -2.9841226955733613]"
69,69.0,"[-0.7158770644070312, 0.3653294474248516, -2.989986445460916]"
70,70.0,"[-0.7221292253909452, 0.3609134928287902, -2.989633894250721]"
71,71.0,"[-0.7291169909353976, 0.3928401255344086, -2.9745117197340343]"
