,Frame Number,Rotation Vector
0,0.0,"[-0.30994405830534194, 0.5577957558749811, -3.1851794655453265]"
1,1.0,"[-0.2743614727806424, 0.5525117674640414, -3.210017412610028]"
2,2.0,"[-0.26009755931088047, 0.5453009087790658, -3.227299235275783]"
3,3.0,"[-0.25537514923111887, 0.5346081177292059, -3.2365234719825855]"
4,4.0,"[-0.2633958818589256, 0.5305310834686207, -3.238115971270189]"
5,5.0,"[-0.23936149051481379, 0.528575799664258, -3.221620391219858]"
6,6.0,"[-0.2758931641952466, 0.4900837613352318, -3.2283166889621167]"
7,7.0,"[-0.29966679729121093, 0.44759769263111937, -3.227480101654339]"
8,8.0,"[-0.29187505996559526, 0.4267223417501643, -3.225322676453492]"
9,9.0,"[-0.2926211033412482, 0.39704656789575243, -3.2342806648244666]"
10,10.0,"[-0.28130007911384547, 0.3949700947095047, -3.236701702630596]"
11,11.0,"[-0.2977636024630859, 0.3830191023069134, -3.2376398774960427]"
12,12.0,"[-0.31769002812480834, 0.3907656756249054, -3.2291839224332075]"
13,13.0,"[-0.3422454990143526, 0.4004887103025357, -3.222781752714358]"
14,14.0,"[-0.325434278592283, 0.4098277459108912, -3.2229963482894424]"
15,15.0,"[-0.3304411416389268, 0.4317460206609682, -3.2265928630899867]"
16,16.0,"[-0.31654657341101783, 0.4360502360131953, -3.231194014698778]"
17,17.0,"[-0.30386407846982144, 0.4464336607135803, -3.228272756550313]"
18,18.0,"[-0.34233260047718245, 0.47822478145648123, -3.22357676066395]"
19,19.0,"[-0.3552994956895272, 0.4871491039726694, -3.2234599104403334]"
20,20.0,"[-0.3715160764869149, 0.5268851603598715, -3.2163782031016255]"
21,21.0,"[-0.3920910664463211, 0.5357243905061456, -3.2086002026012914]"
22,22.0,"[-0.40461029831388096, 0.5489233821789924, -3.2025031911695465]"
23,23.0,"[-0.40697089915907053, 0.5684945022145599, -3.195948388760606]"
24,24.0,"[-0.40258932542327064, 0.5895961712534273, -3.1793054395291467]"
25,25.0,"[-0.38269003138728175, 0.5911982054403441, -3.18291835219202]"
26,26.0,"[-0.38482324838559606, 0.5871209379088489, -3.182538294949486]"
27,27.0,"[-0.39518758737665377, 0.5773036753981875, -3.1849539527272377]"
28,28.0,"[-0.38072713919195683, 0.610775473912256, -3.172367334615858]"
29,29.0,"[-0.3689866438699723, 0.6157125544251018, -3.174477165574446]"
30,30.0,"[-0.36545320299452533, 0.6045494132966683, -3.1752579449886857]"
31,31.0,"[-0.3616178440819709, 0.5892815350193535, -3.1753364045743937]"
32,32.0,"[-0.37182895029658275, 0.5796906159210596, -3.1818899353045453]"
33,33.0,"[-0.3679746903472191, 0.5813887799840163, -3.1823149805662507]"
34,34.0,"[-0.3568730813880212, 0.583648991091989, -3.1817814060304426]"
35,35.0,"[-0.3611874547498237, 0.5915135994465865, -3.179434188281952]"
36,36.0,"[-0.3635048047177889, 0.5956703939913913, -3.1800912134474286]"
37,37.0,"[-0.360027837500293, 0.6049909912949835, -3.1773463273116316]"
38,38.0,"[-0.356631679678777, 0.6115233950994409, -3.1780793492996966]"
39,39.0,"[-0.37133467188316455, 0.609521242952652, -3.1769150926489003]"
40,40.0,"[-0.38916622072078993, 0.6031744089428135, -3.176294387606872]"
41,41.0,"[-0.37566949324349247, 0.6021964708671355, -3.182455047473771]"
42,42.0,"[-0.38574858595658545, 0.5866452040335576, -3.183254584671747]"
43,43.0,"[-0.3627663750594779, 0.5768706621801518, -3.198215290010938]"
44,44.0,"[-0.36364459183322684, 0.5717876114374308, -3.2046075526649234]"
45,45.0,"[-0.361913318532922, 0.5799353855178904, -3.2120359058617285]"
46,46.0,"[-0.3724231828887229, 0.5987465907594519, -3.2105669112346744]"
47,47.0,"[-0.36082629145296746, 0.5867702695865108, -3.2179867507644437]"
48,48.0,"[-0.32344570057449257, 0.5641930595854296, -3.238793993571172]"
49,49.0,"[-0.3125707379887111, 0.541237878562802, -3.248687632874423]"
50,50.0,"[-0.31619910680219887, 0.5436309331267319, -3.2561226637468823]"
