,Frame Number,Rotation Vector
0,0.0,"[-0.3143036711318114, 0.5342790999423138, -3.238264319218928]"
1,1.0,"[-0.3125124358869205, 0.5336809431690489, -3.23722196807122]"
2,2.0,"[-0.2980561546557911, 0.5330982744270704, -3.241084449278685]"
3,3.0,"[-0.30408468438133013, 0.5180826725960135, -3.244661775113259]"
4,4.0,"[-0.30207755319796264, 0.5132428738237353, -3.2467180663172166]"
5,5.0,"[-0.2825279796311452, 0.5111801675677914, -3.254890604359716]"
6,6.0,"[-0.27055344762359607, 0.49772229015458685, -3.2504122890729423]"
7,7.0,"[-0.2681536490072186, 0.5014376295049973, -3.247494977503605]"
8,8.0,"[-0.2535016481714818, 0.48446417345087206, -3.245385291253909]"
9,9.0,"[-0.24141835139625406, 0.48889964838557265, -3.2433807606454645]"
10,10.0,"[-0.2259890815328036, 0.47662306268279664, -3.246470675365089]"
11,11.0,"[-0.16696034632661746, 0.5035814831589259, -3.2439467898582532]"
12,12.0,"[-0.1591466864767802, 0.5327155733989515, -3.2365738111993387]"
13,13.0,"[-0.12337363475771193, 0.5287680669699046, -3.241942568002329]"
14,14.0,"[-0.10050960966182193, 0.5704884427505383, -3.235307252301619]"
15,15.0,"[-0.09188685918820211, 0.612093943264426, -3.216614946519866]"
16,16.0,"[-0.0921710330453145, 0.6103973533357174, -3.219436971700842]"
17,17.0,"[-0.08994884298577814, 0.6047612517892378, -3.219998842750315]"
18,18.0,"[-0.10137381554865625, 0.5904423171821439, -3.214576712574987]"
19,19.0,"[-0.0836751769336252, 0.5808568396082526, -3.210411428381371]"
20,20.0,"[-0.07525506907928002, 0.5081048088040685, -3.2274737628685077]"
21,21.0,"[-0.042492587457809955, 0.4910322943282783, -3.2275402112631295]"
22,22.0,"[-0.04731640600866774, 0.47082486722339806, -3.2270266258884392]"
23,23.0,"[-0.031211896548595627, 0.5053761452863536, -3.223249492381064]"
24,24.0,"[-0.04087926696854224, 0.4984062520877251, -3.2207605994571242]"
25,25.0,"[-0.03602396045886632, 0.4994687327097933, -3.2129665230536735]"
26,26.0,"[-0.03343881125230439, 0.5036899720283956, -3.2047766844219523]"
27,27.0,"[-0.041975497651025755, 0.5017670484055645, -3.1991113161179796]"
28,28.0,"[-0.015962577972950285, 0.4967578626092296, -3.202197746957743]"
29,29.0,"[0.010738460089454553, 0.5188836757357246, -3.1873707062685694]"
30,30.0,"[0.019154386109161356, 0.4951992970271425, -3.192590664349264]"
31,31.0,"[0.04232452446840733, 0.49761787203981206, -3.187239281230767]"
32,32.0,"[0.049503950433374924, 0.49647824581920036, -3.186809432648911]"
33,33.0,"[0.053976475400434765, 0.4987090573547684, -3.188022277415101]"
34,34.0,"[0.043134369546958706, 0.5022320824496547, -3.1878687701606765]"
35,35.0,"[0.0920436976159886, 0.5365112075306794, -3.2037929805793164]"
36,36.0,"[0.11535914005582545, 0.5497041608158604, -3.2119135736092588]"
37,37.0,"[0.1285342741444015, 0.5584443561326219, -3.209349155238929]"
38,38.0,"[0.16535909212154948, 0.5161421917160555, -3.242362415187529]"
39,39.0,"[0.1792385346732933, 0.5722368772407496, -3.2453780463932267]"
40,40.0,"[0.20831817078176915, 0.5695951979342837, -3.2397526671174437]"
41,41.0,"[0.15656863215845446, 0.6299565727119008, -3.2368043683524403]"
42,42.0,"[0.19653900442571717, 0.6272034920919819, -3.2453428726124067]"
43,43.0,"[0.26231035841268036, 0.626276683838084, -3.23440641156853]"
44,44.0,"[0.274651678628624, 0.6042776969934912, -3.216842551431044]"
45,45.0,"[0.2778277506962191, 0.5991082960072667, -3.2140270641788162]"
46,46.0,"[0.25416021796043525, 0.552483074822729, -3.2174390408160836]"
47,47.0,"[0.21783149423202852, 0.5460399287587624, -3.225866429715705]"
48,48.0,"[0.2061642274243124, 0.5429108156692555, -3.2239658072502855]"
49,49.0,"[0.2048309022962248, 0.5334014993691282, -3.2263130012354404]"
50,50.0,"[0.2124224282881141, 0.5336925559801659, -3.22791170441345]"
51,51.0,"[0.1948545745969376, 0.5824917993767428, -3.2243497222657]"
52,52.0,"[0.18603279880840326, 0.5957673290336073, -3.227839468162936]"
53,53.0,"[0.19985854872927306, 0.5520104317485366, -3.2330985460770876]"
54,54.0,"[0.18117689911489515, 0.5430121764394463, -3.2380317451109124]"
55,55.0,"[0.20237689546734294, 0.5360097397551946, -3.238077934671998]"
56,56.0,"[0.19761783173922437, 0.5192526345587904, -3.243965223509361]"
57,57.0,"[0.2536904147789171, 0.5267424183909486, -3.2388884593452882]"
58,58.0,"[0.29179329095774004, 0.5236015382666049, -3.2565764806597777]"
59,59.0,"[0.3060060822404289, 0.47499261283973654, -3.2613149796384473]"
60,60.0,"[0.3926089494149097, 0.4956736847216542, -3.2683471021125983]"
61,61.0,"[0.46007190784791113, 0.4356883505600537, -3.298915894239283]"
62,62.0,"[0.4795644718900195, 0.36287920218534697, -3.312639405796108]"
