,Frame Number,Rotation Vector
0,0.0,"[-0.6578857263732092, 0.15691213332044954, -3.12681436688548]"
1,1.0,"[-0.7183001619324528, 0.14662487690891943, -3.1004541841698803]"
2,2.0,"[-0.6750083299771988, 0.12707301668140475, -3.1144801646969054]"
3,3.0,"[-0.6837342472959411, 0.12081733576597818, -3.1115005115142944]"
4,4.0,"[-0.6943010330789243, 0.11179554146207521, -3.10797947464785]"
5,5.0,"[-0.6593753255366342, 0.11473179278511224, -3.1176081250828585]"
6,6.0,"[-0.6730332046500038, 0.1414919937079263, -3.098064231835358]"
7,7.0,"[-0.6407812796663831, 0.1244387016197086, -3.1124416460980906]"
8,8.0,"[-0.6551747460260245, 0.10076559476162045, -3.106616993702864]"
9,9.0,"[-0.6469532895106477, 0.055614917656159384, -3.1057059616656337]"
10,10.0,"[-0.608156621608597, 0.11790990363599997, -3.125401633935863]"
11,11.0,"[-0.6041664491110398, 0.09675120387650166, -3.1106978902345226]"
12,12.0,"[-0.5635522652663136, 0.03893736305808154, -3.109264981683293]"
13,13.0,"[-0.5507562038160663, -0.00973614358316078, -3.1071266171175735]"
14,14.0,"[-0.5358034958602151, -0.029197737614824713, -3.106777996654562]"
15,15.0,"[-0.5253368616895664, -0.011307944305235327, -3.1065010679405147]"
16,16.0,"[-0.5024508344893528, -0.02334234979834059, -3.112790580186105]"
17,17.0,"[-0.4992882492596557, 0.0036521582668711905, -3.1131933153033504]"
18,18.0,"[-0.5101298382523297, 0.0018659260020214858, -3.118373270142141]"
19,19.0,"[-0.5521355089841401, 0.03589525739323042, -3.119166871419412]"
20,20.0,"[-0.6024211741322377, 0.0692307127348695, -3.1220816364612967]"
21,21.0,"[-0.5330835365903872, 0.12435556576180903, -3.1588309686180382]"
22,22.0,"[-0.5513124511227397, 0.16371217977500568, -3.1523467165822683]"
23,23.0,"[-0.5651410412126247, 0.18733733640372868, -3.1591514956946622]"
24,24.0,"[-0.5878055151396167, 0.16683478651201855, -3.1501592701905023]"
25,25.0,"[-0.5800786889287018, 0.19119151062115888, -3.160865556820105]"
26,26.0,"[-0.5869423158064211, 0.1702087264878748, -3.155528495526476]"
27,27.0,"[-0.633618827099572, 0.14052574234547496, -3.1544170295979352]"
28,28.0,"[-0.6471944706359534, 0.171057420760479, -3.165843087529305]"
29,29.0,"[-0.6215796458310049, 0.16704676739032673, -3.166905483689958]"
30,30.0,"[-0.645392323128608, 0.1700923649281358, -3.1646326911326805]"
31,31.0,"[-0.6659158722224199, 0.16041568605159626, -3.15974790287454]"
32,32.0,"[-0.6899291821463921, 0.1438442415288492, -3.149960382794042]"
33,33.0,"[-0.6889339909576073, 0.1995962221303066, -3.1642010117500132]"
34,34.0,"[-0.6907392075337578, 0.21062298205926297, -3.1616161354903003]"
35,35.0,"[-0.7076491622458579, 0.13890425930013015, -3.152326069087628]"
36,36.0,"[-0.7106438344587345, 0.1806539389747732, -3.1475102605566825]"
37,37.0,"[-0.6942652715444502, 0.2155452975798957, -3.158015993184002]"
38,38.0,"[-0.7154240816104763, 0.2168932587990451, -3.1622898620948856]"
39,39.0,"[-0.7245184648120178, 0.1987217601726538, -3.150326140610862]"
40,40.0,"[-0.719723161492966, 0.20051273232253466, -3.157055846144206]"
41,41.0,"[-0.692915555399784, 0.12810648736412517, -3.1518420958624023]"
42,42.0,"[-0.6871721261767808, 0.13540489043373125, -3.1148560132573277]"
43,43.0,"[-0.6735592878955451, 0.10333607109251908, -3.109062135220086]"
44,44.0,"[-0.647696896934469, 0.10327321159135032, -3.106639627869644]"
45,45.0,"[-0.6276387391061129, 0.12205599313754681, -3.1089571105555747]"
46,46.0,"[-0.6111694700319236, 0.10222840985566903, -3.1076436586155567]"
47,47.0,"[-0.5981643492585239, 0.07290827333749535, -3.113835679391743]"
48,48.0,"[-0.5771148209146534, 0.07246350978614943, -3.1190180036002175]"
49,49.0,"[-0.5840484697042886, 0.08008173903725116, -3.114879483729025]"
50,50.0,"[-0.5811080646832631, 0.06687722763758804, -3.122214567421778]"
51,51.0,"[-0.5849005346650488, 0.062196014985899356, -3.12404097602829]"
52,52.0,"[-0.5842095851594302, 0.08592056161890226, -3.125878354059204]"
53,53.0,"[-0.5945537972806691, 0.111249441658071, -3.1240086587899345]"
54,54.0,"[-0.603450031117652, 0.11683887293685873, -3.142419099494619]"
