,Frame Number,Rotation Vector
0,0.0,"[-0.1375247819956956, 0.10428500930569096, -3.1339358869305993]"
1,1.0,"[-0.2101246455648809, 0.1376705816238958, -3.116105632204276]"
2,2.0,"[-0.273216685831073, 0.16892129039776116, -3.108798215565401]"
3,3.0,"[-0.32691111080690755, 0.25441983140401797, -3.098733961765177]"
4,4.0,"[-0.35564856469333145, 0.285534921554684, -3.089868653328178]"
5,5.0,"[-0.4301266229176138, 0.3327735758974962, -3.0500568153698793]"
6,6.0,"[-0.4762263712675232, 0.31774305191277463, -3.024688008703671]"
7,7.0,"[-0.5161802953543997, 0.3187403344719213, -2.9992674164450643]"
8,8.0,"[-0.514964445495733, 0.3196363566038355, -2.997699690691727]"
9,9.0,"[-0.5171145373446353, 0.33159841606216434, -3.006232868481293]"
10,10.0,"[-0.5174713205678453, 0.334477675828727, -3.0093887036334954]"
11,11.0,"[-0.5298760267454801, 0.33718908690803007, -3.0019291229855853]"
12,12.0,"[-0.5427682043431693, 0.35793189138529186, -2.9941010971522912]"
13,13.0,"[-0.5416452781415577, 0.34960960504496574, -2.991450459801039]"
14,14.0,"[-0.547873844078006, 0.335333801121459, -2.9925374229993804]"
15,15.0,"[-0.5443136453620857, 0.3396717749615702, -2.9930150019970707]"
16,16.0,"[-0.5631240713080539, 0.3236102207991027, -2.9874110023748273]"
17,17.0,"[-0.5641837497530084, 0.3189617854124418, -2.983128191379905]"
18,18.0,"[-0.5540472126868836, 0.33039125280360254, -2.9875163730846324]"
19,19.0,"[-0.5568107627314083, 0.3200916835865208, -2.982100998365802]"
20,20.0,"[-0.5736635049368213, 0.3012899418579035, -2.973089735031205]"
21,21.0,"[-0.559843820397514, 0.3498822463301091, -2.9687579291560717]"
22,22.0,"[-0.5744310971764324, 0.34915001093339787, -2.9666471539116315]"
23,23.0,"[-0.5979904918226994, 0.34270030060992973, -2.944633330908083]"
24,24.0,"[-0.6113138129047683, 0.35802402806346945, -2.9385895466007503]"
25,25.0,"[-0.6004561100235761, 0.3631137838127491, -2.9444438730284372]"
26,26.0,"[-0.6086831144636854, 0.36753851063181475, -2.9418732642036924]"
27,27.0,"[-0.6215726217733233, 0.3862445836546738, -2.944589210298621]"
28,28.0,"[-0.6060384965712114, 0.393609641608281, -2.9594608523931423]"
29,29.0,"[-0.6080201301377148, 0.39851929277870624, -2.9638317536555125]"
30,30.0,"[-0.6244834909999061, 0.3912333942998226, -2.956158967073207]"
31,31.0,"[-0.631029190345023, 0.40907616420616827, -2.9530649113320484]"
32,32.0,"[-0.6157583631711624, 0.4097126843736832, -2.958211063085285]"
33,33.0,"[-0.5983457023143369, 0.40172260570108087, -2.967425224735968]"
34,34.0,"[-0.5945787820859235, 0.40961778821664313, -2.9686896128041607]"
35,35.0,"[-0.605798639849086, 0.41656934671067614, -2.9657534718873846]"
36,36.0,"[-0.6135483695605569, 0.4323765291302693, -2.9614931645011757]"
37,37.0,"[-0.5922666910001232, 0.42874137716634764, -2.9714039567345685]"
38,38.0,"[-0.5826274512215246, 0.43433484530446864, -2.9790582849069582]"
39,39.0,"[-0.5822037850729961, 0.44134059995669384, -2.9786341318147374]"
40,40.0,"[-0.5800503853278601, 0.4254727168916734, -2.988750776641018]"
41,41.0,"[-0.5765119411404308, 0.3986071103648481, -2.9912100271188606]"
42,42.0,"[-0.5946278900335993, 0.44448426894740234, -2.988357362502481]"
43,43.0,"[-0.5981110353946023, 0.4360570839470421, -2.9904661833549735]"
44,44.0,"[-0.5965904802909595, 0.4239247312428261, -2.9930194180431595]"
45,45.0,"[-0.6151340492219686, 0.4329881710729985, -2.9862201296615214]"
46,46.0,"[-0.6124387561069784, 0.41640769709110975, -2.9877260989914434]"
47,47.0,"[-0.6030799281020706, 0.41923995280203574, -2.992200594043326]"
48,48.0,"[-0.6079789249487763, 0.41426811525625884, -2.9908027163548225]"
49,49.0,"[-0.6160286935316622, 0.406633803883885, -2.9860623812193126]"
50,50.0,"[-0.6179555604555081, 0.4107493491729584, -2.9856960058134123]"
51,51.0,"[-0.632263879733186, 0.3978513932851169, -2.969862683614688]"
52,52.0,"[-0.6355574623277225, 0.3938595920937104, -2.970157193958114]"
53,53.0,"[-0.6366820610640221, 0.3948051679732911, -2.9752573043386725]"
54,54.0,"[-0.6250827518306182, 0.3953656156100078, -2.981252585863956]"
55,55.0,"[-0.6267711313207823, 0.39288095324231387, -2.9845277608124676]"
56,56.0,"[-0.6143406144027677, 0.38732998144370634, -2.9919470018313827]"
57,57.0,"[-0.5991710114057619, 0.37317886498011993, -3.0026973001180237]"
58,58.0,"[-0.6175191392359861, 0.4029110837952347, -2.9963020845106674]"
59,59.0,"[-0.6379694766490772, 0.39200552283243484, -2.989797190403665]"
60,60.0,"[-0.6503363537915593, 0.4152397283689768, -2.9844582755902285]"
61,61.0,"[-0.6405070280866462, 0.42389148783909375, -2.993416449238142]"
62,62.0,"[-0.6338986209677113, 0.43780302465173654, -2.999570670992667]"
63,63.0,"[-0.633355288568353, 0.4389013406976845, -2.9987560361011476]"
64,64.0,"[-0.6316794306479386, 0.42875884155010935, -3.0020171187086055]"
65,65.0,"[-0.6315590214540674, 0.43868297045173843, -3.003229719823201]"
66,66.0,"[-0.6272985501042289, 0.4307033705625046, -3.0065351034023973]"
67,67.0,"[-0.617647717195392, 0.4272207148532863, -3.0090612333419067]"
68,68.0,"[-0.6200435467991768, 0.4133610559593323, -3.0085540762584397]"
69,69.0,"[-0.6311529590957444, 0.39167053009084773, -3.0028596062185415]"
70,70.0,"[-0.6358023525463514, 0.38596636752929225, -2.999458153848453]"
71,71.0,"[-0.642648149039228, 0.3777734435513262, -2.996161830041931]"
72,72.0,"[-0.6369271259860875, 0.36307291063147584, -2.9956696369809994]"
73,73.0,"[-0.6345217778197814, 0.36237832667320297, -2.996926537671393]"
74,74.0,"[-0.6399385675950293, 0.3651382541616985, -2.9967813102130627]"
75,75.0,"[-0.6315096843040495, 0.357692556482788, -3.0048477496633814]"
76,76.0,"[-0.6229429111917192, 0.34461342390656224, -2.9982290960272304]"
77,77.0,"[-0.6013585915182026, 0.3396276927859113, -3.007406028297851]"
78,78.0,"[-0.5910235740957027, 0.3542457843914437, -3.0187790309288967]"
79,79.0,"[-0.5890479674123361, 0.34649441026266764, -3.017156572970804]"
80,80.0,"[-0.5809643587584877, 0.34627374339454814, -3.0156460846939512]"
81,81.0,"[-0.5683098019889364, 0.3471363126488822, -3.018130985454477]"
82,82.0,"[-0.5764359126671108, 0.3472446571835876, -3.015201037022503]"
83,83.0,"[-0.5598552588888721, 0.34612761598336655, -3.019386176920709]"
84,84.0,"[-0.5579102314948563, 0.35153177958775206, -3.0182667602640825]"
85,85.0,"[-0.5414249133077973, 0.353850116109025, -3.020553017232502]"
86,86.0,"[-0.5527561901225614, 0.3584215531848039, -3.020476781097075]"
87,87.0,"[-0.5486391131107462, 0.35752707387094684, -3.0207974939849835]"
88,88.0,"[-0.5457623084952459, 0.3563466985020347, -3.020259909785801]"
89,89.0,"[-0.5546562355429483, 0.3554685801923777, -3.02052659427773]"
90,90.0,"[-0.5406500678449766, 0.36199344071790523, -3.0324661614317554]"
91,91.0,"[-0.5311539380548812, 0.3682842638137153, -3.032830321754452]"
92,92.0,"[-0.5326842725364954, 0.3701005343434619, -3.0374456377762615]"
93,93.0,"[-0.5034737658481628, 0.3751004802916881, -3.0463263734318544]"
94,94.0,"[-0.502740164870267, 0.3697688534575821, -3.044227094282396]"
95,95.0,"[-0.49612881538501535, 0.36381028231711476, -3.0399084555054534]"
96,96.0,"[-0.5000687194138567, 0.3771177114300096, -3.0403022339494656]"
97,97.0,"[-0.5297835584509893, 0.37642478684207914, -3.0244941641811978]"
98,98.0,"[-0.5287220864592257, 0.37385860521484715, -3.0211253674235516]"
99,99.0,"[-0.5465369470963493, 0.35570522772705093, -3.016300197789418]"
100,100.0,"[-0.5531580573032839, 0.35223081889939284, -3.015342472976068]"
101,101.0,"[-0.5792946679970736, 0.37866044086836775, -3.0008572237382736]"
102,102.0,"[-0.5690580334873944, 0.37021033736635506, -3.0032951918881934]"
103,103.0,"[-0.5665256133464095, 0.3446495207621194, -3.002106978791562]"
104,104.0,"[-0.5715798373944049, 0.33898992382600596, -3.004938184785699]"
105,105.0,"[-0.5760276141523161, 0.34305376967828677, -3.0069171456559323]"
106,106.0,"[-0.5754120087441277, 0.3331020271267274, -3.0076075753674494]"
107,107.0,"[-0.5555181763735119, 0.33837143428267125, -3.0175447951239676]"
108,108.0,"[-0.5489077965627135, 0.34656464472888926, -3.0217773955443405]"
109,109.0,"[-0.5261504349072118, 0.35147664071724766, -3.0348069682732035]"
110,110.0,"[-0.5388347171808239, 0.3402980200075187, -3.036148118565314]"
111,111.0,"[-0.559702277260537, 0.3041450022953259, -3.030026083082091]"
112,112.0,"[-0.5514761475105807, 0.30040726609167573, -3.034938493477706]"
113,113.0,"[-0.5528033894745129, 0.27675404476825655, -3.0332214376158975]"
114,114.0,"[-0.5554079065490827, 0.2659859098340208, -3.03370224002003]"
115,115.0,"[-0.5630132954207161, 0.2689564140167207, -3.027620329356448]"
116,116.0,"[-0.5587493782381305, 0.27778377858712155, -3.0311086740138173]"
117,117.0,"[-0.5504426485710543, 0.28128470654385007, -3.032143339878943]"
118,118.0,"[-0.549448857471907, 0.2927304652062679, -3.035279659589837]"
119,119.0,"[-0.5275468335227212, 0.29496142596176733, -3.03531189834147]"
120,120.0,"[-0.5265095985780716, 0.30188124184654475, -3.0327641758795827]"
121,121.0,"[-0.5308274471561717, 0.295642957904191, -3.0248373865907636]"
122,122.0,"[-0.5125834413205544, 0.31892552775308153, -3.034794741665968]"
123,123.0,"[-0.506851490371023, 0.2919633229533854, -3.028998599591789]"
124,124.0,"[-0.5137529520173986, 0.30374411675965135, -3.0368471110966317]"
125,125.0,"[-0.5084308699280935, 0.3181401565924073, -3.037106791782973]"
126,126.0,"[-0.48971373942526775, 0.3462500989936526, -3.040885563735468]"
127,127.0,"[-0.4928654279207616, 0.3433910180948842, -3.0408114313390353]"
128,128.0,"[-0.49201113168752364, 0.3244436775760843, -3.0429401294330636]"
129,129.0,"[-0.5065292959512788, 0.34025142568349714, -3.0378741132122387]"
130,130.0,"[-0.5387716022397885, 0.33113426084299685, -3.01630745839255]"
131,131.0,"[-0.5958547395060058, 0.3098302665360817, -2.99196804317016]"
132,132.0,"[-0.598628749994939, 0.2818017974140179, -3.0036947491127735]"
133,133.0,"[-0.620202996271276, 0.31581346222237355, -2.984839147272632]"
134,134.0,"[-0.6044849041830062, 0.31942982174770057, -2.9949582472068697]"
135,135.0,"[-0.6009458261443064, 0.2856831440526602, -2.9947091240125734]"
136,136.0,"[-0.6223906160916302, 0.2827484278384353, -2.9869805880382327]"
137,137.0,"[-0.6415176409105168, 0.2842089449823509, -2.9773919991952593]"
138,138.0,"[-0.6429989102045796, 0.28602684806652495, -2.971795787319896]"
139,139.0,"[-0.6480537878960435, 0.2567741303211823, -2.9740749388772296]"
140,140.0,"[-0.6465619459077394, 0.2681003747387198, -2.97175535524384]"
141,141.0,"[-0.6587616621250018, 0.2799257741756007, -2.9670783584605407]"
142,142.0,"[-0.6547848032468158, 0.27161870423485246, -2.9731335727033774]"
143,143.0,"[-0.6389528964803163, 0.27840543111082433, -2.980881214456299]"
144,144.0,"[-0.6305323502639057, 0.29341956725611773, -2.9873291510603335]"
145,145.0,"[-0.6300145492516211, 0.2834722666888694, -2.9876312314194804]"
146,146.0,"[-0.6358059731948551, 0.3148537983667136, -2.9759101137995367]"
147,147.0,"[-0.6464790934708886, 0.30581863340035725, -2.973450370801128]"
148,148.0,"[-0.6389392632288834, 0.3206751548169061, -2.9777323877613364]"
149,149.0,"[-0.6499207966680496, 0.2962961056755087, -2.9706402756255708]"
