,Frame Number,Rotation Vector
0,0.0,"[0.6114207110288595, 0.21087127546555007, -3.014405200340031]"
1,1.0,"[0.6057112405118916, 0.2112884735661717, -3.0099092316283826]"
2,2.0,"[0.6010094103044087, 0.20557268959102626, -3.0129342762673446]"
3,3.0,"[0.5899010070616734, 0.20099599407175942, -3.020768560363746]"
4,4.0,"[0.617812542530189, 0.21448844506418402, -3.0305723581987998]"
5,5.0,"[0.615560112055826, 0.18762834456069277, -3.0260492870937146]"
6,6.0,"[0.640761633938519, 0.1624255589106659, -3.017388022140785]"
7,7.0,"[0.6470873562641389, 0.1634988020456833, -3.005245733581687]"
8,8.0,"[0.6561560331993369, 0.16175688933184817, -3.0106017507243803]"
9,9.0,"[0.6266140622503689, 0.15704219632287, -3.0170433044019904]"
10,10.0,"[0.6034526114376992, 0.157702006415398, -3.0301249597442474]"
11,11.0,"[0.593765446421269, 0.17544512108406848, -3.0372840531953726]"
12,12.0,"[0.6021519799408345, 0.19171179837063362, -3.0322796744489966]"
13,13.0,"[0.6134817034007792, 0.19986194041505895, -3.0294617157117636]"
14,14.0,"[0.6087026124498266, 0.19827435256319675, -3.0329300103476773]"
15,15.0,"[0.62529327434163, 0.21317627269555836, -3.034197315415795]"
16,16.0,"[0.6276563871884135, 0.20742626026073624, -3.0385720586450153]"
17,17.0,"[0.6036198572968247, 0.20416714200771816, -3.043883846995151]"
18,18.0,"[0.5701119936838367, 0.1746945329277563, -3.0491598313700745]"
19,19.0,"[0.5576702016057935, 0.1683946607464424, -3.040043816331169]"
20,20.0,"[0.551622367241713, 0.1785911842417957, -3.0414659873679786]"
21,21.0,"[0.5852564941734844, 0.21566417797133916, -3.0467647651016017]"
22,22.0,"[0.6042447843136355, 0.21839599488846737, -3.048657360670591]"
23,23.0,"[0.5956574362282461, 0.21778950397869765, -3.050050850890013]"
24,24.0,"[0.5841486606211417, 0.2123924271947865, -3.0468792450920983]"
25,25.0,"[0.5464309053342298, 0.20722893375993526, -3.0476162919010314]"
26,26.0,"[0.533687260523098, 0.21125962031997061, -3.0495631683503355]"
27,27.0,"[0.5275158884518142, 0.2042148041183879, -3.053477297878486]"
28,28.0,"[0.5219544256701523, 0.19586673561783063, -3.057834408617416]"
29,29.0,"[0.5510095007179467, 0.21023957404464555, -3.058476800607046]"
30,30.0,"[0.5756842582386507, 0.19732165042780705, -3.0615481446439325]"
31,31.0,"[0.5907683758093732, 0.1933114051328317, -3.0600310554037513]"
