,Frame Number,Rotation Vector
0,0.0,"[0.24684826843925126, 0.1562186239035742, -3.03325071686767]"
1,1.0,"[0.22252589314724197, 0.16912408014794444, -3.0413635409480455]"
2,2.0,"[0.19735369543214906, 0.17816862868298486, -3.0514316935545667]"
3,3.0,"[0.17892114724396194, 0.16396973642444002, -3.054023168756107]"
4,4.0,"[0.15077931852085152, 0.15217687322981202, -3.0652485512051704]"
5,5.0,"[0.14583358058272775, 0.13782343954419268, -3.0653283744809263]"
6,6.0,"[0.13849946098132368, 0.1474097735729175, -3.0754114584229812]"
7,7.0,"[0.1368779287935953, 0.16441107770977684, -3.0782887985476233]"
8,8.0,"[0.1507085969347501, 0.17099270211313342, -3.0831228595754356]"
9,9.0,"[0.1386057812426719, 0.18069576586778233, -3.0860828539892804]"
10,10.0,"[0.13966131465469195, 0.17433423106619322, -3.0935290376323095]"
11,11.0,"[0.1382592663221015, 0.18176396538891218, -3.0877736078924936]"
12,12.0,"[0.13136167850275846, 0.16585455749030398, -3.086965200618565]"
13,13.0,"[0.1342297303785088, 0.14468193694756046, -3.0819762160344126]"
14,14.0,"[0.11484571466381924, 0.12155492717514875, -3.0788397227197715]"
15,15.0,"[0.09588310363001287, 0.08041253031236127, -3.0523842858836017]"
16,16.0,"[0.09456400163928985, 0.06582201709911178, -3.0456401332391545]"
17,17.0,"[0.09808291358895384, 0.07089151691864923, -3.048636613359711]"
18,18.0,"[0.11890312035729345, 0.08660071109400419, -3.054889102926227]"
19,19.0,"[0.12515407581301316, 0.09578587621494841, -3.052138422164747]"
20,20.0,"[0.13319567757940184, 0.09199738928533903, -3.054933690106951]"
21,21.0,"[0.1297894626618232, 0.09123290023703406, -3.045315230479032]"
22,22.0,"[0.1273327468413488, 0.09239227767474407, -3.0515357185411833]"
23,23.0,"[0.11167386836147147, 0.08262890779954996, -3.0419619199946344]"
24,24.0,"[0.10570742354624797, 0.09054677565677917, -3.0412796921507685]"
25,25.0,"[0.1088435417149203, 0.07351036469133637, -3.041711749425989]"
26,26.0,"[0.10904555667150737, 0.06839970394634536, -3.0444878156916095]"
27,27.0,"[0.10544972067655825, 0.07156954946796246, -3.0449847641146017]"
28,28.0,"[0.09623365377474374, 0.06602426237333847, -3.0476927841929853]"
29,29.0,"[0.10577473995539051, 0.07085218315459098, -3.048077524387699]"
30,30.0,"[0.09204808502808424, 0.06954024882585164, -3.0571134108609144]"
31,31.0,"[0.11497427358845232, 0.09293548105249133, -3.0641673257863253]"
32,32.0,"[0.11016526533823828, 0.11217219650150145, -3.068589184505124]"
33,33.0,"[0.11780062656428548, 0.13581629114980673, -3.065479608808453]"
34,34.0,"[0.15373523423115373, 0.2049074650425258, -3.0619577642850127]"
35,35.0,"[0.26098671021162845, 0.22016947975488946, -3.0285998480371257]"
36,36.0,"[0.33061677992139527, 0.1951379185946575, -3.0142516983209275]"
37,37.0,"[0.41938562708792004, 0.17866062227861973, -3.030777811725108]"
38,38.0,"[0.45863292229374075, 0.19172556003078497, -3.0552221334017635]"
39,39.0,"[0.4751336017263001, 0.15229882447726556, -3.0716784960928623]"
40,40.0,"[0.4689658349220255, 0.1530564959871059, -3.0799298175843877]"
41,41.0,"[0.48892904424404066, 0.14903644009724268, -3.083192425821704]"
42,42.0,"[0.46156355307552394, 0.1686570469838854, -3.0851952742053097]"
43,43.0,"[0.4821824060516475, 0.1762057100922845, -3.0531404223795127]"
44,44.0,"[0.5305886052101383, 0.18842235513836553, -3.011212560002858]"
45,45.0,"[0.5919320393319252, 0.20350951327901198, -2.9741991106715138]"
46,46.0,"[0.6645961222243404, 0.23631509483659122, -2.9640890376951816]"
47,47.0,"[0.7148521968147793, 0.25034979149897985, -2.9457014345864043]"
48,48.0,"[0.7438691070564256, 0.23966754521222017, -2.9349531511515448]"
49,49.0,"[0.7448672684451041, 0.22255288791783714, -2.938781778991922]"
50,50.0,"[0.7617902521399335, 0.2326768581333622, -2.934368089800152]"
51,51.0,"[0.7588593325975087, 0.23101580906749547, -2.9401022399679193]"
52,52.0,"[0.7511672983694195, 0.23266703418925044, -2.936457013312814]"
53,53.0,"[0.7183191721772559, 0.2503441278930495, -2.9233874517348672]"
54,54.0,"[0.8088381534572372, 0.2080449508235257, -2.94663459070786]"
55,55.0,"[0.08616176092607364, 0.3007468728980061, -2.9256825464812555]"
56,56.0,"[0.7613113143775109, 0.24160974876617, -2.983878172940582]"
57,57.0,"[0.7744017047699406, 0.22903051967503343, -2.9868266326273094]"
58,58.0,"[0.7432311672216473, 0.24479928607062731, -2.9771898928377625]"
59,59.0,"[0.7321025653112713, 0.25168537470293917, -2.9940693902479336]"
60,60.0,"[0.7247600172703881, 0.25743125847826337, -3.0189228298316415]"
61,61.0,"[0.7262517084022359, 0.253069915633755, -3.0134901138990164]"
62,62.0,"[0.7275714960666289, 0.2562094684848039, -3.016016881066044]"
63,63.0,"[0.7274771423866977, 0.2677529906925627, -3.0177226059890008]"
64,64.0,"[0.7000914558609369, 0.2596760900248166, -3.0061449840944543]"
65,65.0,"[0.7056009416345925, 0.2382725526393997, -3.040395667103785]"
66,66.0,"[0.5478800338959819, 0.2676524691234654, -2.9577746521402193]"
67,67.0,"[0.6098517691218375, 0.23839387483529173, -2.980094186366982]"
68,68.0,"[0.5533311539902327, 0.24602203077505602, -3.07482920404662]"
69,69.0,"[0.3791723856079881, 0.18701360904613173, -3.1725879919951354]"
70,70.0,"[0.4306985947351126, 0.14089859869358995, -3.2172515873124334]"
71,71.0,"[0.44584654034263754, 0.14389406450220676, -3.2545957441034186]"
72,72.0,"[0.42938498981807227, 0.17610303610376832, -3.2706077414646146]"
73,73.0,"[0.39073561295415854, 0.18035199979135047, -3.2739948472205262]"
74,74.0,"[0.2937960200508384, 0.161888608102617, -3.272196235338295]"
75,75.0,"[0.28541342267952907, 0.16379984088374042, -3.258317243276883]"
76,76.0,"[0.33242129970940737, 0.1663537147079163, -3.2664575878451574]"
77,77.0,"[0.4745599180071763, 0.21799586724185, -3.2661627887258478]"
78,78.0,"[0.6517514055879318, 0.25998757912720577, -3.162730745838933]"
79,79.0,"[0.7027727974458832, 0.28730762305942326, -3.1312989795790327]"
80,80.0,"[0.6986685348905524, 0.3006878614384533, -3.113239310371034]"
81,81.0,"[0.6662054784449137, 0.2934457066202964, -3.1421896627011185]"
82,82.0,"[0.6438964145780739, 0.27636651492736547, -3.142423733458229]"
83,83.0,"[0.5405256907674174, 0.2350943155157072, -3.1550890753322554]"
84,84.0,"[0.40927673602778103, 0.24314848410203274, -3.102019471748425]"
85,85.0,"[0.6294661303561206, 0.3258185684853231, -3.0002687703799116]"
86,86.0,"[0.647112426626853, 0.32396338271985664, -3.007976754470121]"
87,87.0,"[0.6276282714360556, 0.3147125813383621, -3.0156362993758927]"
88,88.0,"[0.6209901221328713, 0.26193592268404725, -3.038432348721138]"
89,89.0,"[0.6187232811370242, 0.1718224964681054, -2.9557765886625935]"
90,90.0,"[0.44665717662279714, 0.17055942031079993, -2.8589145453260136]"
91,91.0,"[0.5011794874036082, 0.20358633855805122, -2.9051063033172344]"
92,92.0,"[0.6012236869268518, 0.23545500226747898, -2.985448819831769]"
93,93.0,"[0.5265538046713886, 0.15496881684269892, -3.005025874459039]"
94,94.0,"[0.4467782564464214, 0.14604773448272856, -2.982201278752893]"
95,95.0,"[0.3578044358795796, 0.1832381053173138, -3.0037120444861727]"
96,96.0,"[0.3149948488269712, 0.17702092766959693, -2.982151905155676]"
97,97.0,"[0.3074316722487654, 0.1758052711557747, -2.998070875364542]"
98,98.0,"[0.280815652304375, 0.1596868467053155, -3.003884052353459]"
99,99.0,"[0.2715038402345364, 0.15150699826953648, -3.000250420478162]"
100,100.0,"[0.25792293484994594, 0.13684325344690704, -3.001271255957296]"
101,101.0,"[0.2918711765405656, 0.1310767258590413, -3.0110237031007956]"
102,102.0,"[0.28228480466033695, 0.15206146169442653, -3.0137947260029523]"
103,103.0,"[0.30266842251173626, 0.1694254824433778, -3.0177437916785146]"
104,104.0,"[0.3071042246855276, 0.19102674235447015, -3.014976431785986]"
105,105.0,"[0.3177445368435069, 0.1950081612746517, -3.022296814435055]"
106,106.0,"[0.3187989712163064, 0.196327054761687, -3.016571388520454]"
107,107.0,"[0.3280786283954478, 0.19107395416894496, -3.0162278028050746]"
108,108.0,"[0.3319240821742648, 0.19736874374327387, -3.029925732909426]"
109,109.0,"[0.3301720875019086, 0.20903335247422203, -3.02098029038138]"
110,110.0,"[0.33340036338070633, 0.20851900242303706, -3.0257450402674473]"
111,111.0,"[0.33857812556881817, 0.2172076270642227, -3.023307438779616]"
112,112.0,"[0.3384350011644227, 0.22094492977588012, -3.022382750854413]"
113,113.0,"[0.3429239034899514, 0.25034102078855996, -3.0060932672875547]"
