,Frame Number,Rotation Vector
0,10.0,"[-0.5019121645210913, 0.1308082671021882, -3.1488494914806564]"
1,11.0,"[-0.5128916994995486, 0.11762768669707768, -3.15483419048656]"
2,12.0,"[-0.4924798275503975, 0.025863508495782898, -3.1685779055300776]"
3,13.0,"[-0.4989288997804964, 0.008907356563319665, -3.1631064308859935]"
4,14.0,"[-0.49223798451910356, 0.0283395432089098, -3.163951605225783]"
5,15.0,"[-0.49061043203356014, 0.04864265714570901, -3.1756266407156875]"
6,16.0,"[-0.5047013782113519, 0.0782247828061866, -3.1628002182639494]"
7,17.0,"[-0.4950493390037276, 0.10468453323875888, -3.1504765458970914]"
8,18.0,"[-0.5058616342971527, 0.12473433705474511, -3.1481226662772737]"
9,19.0,"[-0.49939795389043634, 0.02104232033613969, -3.154840977553463]"
10,20.0,"[-0.5013325542842954, -0.0022814888192030968, -3.1586481251587446]"
11,21.0,"[-0.48935027361877875, -0.0012149514987283298, -3.1674738912843132]"
12,22.0,"[-0.5063080869535792, 0.023304341002004018, -3.1499247849114154]"
13,23.0,"[-0.5132778112379897, 0.018881254633919774, -3.1507037664726276]"
14,24.0,"[-0.512268881462201, 0.027034782396732477, -3.1577779818840215]"
15,25.0,"[-0.5389101978006696, 0.028829203055930487, -3.14610260140133]"
16,26.0,"[-0.5072769567113173, 0.043660998209124655, -3.1497435200337813]"
17,27.0,"[-0.5143574853691798, 0.0887571889767837, -3.1511769741919307]"
18,28.0,"[-0.5223561912275123, 0.07582307990749582, -3.1393897580498686]"
19,29.0,"[-0.5324728779604853, 0.022275390490222806, -3.1475540971794826]"
20,30.0,"[-0.525374344452658, 0.005423925649543269, -3.1469950157950617]"
21,31.0,"[-0.5222806435846575, 0.02008966864321086, -3.1426223661638155]"
22,32.0,"[-0.5409588959750569, 0.06560749879386744, -3.1350208938092194]"
23,33.0,"[-0.5299607010514249, 0.0856623905286745, -3.1388052950312932]"
24,34.0,"[-0.5358465271114095, 0.09810408411615747, -3.1341484509068436]"
25,35.0,"[-0.5386859756361732, 0.10795496649247709, -3.1321538860226643]"
26,36.0,"[-0.5768034356512288, 0.11860889970067788, -3.1293228615628235]"
27,37.0,"[-0.507082582848595, 0.09928121767251671, -3.145577519795879]"
28,38.0,"[-0.5124045026725309, 0.10894311020395353, -3.153663128865378]"
29,39.0,"[-0.5061302355536528, 0.11133857131486623, -3.1527776306996853]"
30,40.0,"[-0.4560838099478646, 0.008321346937188525, -3.166432718932304]"
31,41.0,"[-0.5059256934821854, 0.050159901657722716, -3.169230025659672]"
32,42.0,"[-0.5051176166193392, 0.026875531409241076, -3.1728309412656577]"
33,43.0,"[-0.5135576693208945, 0.032468929468049454, -3.158469704849325]"
34,44.0,"[-0.4931560715718664, 0.034155484687175976, -3.1397016652381664]"
35,45.0,"[-0.470994476686188, 0.0916958352907534, -3.1489574692527187]"
36,46.0,"[-0.47352682835262233, 0.11155027624877785, -3.1501077005130975]"
37,47.0,"[-0.5057813650612766, 0.11303623361288617, -3.1409309803123544]"
38,48.0,"[-0.48524746299826976, 0.1017674819074263, -3.1474973829757946]"
39,49.0,"[-0.5177399607205388, 0.10867948340611859, -3.155244520263982]"
40,50.0,"[-0.5167612818161902, 0.11437429315915756, -3.1622575495151772]"
41,51.0,"[-0.527220444333587, 0.12347491407570647, -3.163826283807207]"
42,52.0,"[-0.46913135465211386, 0.0755847298676181, -3.135740445070729]"
43,53.0,"[-0.47673823782959285, 0.10378099276720933, -3.1501101006913226]"
44,54.0,"[-0.47926267167250897, 0.11188476737226448, -3.1436938742427274]"
45,55.0,"[-0.49794706541860334, 0.1185442852356877, -3.133936990191821]"
46,56.0,"[-0.4704118504447381, 0.09772903473814713, -3.138355391684596]"
47,57.0,"[-0.4555980437817879, -0.005796618314357906, -3.155950202481863]"
48,58.0,"[-0.48302726478260066, -0.014161877746554613, -3.1426830126855116]"
49,59.0,"[-0.47920301139910937, 0.0029188731592971677, -3.1372550415963123]"
50,60.0,"[-0.4965794987518663, 0.025114403968669777, -3.1313528160832593]"
51,61.0,"[-0.4830125600551944, 0.027360084903692534, -3.1216511271341103]"
52,62.0,"[-0.502030005325712, 0.036989025995617306, -3.11855783077877]"
53,63.0,"[-0.4927915483255048, 0.06976985045501899, -3.124285181446669]"
54,64.0,"[-0.47139040586772846, 0.07759241078574769, -3.1345583552642915]"
55,65.0,"[-0.5031132315755734, 0.06786962097545779, -3.1305778560907096]"
56,66.0,"[-0.5064613348674715, 0.07143167776980681, -3.1271435185662435]"
57,67.0,"[-0.5233284434362461, 0.08077251605261274, -3.148718170855607]"
58,68.0,"[-0.5266969005434907, 0.09158111030368227, -3.147974511878695]"
59,69.0,"[-0.5075653463303752, 0.07280309923163841, -3.137159253881146]"
60,70.0,"[-0.5278937717261668, 0.08278995135302925, -3.1196495816260206]"
