,Frame Number,Rotation Vector
0,9.0,"[-0.6062317377459876, 0.12361389392516728, -3.0443343887440424]"
1,10.0,"[-0.4800296998144229, 0.15591894254792055, -3.1241923691266873]"
2,11.0,"[-0.4518123625222567, 0.1908070628033028, -3.1216830488366285]"
3,12.0,"[-0.45693266996698306, 0.20261693362534963, -3.1218777602383545]"
4,13.0,"[-0.4859177226030659, 0.17360565090664412, -3.110288854092803]"
5,14.0,"[-0.48116472318060116, 0.10278150566812591, -3.1126318116911706]"
6,15.0,"[-0.4830404545930756, 0.10922694564745938, -3.123087277541047]"
7,16.0,"[-0.49063108678765227, 0.14399275184522037, -3.126109603944076]"
8,17.0,"[-0.4877559039004403, 0.1437557429248945, -3.1150598337695836]"
9,18.0,"[-0.485882839756664, 0.2007853592156136, -3.11086780874122]"
10,19.0,"[-0.4816066947799835, 0.19211488707824623, -3.109553743135681]"
11,20.0,"[-0.5000435161521652, 0.18541955718748376, -3.105166228494158]"
12,21.0,"[-0.5255053071921826, 0.15477957071572182, -3.1055595780853893]"
13,22.0,"[-0.4968483806501037, 0.1484934145943445, -3.117355048137464]"
14,23.0,"[-0.5112264482943121, 0.1543792503399558, -3.103048201971936]"
15,24.0,"[-0.5071841936794217, 0.12605470990294046, -3.1119910605115186]"
16,25.0,"[-0.5042522630886805, 0.1587829747233172, -3.1040935911638625]"
17,26.0,"[-0.5044349086005886, 0.18538120222054655, -3.1091043919415258]"
18,27.0,"[-0.4539199568064257, 0.20105742526566367, -3.1158688954745166]"
19,28.0,"[-0.477854665933109, 0.20540312094894908, -3.1114278136398643]"
20,29.0,"[-0.4806762783255113, 0.10032184611070258, -3.1156690919208363]"
21,30.0,"[-0.4839630894106467, 0.10275863748330107, -3.126199384006524]"
22,31.0,"[-0.5012694452115538, 0.11493878476149322, -3.1226666441365927]"
23,32.0,"[-0.5012298988787862, 0.15641985990514082, -3.1290015320159155]"
24,33.0,"[-0.5044331263562929, 0.15698956770462524, -3.1363668647112513]"
25,34.0,"[-0.5219315061294969, 0.16297031283932445, -3.1319325712655446]"
26,35.0,"[-0.4830669053495253, 0.1601464393417848, -3.1356776956816104]"
27,36.0,"[-0.4999370472434642, 0.16408098103057278, -3.130837290075849]"
28,37.0,"[-0.5016713553557085, 0.171261238331547, -3.1307215915757793]"
29,38.0,"[-0.520676374217368, 0.17828914762150594, -3.1261935939391776]"
30,39.0,"[-0.5097116138317802, 0.15507936488030136, -3.136923970406614]"
31,40.0,"[-0.5055150451979711, 0.15327337577090305, -3.141035520281841]"
32,41.0,"[-0.5159352124854818, 0.14644096644070234, -3.1344692731674204]"
33,42.0,"[-0.495985987898298, 0.2112210631348726, -3.1266600312262485]"
34,43.0,"[-0.49519544662467363, 0.19836530858964357, -3.133932831406248]"
35,44.0,"[-0.5029728796458364, 0.17723771651230674, -3.1357723951851706]"
36,45.0,"[-0.5271335672450297, 0.15363629269710702, -3.1279170145386415]"
37,46.0,"[-0.5439775396315603, 0.17415585412485624, -3.120601114724112]"
38,47.0,"[-0.5345938523867565, 0.14882200200036164, -3.124708203677836]"
39,48.0,"[-0.523165963709371, 0.14690728974985337, -3.130684998011075]"
40,49.0,"[-0.5506062576057691, 0.13884324459694172, -3.1243393282275935]"
41,50.0,"[-0.5527718903605987, 0.1376171324914564, -3.121613309049503]"
42,51.0,"[-0.5277996854536124, 0.13548383029053107, -3.128433525379926]"
43,52.0,"[-0.5465312152756365, 0.16077873741211265, -3.1128905391054205]"
44,53.0,"[-0.5378177709627123, 0.15875099946255083, -3.114324420586497]"
45,54.0,"[-0.5257828666835465, 0.16447101378010778, -3.128284557344156]"
46,55.0,"[-0.5308892734641176, 0.16171264272949346, -3.126331414641956]"
47,56.0,"[-0.543427951554419, 0.17895232268849223, -3.1199188288824717]"
48,57.0,"[-0.5295308881053379, 0.11547684872822553, -3.1277733638641365]"
49,58.0,"[-0.5037595961578853, 0.034702092431959125, -3.139866182611674]"
50,59.0,"[-0.5172666374856676, 0.03364741312818708, -3.133839048394453]"
51,60.0,"[-0.5341003752391865, 0.07274260776087073, -3.129621937421116]"
52,61.0,"[-0.49321366862221716, 0.05237506410011459, -3.1413787232864623]"
53,62.0,"[-0.5257152170015672, 0.0673406845109963, -3.1251002079429218]"
54,63.0,"[-0.47217958965952106, 0.08605711022663384, -3.121141440143941]"
55,64.0,"[-0.5089896256699549, 0.14203465683601627, -3.1247097922214264]"
56,65.0,"[-0.5136391872416157, 0.16215706908544952, -3.126964009705977]"
57,66.0,"[-0.5195469800984405, 0.20381024392592828, -3.1347184707889433]"
58,67.0,"[-0.4762208485832305, 0.19837945544767585, -3.118625142477876]"
59,68.0,"[-0.4562556666716012, 0.2243923710961567, -3.1244698865492624]"
60,69.0,"[-0.4443994915664498, 0.22879948326850177, -3.1243119970017585]"
61,70.0,"[-0.4728267844601641, 0.24773906183620653, -3.137323602497457]"
62,71.0,"[-0.4510748809208414, 0.23655093067906505, -3.1459774467222843]"
63,72.0,"[-0.4520580841447014, 0.23129353587520565, -3.14697854685217]"
64,73.0,"[-0.4875688549779224, 0.2452424128746459, -3.1463838775455386]"
65,74.0,"[-0.486423378252943, 0.23370231444900327, -3.144822352943232]"
66,75.0,"[-0.4705615356333681, 0.22423282612061327, -3.1391242277294436]"
67,76.0,"[-0.4691837518274628, 0.22624277936745932, -3.139970779796386]"
68,77.0,"[-0.46304055237351355, 0.23197633953641, -3.1432641322727597]"
