,Frame Number,Rotation Vector
0,0.0,"[-0.42954817645552834, 0.29829631006095697, -3.06623016816418]"
1,1.0,"[-0.4180275057561038, 0.32369090903580267, -3.062483223662405]"
2,2.0,"[-0.38783717465119116, 0.3096049327170399, -3.0681575577431226]"
3,3.0,"[-0.3967934418762929, 0.33996761104974516, -3.0676910154160453]"
4,4.0,"[-0.39231896668004124, 0.3329651425727759, -3.0685668632420176]"
5,5.0,"[-0.3722612239222355, 0.3237777188428989, -3.078790041260694]"
6,6.0,"[-0.4049060807232161, 0.33879172898405285, -3.058657448757169]"
7,7.0,"[-0.41279189171205755, 0.3331800398347173, -3.0520739294254295]"
8,8.0,"[-0.38811235367858277, 0.3583752167088596, -3.0639954466401407]"
9,9.0,"[-0.4125202316803811, 0.3859579071222487, -3.0532243390884157]"
10,10.0,"[-0.40900144774602015, 0.30391419966691074, -3.056559586535497]"
11,11.0,"[-0.40181685868915423, 0.27500004545678275, -3.058349896758558]"
12,12.0,"[-0.38286757908546676, 0.2432350540155156, -3.054796988629972]"
13,13.0,"[-0.3644217018958026, 0.22118707268895638, -3.0538539665600206]"
14,14.0,"[-0.31276581426815186, 0.1745223699345871, -3.0654721496534583]"
15,15.0,"[-0.33968907243884783, 0.18896631803245378, -3.0526765493033285]"
16,16.0,"[-0.3213405993111317, 0.11425835889046256, -3.0502538886735686]"
17,17.0,"[-0.35498375002745597, 0.09521930388513349, -3.0186193491712836]"
18,18.0,"[-0.3583796765809062, 0.098698074034274, -3.0150400659603136]"
19,19.0,"[-0.39689086515115757, 0.14542793316853606, -3.0065027594808877]"
20,20.0,"[-0.3852408157608949, 0.12095712180325453, -3.0101109167046998]"
21,21.0,"[-0.3799219528772809, 0.09956341868628123, -3.012704540973078]"
22,22.0,"[-0.3657415435061656, 0.08723196224325402, -3.012544071201943]"
23,23.0,"[-0.34057059389339106, 0.08601951758486442, -3.0161634222923985]"
24,24.0,"[-0.3208878461915097, 0.07368788285150502, -3.0114653123416137]"
25,25.0,"[-0.3373078588151125, 0.0779446156424298, -3.0048955310646477]"
26,26.0,"[-0.3731560326046027, 0.12065014531333705, -2.992906682647208]"
27,27.0,"[-0.3815723891185489, 0.15590569913191507, -2.9826141360336966]"
28,28.0,"[-0.4059666879789621, 0.18598603085825943, -2.966345901789951]"
29,29.0,"[-0.40894457632229086, 0.17121661895566423, -2.967193693779507]"
30,30.0,"[-0.417087052438746, 0.16723971319267086, -2.9701380066749508]"
31,31.0,"[-0.3917106331984088, 0.14975922759401253, -2.9787131963992373]"
32,32.0,"[-0.40806771897266064, 0.15721916762369373, -2.975668061880001]"
33,33.0,"[-0.42531589067856246, 0.19832864922679433, -2.9765303408480177]"
34,34.0,"[-0.39558127162217455, 0.193728296201459, -2.9724330246604436]"
35,35.0,"[-0.4161280153949912, 0.2568972154978076, -2.9685387285508655]"
36,36.0,"[-0.42466170646633955, 0.27885679515709233, -2.9560105549224853]"
37,37.0,"[-0.4254580166140867, 0.37789011258801947, -2.9343720766270014]"
38,38.0,"[-0.4138153156873168, 0.35679887222196527, -2.946715227065791]"
39,39.0,"[-0.40979252920450304, 0.4583185168946959, -2.9424850857419393]"
40,40.0,"[-0.37807880450974424, 0.40964671365555705, -2.945773186699811]"
41,41.0,"[-0.39907182934805, 0.45775712584641987, -2.9354843608547387]"
42,42.0,"[-0.3825555644492504, 0.4084205207345326, -2.9301030717808207]"
43,43.0,"[-0.3394832666580926, 0.41018604454875, -2.9355700021104627]"
