,Frame Number,Rotation Vector
0,1.0,"[0.6873249097913636, -0.03163389577332581, -3.065560699493704]"
1,2.0,"[0.7325089585750764, -0.019255705097035065, -3.0651918752133493]"
2,3.0,"[0.7197815144093727, -0.011368337952541814, -3.065736527708292]"
3,4.0,"[0.734965044751797, -0.04757155876826871, -3.055874259759764]"
4,5.0,"[0.723735929907363, -0.0508415118944853, -3.060868644510561]"
5,6.0,"[0.7284967638392427, -0.04619225704008945, -3.066973436014782]"
6,7.0,"[0.7162981519971108, -0.010523356890452784, -3.0706109858537602]"
7,8.0,"[0.7276399383780274, 0.013557255687178351, -3.0619993423695804]"
8,9.0,"[0.7304570940358168, 0.01631602617775259, -3.0575798902835536]"
9,10.0,"[0.6904022279174359, -0.025305258010070723, -3.058036005721937]"
10,11.0,"[0.684162320536171, -0.05011662773672803, -3.05945575966594]"
11,12.0,"[0.6815819526830316, -0.05762292453233285, -3.0608848554366657]"
12,13.0,"[0.6874738454493677, -0.04956481260099083, -3.050902030373063]"
13,14.0,"[0.6960065767897786, -0.03412233804389645, -3.0417346612460663]"
14,15.0,"[0.6980213185487, -0.028912556468659, -3.0638860959491567]"
15,16.0,"[0.6754296219156032, -0.007887405456245734, -3.0555912488922057]"
16,17.0,"[0.6853423896564584, -0.03627625858803702, -3.0640380694994196]"
17,18.0,"[0.6828834498248191, -0.0172545227230131, -3.059828105366998]"
18,19.0,"[0.6899411385167759, 0.0028204563596108054, -3.0610808096431392]"
19,20.0,"[0.6877670125053208, -0.022474151419742947, -3.0689163766349936]"
20,21.0,"[0.664038240649559, -0.07787049663927813, -3.062561244214808]"
21,22.0,"[0.6577028917608952, -0.08732164532130045, -3.068376781735315]"
22,23.0,"[0.6641636439351712, -0.070378051335791, -3.075271113387794]"
23,24.0,"[0.6576700367979281, -0.06083683988070315, -3.0803664178644685]"
24,25.0,"[0.6752084893822318, -0.04183450958902878, -3.0748419362256803]"
25,26.0,"[0.6917527260854451, -0.038658604606873516, -3.0733421430248953]"
26,27.0,"[0.6856346992445111, -0.0405936763837281, -3.0666640636679547]"
27,28.0,"[0.6961803363004245, -0.020372497995895685, -3.0532887476163064]"
28,29.0,"[0.6911847632574546, -0.013000062422669973, -3.0632145837176754]"
29,30.0,"[0.6905947255092345, -0.020411231463394894, -3.0594356001713603]"
30,31.0,"[0.6696553126487782, -0.03742089725549693, -3.062090037558507]"
31,32.0,"[0.6667084004597781, -0.035351571135601945, -3.0636678450159733]"
32,33.0,"[0.6569621222444273, -0.031539814603332494, -3.0684374343177288]"
33,34.0,"[0.6516694561470211, -0.039024494469943494, -3.068868996010264]"
34,35.0,"[0.6371751493850788, -0.027766731771364624, -3.0581895647554433]"
35,36.0,"[0.6309120969552777, -0.07930793556137249, -3.0541910361889357]"
36,37.0,"[0.6653099908326006, -0.07087814671396368, -3.064675246810145]"
37,38.0,"[0.6514589044120062, -0.06915936531814364, -3.0701804452974706]"
38,39.0,"[0.6564747687980665, -0.07426259297376683, -3.0689233544329264]"
39,40.0,"[0.6647594726785165, -0.06902386566903863, -3.0674568403983242]"
40,41.0,"[0.6645047502342524, -0.06360270531978793, -3.068264320144657]"
41,42.0,"[0.6638342856144314, -0.04397987241920825, -3.0683012793135487]"
42,43.0,"[0.6577877003689461, -0.044717959820916954, -3.0749099556993613]"
43,44.0,"[0.6444164206582892, -0.04571555355337002, -3.0704258391063073]"
44,45.0,"[0.625816358797087, -0.08015966127341742, -3.0770777995810823]"
45,46.0,"[0.6455084631658524, -0.06799525376276606, -3.0515514579240217]"
46,47.0,"[0.651545905803486, -0.06088363825079057, -3.038335372528778]"
47,48.0,"[0.6319943793653349, -0.05787956210888211, -3.035574712100627]"
48,49.0,"[0.6525000936367283, -0.060612642573804575, -3.032901787856225]"
49,50.0,"[0.6720206158050853, -0.05409651480118182, -3.035601992772854]"
50,51.0,"[0.6646461754192963, -0.019190076770790838, -3.0317253746395334]"
51,52.0,"[0.6973269941968294, -0.02749584995027984, -3.0499384163323096]"
52,53.0,"[0.7117401171753902, -0.00242835860055565, -3.0570183181068455]"
53,54.0,"[0.7262006885777608, 0.03544750327886652, -3.0571467063456392]"
54,55.0,"[0.7155983651392452, 0.038813313478149813, -3.047041266795169]"
55,56.0,"[0.7125366240954749, 0.048959281797993165, -3.0587989446676733]"
56,57.0,"[0.7146006318811701, 0.0066386553096916935, -3.067226850287715]"
57,58.0,"[0.7169662095170933, 0.01728952835336922, -3.074709446075788]"
58,59.0,"[0.692937427092119, 0.005056641163025576, -3.0844253105654666]"
59,60.0,"[0.6648594698535448, -0.008030900113010688, -3.087965393174369]"
60,61.0,"[0.6291245085696604, -0.03657088970498793, -3.095661294489632]"
61,62.0,"[0.6140315021742628, -0.06285845773182898, -3.096781286646298]"
62,63.0,"[0.6273186337819329, -0.02485601449679653, -3.10315090505974]"
63,64.0,"[0.6133545982546481, -0.027673172593665165, -3.1008950604910055]"
64,65.0,"[0.6133657737727958, -0.022023399275054104, -3.103081318035885]"
65,66.0,"[0.6267354620488874, -0.021874703508053553, -3.0978507909962976]"
66,67.0,"[0.6313991438338554, -0.018659926846955905, -3.091425181368926]"
67,68.0,"[0.6488598239175501, -0.04268148876097961, -3.091860583768428]"
68,69.0,"[0.6630533067380037, -0.04839645421337993, -3.0878816102341498]"
69,70.0,"[0.665476210971972, -0.046656103855262726, -3.08536989229886]"
70,71.0,"[0.677448543316494, -0.05970930710964204, -3.088209880842594]"
71,72.0,"[0.7045923109113718, -0.05337615770895003, -3.085466866986457]"
72,73.0,"[0.6879867778708033, -0.0812117959963969, -3.0865173787129025]"
73,74.0,"[0.7096528983237508, -0.10096686591601593, -3.0839672335939268]"
74,75.0,"[0.7222486995249527, -0.1172301534059781, -3.0846528879954866]"
75,76.0,"[0.714510883111671, -0.1260542887911429, -3.082477395179123]"
