,Frame Number,Rotation Vector
0,0.0,"[-0.5410575031641897, 0.41606109961015303, -3.2033708981854265]"
1,1.0,"[-0.5749256303822192, 0.4358403073267614, -3.201346387447794]"
2,2.0,"[-0.5870231727991764, 0.4638643369163338, -3.2041320409645846]"
3,3.0,"[-0.624103691799567, 0.49999857342264503, -3.1893257073183934]"
4,4.0,"[-0.6492620366854955, 0.5184183142124962, -3.17332223575998]"
5,5.0,"[-0.6759035366023394, 0.5348336481219984, -3.14816823122491]"
6,6.0,"[-0.6792393214908218, 0.567895513327428, -3.1198532767261256]"
7,7.0,"[-0.7020342765783547, 0.5644642814654207, -3.092852759165985]"
8,8.0,"[-0.6816851004525057, 0.5678002998960341, -3.0914030348614285]"
9,9.0,"[-0.7085128159509917, 0.5756504733692948, -3.08508428746785]"
10,10.0,"[-0.7214135603398921, 0.5658127613384453, -3.0812925808755796]"
11,11.0,"[-0.7600294041467942, 0.5475325693450954, -3.0771038302406817]"
12,12.0,"[-0.7708678236355729, 0.5340085847273482, -3.0823510320240155]"
13,13.0,"[-0.7654449496170844, 0.5396784642031348, -3.0759288172546198]"
14,14.0,"[-0.7342210638023892, 0.5546349720490348, -3.0772637409172883]"
15,15.0,"[-0.640143768492182, 0.5805353099697199, -3.077586216158253]"
16,16.0,"[-0.5467460221605509, 0.5990823445186276, -3.0473108765149743]"
17,17.0,"[-0.4203909828279144, 0.6432322498421721, -3.026051285695659]"
18,18.0,"[-0.35424741528651815, 0.6643586851953046, -2.983953739810833]"
19,19.0,"[-0.262868369117552, 0.6850150370200694, -2.954429309387153]"
20,20.0,"[-0.20437200267987152, 0.7128841867843856, -2.933501607330797]"
21,21.0,"[-0.14821699598232227, 0.7204748672500269, -2.9201349859734047]"
22,22.0,"[-0.15116360179776006, 0.7242510165461264, -2.921738280632342]"
23,23.0,"[-0.1526814997832583, 0.7275169175105124, -2.9257819733758477]"
24,24.0,"[-0.14997043414769567, 0.7293488827489529, -2.923805817247551]"
25,25.0,"[-0.14299918676673876, 0.7202499353031276, -2.9346876680984946]"
26,26.0,"[-0.15048458147811583, 0.6754225807529729, -2.945818824271453]"
27,27.0,"[-0.12567047468644127, 0.6712592978884085, -2.948928853082506]"
28,28.0,"[-0.08517227777129284, 0.679616632036121, -2.938169072677233]"
29,29.0,"[-0.032949421938796415, 0.6642171436904069, -2.9173924850646142]"
30,30.0,"[-0.01674173840570004, 0.673058169662496, -2.8886087699500225]"
31,31.0,"[-0.004172753473783064, 0.6830691391514212, -2.861672854656743]"
32,32.0,"[0.009515961878367854, 0.6652499882598761, -2.8407856972556726]"
33,33.0,"[0.041291157514605555, 0.6501265040890387, -2.8299123826976564]"
34,34.0,"[0.04550603613147435, 0.6296081030127454, -2.8432287716831914]"
35,35.0,"[0.03304206904959664, 0.6465580468316842, -2.851445263426004]"
36,36.0,"[0.014057121394611174, 0.6396016348609931, -2.8674028228027235]"
37,37.0,"[-0.0025649049417516947, 0.6342719987117045, -2.8825844639010683]"
38,38.0,"[0.001441446233966059, 0.6256522555713538, -2.886168505700504]"
39,39.0,"[-0.006348411757111759, 0.625724231633107, -2.8862045187318657]"
40,40.0,"[-0.011116172217683554, 0.6506239443703997, -2.872086526050772]"
41,41.0,"[-0.016140448325129075, 0.6531449431908002, -2.8672134784055117]"
42,42.0,"[-0.015296015064987333, 0.6549685216610813, -2.8775070455368565]"
43,43.0,"[-0.019556435763005194, 0.6780650763384283, -2.8777455657007365]"
44,44.0,"[-0.041762293081068526, 0.6691669559466907, -2.88046307295062]"
45,45.0,"[-0.056135245577766106, 0.6799122345140036, -2.875667779754658]"
46,46.0,"[-0.06137822205175224, 0.680507714319619, -2.881341892451874]"
47,47.0,"[-0.07715619124021253, 0.6745953429446324, -2.8930420777406733]"
48,48.0,"[-0.09355017681298802, 0.6757157349445938, -2.8928761365473266]"
49,49.0,"[-0.11577647530029851, 0.6717190598800409, -2.8930183437218053]"
50,50.0,"[-0.13263680180725607, 0.6739381611108003, -2.895753771430444]"
51,51.0,"[-0.13850088911071062, 0.6619003357522824, -2.904548521108933]"
52,52.0,"[-0.14292617905462573, 0.6678723079630288, -2.903100798958338]"
53,53.0,"[-0.16513493881501337, 0.6687758844543944, -2.891747951958003]"
54,54.0,"[-0.16855237800138176, 0.6612606115325917, -2.8876002825550127]"
55,55.0,"[-0.17614547271926376, 0.6441287629679278, -2.88595687371701]"
56,56.0,"[-0.18155010415068568, 0.6473953695812512, -2.8940881336433555]"
57,57.0,"[-0.18031735134089688, 0.6397263775149893, -2.901123092849584]"
58,58.0,"[-0.17690272878410968, 0.6247518634002955, -2.9113074398490326]"
59,59.0,"[-0.18155072505959552, 0.6178301152468358, -2.911964134178105]"
60,60.0,"[-0.1499303376480815, 0.6112272481888632, -2.9129191465177486]"
61,61.0,"[-0.13538119003040747, 0.6098810667103749, -2.90759513937725]"
62,62.0,"[-0.1359885656772549, 0.6123810169883238, -2.911728895852638]"
63,63.0,"[-0.1437527844915789, 0.6010407006219004, -2.9206218887328017]"
64,64.0,"[-0.15964110739234452, 0.5936895177443982, -2.9302015504002683]"
65,65.0,"[-0.24501380581119572, 0.5764425771422845, -2.9388734702515653]"
66,66.0,"[-0.32437166968196224, 0.5106662126697145, -2.932878486166812]"
67,67.0,"[-0.39290800961215633, 0.4868168455700369, -2.9118032570493235]"
68,68.0,"[-0.4645855418893743, 0.4691120495435138, -2.902460931364717]"
69,69.0,"[-0.4961215443770787, 0.4468014663037923, -2.896652359234222]"
70,70.0,"[-0.5235553509539461, 0.4194136065773863, -2.896627954811351]"
71,71.0,"[-0.5494854618907771, 0.40645946847827996, -2.8957294304859693]"
72,72.0,"[-0.5853351491209076, 0.3863028024223149, -2.888257113726952]"
73,73.0,"[-0.6201600248757553, 0.34542366829570337, -2.891195865753382]"
74,74.0,"[-0.6457995494658134, 0.3260083992397428, -2.875804217280351]"
75,75.0,"[-0.6541935382666477, 0.2911709009955777, -2.871705679747255]"
76,76.0,"[-0.6504254973691292, 0.26935043936635894, -2.857010622213756]"
77,77.0,"[-0.6521356763214946, 0.25539904462504964, -2.8460176438525058]"
78,78.0,"[-0.6450745007570774, 0.25609275068523407, -2.843949754137558]"
79,79.0,"[-0.6479780854202566, 0.25228020392858547, -2.8443337964537276]"
80,80.0,"[-0.634700371190148, 0.26649941286682965, -2.840590483049962]"
81,81.0,"[-0.6171417529933729, 0.2881596486436932, -2.8415389751072664]"
82,82.0,"[-0.6142529521618647, 0.28284293269998095, -2.837537572099446]"
83,83.0,"[-0.6002681987928582, 0.3088464434328615, -2.837315493646518]"
84,84.0,"[-0.6108933259488228, 0.2989283206370211, -2.8444493408620275]"
85,85.0,"[-0.6359992137865306, 0.2856313019324783, -2.8468762160882553]"
86,86.0,"[-0.6447637040111424, 0.28403014974542234, -2.853666770426323]"
87,87.0,"[-0.6334857931292331, 0.28458957702148135, -2.8681505436369217]"
88,88.0,"[-0.5700072769923854, 0.39283658146231754, -2.891252229821934]"
89,89.0,"[-0.5301404864199314, 0.4327592491203453, -2.9058400733285437]"
90,90.0,"[-0.48071414252684297, 0.4441634823121601, -2.9158657997270074]"
91,91.0,"[-0.4459869553354438, 0.42459026474987865, -2.9240857329735603]"
92,92.0,"[-0.43517630167986243, 0.3786570260691458, -2.947583239154382]"
93,93.0,"[-0.41047387682734404, 0.3833486663524111, -2.949200234646287]"
94,94.0,"[-0.38891766284550616, 0.37862002358177443, -2.9416745241599846]"
95,95.0,"[-0.3991547271069548, 0.3610276389300908, -2.93159843198021]"
96,96.0,"[-0.3713752937032585, 0.38003292279830575, -2.93299544423815]"
97,97.0,"[-0.36099059866797345, 0.3476644783392601, -2.9370633189283604]"
98,98.0,"[-0.3372683052547169, 0.3297903663091491, -2.9459287849908007]"
99,99.0,"[-0.33715055471507327, 0.3264901483224049, -2.946446197707986]"
100,100.0,"[-0.3206123183349059, 0.33904659520364444, -2.9488037045639492]"
101,101.0,"[-0.3176591194627356, 0.3441884342994491, -2.948273337183012]"
102,102.0,"[-0.30093251309254887, 0.3718764093419783, -2.951422165784754]"
103,103.0,"[-0.2732792058973439, 0.40176303423024173, -2.9401314226832467]"
104,104.0,"[-0.24177675969707235, 0.5078941945197815, -2.93075845145604]"
105,105.0,"[-0.18767679149532496, 0.5581503163817391, -2.901472310828693]"
106,106.0,"[-0.14083797904024145, 0.6287857677708404, -2.880236499406428]"
107,107.0,"[-0.10999645216315151, 0.634162664958122, -2.8572731025401694]"
108,108.0,"[-0.08838931295195016, 0.6443547723643824, -2.835081053211909]"
109,109.0,"[-0.06426648243378184, 0.6377756056844659, -2.7928300524195366]"
110,110.0,"[-0.037294761447950395, 0.6394386134422593, -2.7736530889482793]"
111,111.0,"[-0.009629910471421619, 0.6428493588066087, -2.739594750565274]"
112,112.0,"[-0.016129229500138117, 0.6300364139776469, -2.738075905025894]"
113,113.0,"[-0.02076799169275223, 0.6266801821422003, -2.7343479601107283]"
114,114.0,"[-0.029172791821387888, 0.6279309754977689, -2.7410324707374327]"
115,115.0,"[-0.03179617048435148, 0.6263679091449962, -2.7507643022033763]"
116,116.0,"[-0.04218165272258484, 0.6130518544376669, -2.7624641175653806]"
117,117.0,"[-0.051162701571879174, 0.6269541098112874, -2.773897861238761]"
118,118.0,"[-0.07814575383360303, 0.6234985264312262, -2.7734377232952214]"
119,119.0,"[-0.10011770536658021, 0.6153321889985788, -2.7789457535273177]"
120,120.0,"[-0.1211534268212727, 0.6025090565799898, -2.790074658457925]"
121,121.0,"[-0.12999053014131157, 0.5881626925249911, -2.799731367965279]"
122,122.0,"[-0.171850729311178, 0.5771722548117921, -2.81261032401848]"
123,123.0,"[-0.25741426229256764, 0.557641129179431, -2.832744071073284]"
124,124.0,"[-0.33242482867687817, 0.4820234581975043, -2.8357291540491905]"
125,125.0,"[-0.3945993779613365, 0.4012578424507899, -2.838564509658579]"
126,126.0,"[-0.4916949799136482, 0.34178535045136127, -2.805043467096221]"
127,127.0,"[-0.557616661377545, 0.29344864545994814, -2.7971298137037435]"
128,128.0,"[-0.5653867952376828, 0.29620848000201316, -2.7992280622165477]"
129,129.0,"[-0.5665100804706331, 0.3014544803881357, -2.8014012241107062]"
130,130.0,"[-0.5623355761557753, 0.3146922581581363, -2.8064984913279485]"
131,131.0,"[-0.5528326817133212, 0.32074384272395534, -2.802752395322573]"
132,132.0,"[-0.5768285748503154, 0.3129720500624604, -2.7921328220131443]"
133,133.0,"[-0.6004267430532477, 0.311657645225301, -2.798848681848521]"
134,134.0,"[-0.6350863744607249, 0.2871257677939251, -2.8086211429778634]"
