,Frame Number,Rotation Vector
0,0.0,"[-0.5033604919399804, 0.22429686438421698, -3.1234480721011066]"
1,1.0,"[-0.45517651088844585, 0.18363121101842114, -3.138789768539902]"
2,2.0,"[-0.41519512552701165, 0.16201291993115546, -3.1446730008597177]"
3,3.0,"[-0.39467272197928177, 0.14893910043210198, -3.151517020587759]"
4,4.0,"[-0.36628544432577886, 0.145424782266035, -3.158717875567263]"
5,5.0,"[-0.3325668631504826, 0.13103837689090245, -3.169911072386287]"
6,6.0,"[-0.29979706198920897, 0.12325896088067348, -3.1786284015030892]"
7,7.0,"[-0.28322119742124907, 0.11673389128668923, -3.182082638257819]"
8,8.0,"[-0.2783515324934778, 0.10997836282129453, -3.184699811214444]"
9,9.0,"[-0.27110508454574367, 0.11430538773641626, -3.1808323362202104]"
10,10.0,"[-0.2646869519258245, 0.11914565894194432, -3.1829240823751714]"
11,11.0,"[-0.2726624453470182, 0.11363234043430492, -3.18675344919739]"
12,12.0,"[-0.2819727628250933, 0.13268378925076615, -3.186599790283031]"
13,13.0,"[-0.2874981345796794, 0.16926360053321451, -3.1815218882257934]"
14,14.0,"[-0.28660589875535397, 0.2823461223627253, -3.17432855768193]"
15,15.0,"[-0.28765011944606345, 0.4102673380304462, -3.154849209569388]"
16,16.0,"[-0.47345964711244726, 0.045050358319299044, -3.1067716076614653]"
17,17.0,"[-0.3346582855918576, 0.35107724747630564, -3.22258997328648]"
18,18.0,"[0.06798448542621177, 0.3232293558399376, -3.0720064421454683]"
19,19.0,"[0.27882082069424197, 0.30569061608756637, -3.0039433435680944]"
20,20.0,"[0.16045329319877624, 0.27452536238825814, -2.967181872295465]"
21,21.0,"[0.12811566578267705, 0.27303563888584176, -2.948135633536283]"
22,22.0,"[0.23663674493306427, 0.2905212995734189, -2.8833281146020333]"
23,23.0,"[0.2860075449022372, 0.2738901189609217, -2.9039727775189013]"
24,27.0,"[0.28861495304259155, 0.2875815704713514, -3.0083399564073248]"
25,28.0,"[0.05797673678624273, 0.3198408590977863, -3.055027992539127]"
26,31.0,"[-0.23446428997217764, 0.34491283919219506, -3.138582508330328]"
27,32.0,"[-0.29567348963140155, 0.3702934148402849, -3.143239601484624]"
28,34.0,"[-0.4417088077678947, 0.44190007623702976, -3.105714661401967]"
29,35.0,"[-0.5732206656271629, 0.4489627696209337, -3.1046151604757326]"
30,36.0,"[-0.6465683344512058, 0.48841065631142677, -3.0473072667943724]"
31,37.0,"[-0.7460797000219931, 0.532390003920255, -2.9766259926093026]"
32,38.0,"[-0.8458571955708246, 0.5292675897992813, -2.9686009614174917]"
33,39.0,"[-0.9025635338819155, 0.4756888210733649, -2.9986606904386983]"
34,40.0,"[-0.9123136400959483, 0.45646256920612355, -3.0524484842983144]"
35,41.0,"[-0.8148902412293505, 0.42975922710065656, -3.0812617555683484]"
36,42.0,"[-0.7569337482521485, 0.4170165027939004, -3.0921559399285683]"
37,43.0,"[-0.7152194007839254, 0.4391576489140518, -3.0704987628620044]"
38,44.0,"[-0.8218804791037606, 0.39167691224756307, -3.0735605565301367]"
39,45.0,"[-0.8753511118798966, 0.40544092638036117, -3.03787459105891]"
40,46.0,"[-0.7982660201813574, 0.35392680339454624, -2.981077412899816]"
41,47.0,"[-0.6695439799475636, 0.3920128097535397, -3.0030752137640624]"
42,48.0,"[-0.5868700100834687, 0.37650730533825494, -3.0456264529927863]"
43,49.0,"[-0.7028647893670246, 0.419654928177885, -3.015092012007461]"
44,50.0,"[-0.7542782394194996, 0.4575599600371952, -2.9631775634313535]"
45,51.0,"[-0.8177239180915723, 0.44677983810603317, -2.991015054935255]"
46,52.0,"[-0.8491635868537466, 0.44549716595500266, -2.9826025348394087]"
47,53.0,"[-0.8809235538308638, 0.4187215579135201, -2.9822033944734185]"
48,54.0,"[-0.9042219699926922, 0.42242641683022575, -3.0014649720658104]"
49,55.0,"[-0.9088216656189524, 0.4087189016241067, -3.020946222455707]"
50,56.0,"[-0.9089333640213244, 0.4110875263936424, -3.0251076820605016]"
51,57.0,"[-0.9017068978609152, 0.4108808491238598, -3.0370795193430995]"
52,58.0,"[-0.8925564241970697, 0.39528601085040743, -3.0364768216887237]"
53,59.0,"[-0.8793680074796328, 0.3741588464403767, -3.043567681887678]"
54,60.0,"[-0.840757053743829, 0.3865125641453634, -3.0303303141707887]"
55,61.0,"[-0.7753327386268478, 0.38222827569525186, -3.0176914242822384]"
56,62.0,"[-0.8225529462630525, 0.38154891731770957, -3.0635582641539707]"
57,63.0,"[-0.7180321063809291, 0.4758532417090097, -3.046839335140793]"
58,64.0,"[-0.6782450983918912, 0.5024553635196407, -3.024611993758158]"
59,65.0,"[-0.5912518365488082, 0.521814548387984, -3.0691687990198755]"
60,66.0,"[-0.6279689802964712, 0.2952187087745441, -3.154211163840199]"
61,67.0,"[0.13456325148818998, 0.3171989349710004, -3.186237935928822]"
62,68.0,"[-0.1604484527671901, 0.235942417791755, -3.0843227117755485]"
63,69.0,"[-0.1798549174193527, 0.33623346919024794, -3.0955132256735913]"
64,70.0,"[-0.17868549377114856, 0.16453865059852668, -3.137379155792935]"
65,71.0,"[-0.10267634501816968, 0.34273169788269475, -3.1252183151852964]"
66,72.0,"[0.04805651083738539, 0.3293770347018461, -3.0955261581883677]"
67,73.0,"[-0.029542940268862075, 0.26720305920062337, -3.1772941710183056]"
68,74.0,"[-0.30966734049525313, 0.32622989358606463, -3.1621579214397055]"
69,75.0,"[-0.3459136149373051, 0.38894596450839936, -3.1249003631903274]"
