,Frame Number,Rotation Vector
0,0.0,"[-0.2021675750650613, 0.23804731658400025, -3.0788015801025406]"
1,1.0,"[-0.1935750724504862, 0.21625196622740075, -3.0743110341657025]"
2,2.0,"[-0.21234065698977345, 0.19530235082206052, -3.0820525068266167]"
3,3.0,"[-0.2225843263423644, 0.17632886688323407, -3.0668683793381235]"
4,4.0,"[-0.23915616516367644, 0.1429875488546278, -3.0790785826998417]"
5,5.0,"[-0.25662548214586595, 0.14583567086619245, -3.0780860853326373]"
6,6.0,"[-0.2987842560598116, 0.15381706600499415, -3.0669857910379497]"
7,7.0,"[-0.3388911401357567, 0.14404789411286717, -3.0682406193120735]"
8,8.0,"[-0.39507120416765396, 0.18533211775360367, -3.0675884121984187]"
9,9.0,"[-0.381918412170574, 0.20543614670133653, -3.062396049842864]"
10,10.0,"[-0.37065249733219735, 0.18763416983355655, -3.062192824793406]"
11,11.0,"[-0.3556877155086939, 0.17719906727304163, -3.0636653477106583]"
12,12.0,"[-0.36991216158693524, 0.19518781753783432, -3.052906232714953]"
13,13.0,"[-0.37233679735046316, 0.23335972310709274, -3.0524988030492697]"
14,14.0,"[-0.3772011070034225, 0.2436430152849226, -3.046355258666415]"
15,15.0,"[-0.36346458231694584, 0.23200358424224626, -3.0523407053681315]"
16,16.0,"[-0.3680312428958538, 0.2334467657856466, -3.052290956399436]"
17,17.0,"[-0.37616301322895696, 0.20635288774580524, -3.0532751589782703]"
18,18.0,"[-0.36761452247604437, 0.21943457209924924, -3.0544408472249]"
19,19.0,"[-0.3718184370583719, 0.22184618936299688, -3.0494521223157354]"
20,20.0,"[-0.3764239925152031, 0.21210111948862712, -3.051412607613339]"
21,21.0,"[-0.37719459029889507, 0.2129583669676117, -3.0498377904794842]"
22,22.0,"[-0.390716703673971, 0.22066067935016978, -3.0458223642825013]"
23,23.0,"[-0.38287271484978236, 0.23132081656041156, -3.0413889827360823]"
24,24.0,"[-0.38760151160313566, 0.23270330395343056, -3.040433840593022]"
