,Frame Number,Rotation Vector
0,0.0,"[-0.5032640087837186, 0.28819106017217433, -3.0250953807355856]"
1,1.0,"[-0.4980290222939052, 0.29445636778987433, -3.0176149048258654]"
2,2.0,"[-0.5017313182492111, 0.3060958506362224, -3.0050945544891765]"
3,3.0,"[-0.5221403314564442, 0.3020131723636295, -2.969426561508521]"
4,4.0,"[-0.5309474869600653, 0.27836105466131644, -2.949422113921167]"
5,5.0,"[-0.5530416649208142, 0.25014240493255624, -2.9415669467086847]"
6,6.0,"[-0.5646981138754517, 0.21621470208731988, -2.940783853863763]"
7,7.0,"[-0.57691402995575, 0.2417461239184277, -2.911722094569942]"
8,8.0,"[-0.6078569670780608, 0.2647661488148815, -2.908083672424913]"
9,9.0,"[-0.6061387721922648, 0.2787103614836643, -2.89490239510462]"
10,10.0,"[-0.6058132713898842, 0.30135038691012517, -2.8762962930577824]"
11,11.0,"[-0.6166936048663965, 0.3656025275950397, -2.844070257519347]"
12,12.0,"[-0.6029134508265378, 0.4136332807971413, -2.8217550863950907]"
13,13.0,"[-0.5946472316437837, 0.4410627365904457, -2.822741506675912]"
14,14.0,"[-0.5987861384750076, 0.4532537701822411, -2.8462319474249442]"
15,15.0,"[-0.5967047277214368, 0.48854933239982123, -2.8241991492194294]"
16,16.0,"[-0.6038179570494663, 0.4765642499659718, -2.8259434985916645]"
17,17.0,"[-0.5998210327021267, 0.5011552014873348, -2.8299326174052677]"
18,18.0,"[-0.6034496452945648, 0.4885771616352557, -2.8246159190909976]"
19,19.0,"[-0.6111406709736558, 0.4792921519865847, -2.8324151106432214]"
20,20.0,"[-0.5929897332246566, 0.4703711642579618, -2.854654194662533]"
21,21.0,"[-0.5942622590512063, 0.47606740518412183, -2.8668850601971285]"
22,22.0,"[-0.5715539413056367, 0.45038169100016484, -2.883248614889326]"
23,23.0,"[-0.49995343598538655, 0.3971752969374469, -2.9635563911452905]"
24,24.0,"[-0.4519255121108895, 0.35679799532727907, -3.0043090275832163]"
25,25.0,"[-0.39838061327693247, 0.3406981797909967, -3.016685867394983]"
26,26.0,"[-0.3031978445392572, 0.36394673221697954, -3.0535257537218623]"
27,27.0,"[-0.202899443191513, 0.34506427764710995, -3.1047288281311363]"
28,28.0,"[-0.13102843075140141, 0.3174608388023662, -3.1200018459493593]"
29,29.0,"[-0.04674812145007259, 0.30728553083771776, -3.1500177679793913]"
30,30.0,"[-0.01040671633873663, 0.3336925699615538, -3.1519820333253574]"
31,31.0,"[0.061852036142267544, 0.2173681420312893, -3.1870425090946557]"
32,32.0,"[0.11344168031294173, 0.21529665611912316, -3.2115510973568067]"
33,33.0,"[0.12296266425716594, 0.260678768535861, -3.207485739072795]"
34,34.0,"[0.14395998018022815, 0.28114394449900054, -3.2071502152842783]"
35,35.0,"[0.17522090364671636, 0.3177692551200127, -3.240645529685364]"
36,36.0,"[0.1937510058428794, 0.3133540870917198, -3.245680517492245]"
37,37.0,"[0.17006372624110203, 0.26498332790335805, -3.2248752269069363]"
38,38.0,"[0.17880936172378842, 0.26345765043044733, -3.227702195944096]"
39,39.0,"[0.14967274854051701, 0.27156116874023417, -3.224151442124356]"
40,40.0,"[0.16129201262022325, 0.2992660216933179, -3.229031124682618]"
41,41.0,"[0.1795273501123951, 0.31624534301986845, -3.225803038439811]"
42,42.0,"[0.1550630604112889, 0.30345732053898156, -3.211593889769297]"
43,43.0,"[0.11443691412029719, 0.20045287699313868, -3.1986232972949997]"
44,44.0,"[0.005252613342262963, 0.22199477258751676, -3.1855908076898665]"
45,45.0,"[-0.11242418737369328, 0.21778607471870673, -3.162024219401681]"
46,46.0,"[-0.1634327212564731, 0.2230182309821504, -3.1356976214648613]"
47,47.0,"[-0.28181071957164505, 0.1553317174686312, -3.082000758906108]"
48,48.0,"[-0.32577812525694566, 0.16937754873862537, -3.0548023811661045]"
49,49.0,"[-0.3710576202688175, 0.190922263914271, -3.0414139809691707]"
50,50.0,"[-0.41658603134350236, 0.24392443027517183, -3.0205791934106845]"
51,51.0,"[-0.4994643970537782, 0.2910859124499251, -2.9618007832640028]"
52,52.0,"[-0.5166087702563379, 0.37367623453132487, -2.9190001908249887]"
53,53.0,"[-0.518228623211651, 0.4092037049466507, -2.891375306724492]"
54,54.0,"[-0.5469822840559502, 0.41615188638112993, -2.882717955815183]"
55,55.0,"[-0.5691844478409565, 0.44849650939072644, -2.871207172981276]"
56,56.0,"[-0.5712263192244792, 0.45808738221802536, -2.867142710453984]"
57,57.0,"[-0.572656962346969, 0.46279234417139037, -2.8655171255345615]"
58,58.0,"[-0.577526745917423, 0.44592696713392527, -2.869980257528655]"
59,59.0,"[-0.5852316942770622, 0.41731285083853753, -2.8752639584764728]"
60,60.0,"[-0.5946850025260981, 0.4305397268543134, -2.8613030583166594]"
61,61.0,"[-0.5963915207931609, 0.45095187642166606, -2.8586086925604284]"
62,62.0,"[-0.5548503127009287, 0.4155199931057991, -2.8655854509704177]"
63,63.0,"[-0.5716680994621078, 0.41706267069384323, -2.879892742147123]"
64,64.0,"[-0.5910694743444778, 0.43644881914471406, -2.88629724928795]"
65,65.0,"[-0.6084248675611784, 0.39761846044707777, -2.9045256947552054]"
66,66.0,"[-0.6222196796098477, 0.38270101861055106, -2.9200189914354193]"
67,67.0,"[-0.607645916608614, 0.3976531129005341, -2.9231341154354387]"
68,68.0,"[-0.6155954540959571, 0.4033904762733167, -2.925971031192992]"
69,69.0,"[-0.5906751373964254, 0.40775950798251953, -2.9269765836685657]"
70,70.0,"[-0.5922913953920269, 0.40466813195576257, -2.9278366769541804]"
71,71.0,"[-0.5759302561525147, 0.3945013273503402, -2.92859441846501]"
72,72.0,"[-0.5759872964692319, 0.40000623020926973, -2.926589913150919]"
73,73.0,"[-0.5723914522922284, 0.41422936007961547, -2.922789233660781]"
74,74.0,"[-0.5453687188091225, 0.4096340914043515, -2.9271840796053064]"
75,75.0,"[-0.5598332965125021, 0.4309841398816514, -2.918066976946379]"
76,76.0,"[-0.5672524846272312, 0.43491565973520707, -2.918902493139886]"
77,77.0,"[-0.5644340348400462, 0.4338107879247935, -2.91753887138186]"
78,78.0,"[-0.5803405336506048, 0.4336515837800953, -2.9194257537503727]"
79,79.0,"[-0.5636319670048011, 0.4474970572637412, -2.9231044506338955]"
80,80.0,"[-0.5742657892974787, 0.44983333118377516, -2.919383394001305]"
81,81.0,"[-0.5575028117103134, 0.4505128809161729, -2.920720489635875]"
82,82.0,"[-0.5540726367983778, 0.4050211028258866, -2.9375438842628783]"
83,83.0,"[-0.5880042772580119, 0.3152785911454353, -2.974708245317438]"
84,84.0,"[-0.5854086776569905, 0.29506158730023724, -2.9693546940178117]"
85,85.0,"[-0.5914176145616329, 0.25142064223060057, -2.98027440724969]"
86,86.0,"[-0.5832649672276529, 0.22204114795688032, -2.979058933346049]"
87,87.0,"[-0.6099096937114508, 0.27282266797168997, -2.998486518245442]"
88,88.0,"[-0.6001071293788147, 0.33208400836760527, -2.9892325656842584]"
89,89.0,"[-0.5914233098269099, 0.3877932719685295, -2.9905683865795356]"
90,90.0,"[-0.5720297297183781, 0.46597243135936334, -2.970941767912207]"
91,91.0,"[-0.5481437872687416, 0.560830849047294, -2.985037183776662]"
92,92.0,"[-0.5577921254270768, 0.5574038376790669, -2.9945535708671605]"
93,93.0,"[-0.5753501753316768, 0.542126407331602, -3.000057545397487]"
94,94.0,"[-0.5595819701053931, 0.5611053919575357, -2.983378190217196]"
95,95.0,"[-0.5520002724226807, 0.5528756364747157, -2.9785295556332025]"
96,96.0,"[-0.547578696802025, 0.5400291941029904, -2.983110138692174]"
97,97.0,"[-0.524045399121421, 0.5380585837194384, -2.9833080476449174]"
98,98.0,"[-0.522567683125852, 0.4496282464518151, -3.008428910939936]"
99,99.0,"[-0.5166448373734369, 0.354573044721237, -3.037209797456279]"
100,100.0,"[-0.47443253823486964, 0.3039943167242123, -3.054367548740789]"
101,101.0,"[-0.43251974864855997, 0.2747510315125508, -3.065527156558043]"
102,102.0,"[-0.2935220699366966, 0.15317499309694532, -3.1310069030887155]"
103,103.0,"[-0.2359839351734682, 0.10346002180876121, -3.161628181796096]"
104,104.0,"[-0.2001287475258351, 0.0984158683997546, -3.1822054961094794]"
105,105.0,"[-0.17367122510061622, 0.07518612551088691, -3.1969111958749705]"
106,106.0,"[-0.10477960928643731, 0.010883467751456467, -3.1914436788286498]"
107,107.0,"[-0.06752215834054409, -0.03106053703144458, -3.209463461866698]"
108,108.0,"[-0.052826946050784196, -0.051902547608418746, -3.2122907754954624]"
109,109.0,"[-0.01648894188631688, -0.053745682706777834, -3.208055980918369]"
110,110.0,"[0.0009363635793879962, -0.015316455633565889, -3.219308485479811]"
111,111.0,"[-0.0019927277009636384, 0.038948089636484134, -3.2294247905158766]"
112,112.0,"[-0.03470926602232039, 0.12205883517631204, -3.2450141976045486]"
113,113.0,"[-0.01898779420026835, 0.1993521578361065, -3.25452725524611]"
114,114.0,"[-0.008928660464016594, 0.1422633988398314, -3.2492405439548784]"
115,115.0,"[-0.022527790363179766, 0.16302563132780934, -3.269285685269137]"
116,116.0,"[-0.011650124218842817, 0.1777665447764192, -3.271845908960641]"
117,117.0,"[0.0015703880487865046, 0.1782375758341559, -3.280670703396409]"
118,118.0,"[-0.006140029822753367, 0.1927040467463186, -3.284226521661952]"
119,119.0,"[-0.009714486166952469, 0.18451540002260122, -3.280910093437957]"
120,120.0,"[-0.016824820717511152, 0.19874978843966848, -3.277632942713737]"
121,121.0,"[-0.02162910509729948, 0.19851842527862174, -3.270431062548612]"
122,122.0,"[-0.05549381603723603, 0.2831736637229651, -3.2618050587845846]"
123,123.0,"[-0.04701161116413954, 0.306223219762435, -3.2642649795569465]"
124,124.0,"[-0.05495611077460742, 0.29748560504916205, -3.254188984792527]"
125,125.0,"[-0.06452991035750862, 0.26459831321696015, -3.2599171267607345]"
126,126.0,"[-0.06839566860644188, 0.2656822080758574, -3.2451792946916393]"
127,127.0,"[-0.09734503003518608, 0.29335333809503567, -3.2299626976711457]"
128,128.0,"[-0.13504682802523765, 0.32614487447585505, -3.222850205374865]"
129,129.0,"[-0.14077303356616222, 0.3532085144785858, -3.2137867136486356]"
130,130.0,"[-0.16863585633198422, 0.37733329952613676, -3.209542832663351]"
131,131.0,"[-0.17838795822104664, 0.3958424722363199, -3.1997175940952274]"
132,132.0,"[-0.17669137723967962, 0.4033117590114979, -3.2006453762835405]"
133,133.0,"[-0.1787597787243583, 0.4265713797749635, -3.189270406172718]"
134,134.0,"[-0.2352405667401335, 0.37685393634229847, -3.162372952132491]"
135,135.0,"[-0.2175468408803338, 0.27394649541506416, -3.14929971814762]"
136,136.0,"[-0.24880001092253748, 0.2460756290607153, -3.129718071699835]"
137,137.0,"[-0.2531942522338388, 0.24061692499032472, -3.1092311958980874]"
138,138.0,"[-0.31355528983005393, 0.24082094728761305, -3.052039161142259]"
139,139.0,"[-0.35284374172353294, 0.2444110593887951, -3.039511033575]"
140,140.0,"[-0.33889494023160743, 0.2264981314578504, -3.017226725202787]"
141,141.0,"[-0.35848908544863967, 0.26853435736339426, -3.014415699054185]"
142,142.0,"[-0.3807927553033003, 0.2889346553571369, -2.9946078957890534]"
143,143.0,"[-0.4179881392022165, 0.27494285110737043, -2.9818790083882325]"
144,144.0,"[-0.43442474041359314, 0.29806241530081434, -2.962509978754276]"
145,145.0,"[-0.43504749907806844, 0.32242022650766594, -2.951573108154223]"
146,146.0,"[-0.4614836053521579, 0.31559943090663267, -2.940149565214377]"
147,147.0,"[-0.44749246325314357, 0.3217310769069794, -2.9462466694718934]"
148,148.0,"[-0.4549320824652311, 0.32720875686356937, -2.9451296185080027]"
149,149.0,"[-0.4429809342925617, 0.32261514044470285, -2.9553480954885014]"
150,150.0,"[-0.42924153953462574, 0.31569928618443216, -2.96256958397002]"
151,151.0,"[-0.4385197226375343, 0.300133837417369, -2.9646429078565655]"
152,152.0,"[-0.4697549322793804, 0.26468541866343986, -2.9715906001017593]"
153,153.0,"[-0.4740128793300607, 0.21910656257666017, -2.9766645011509434]"
154,154.0,"[-0.48988967686375234, 0.2054545526059655, -2.9809569803486013]"
155,155.0,"[-0.46284850768245817, 0.22131817722941505, -2.9866344280589967]"
156,156.0,"[-0.4345739826703623, 0.3181284753066006, -2.9841799393787256]"
157,157.0,"[-0.3987449115169924, 0.3140556100905362, -2.993444577562198]"
158,158.0,"[-0.3980070807726811, 0.20877475391259376, -3.0259489858395607]"
159,159.0,"[-0.37357627791890885, 0.21650127709007913, -3.0321503048298912]"
160,160.0,"[-0.3503555523816096, 0.16479356895202957, -3.038525719819574]"
161,161.0,"[-0.31678530144099787, 0.10236999355243355, -3.0522295689667733]"
162,162.0,"[-0.2332486559445004, 0.007181544029941988, -3.1049860055007685]"
163,163.0,"[-0.2551951885999398, 0.02952450808189013, -3.13960440095721]"
164,164.0,"[-0.35839238549900543, 0.07087732763158654, -3.148518507222695]"
165,165.0,"[-0.28609296404072454, -0.05477278809162965, -3.119754838535424]"
166,166.0,"[-0.31640806237104396, -0.025381025933686997, -3.1254623638121943]"
167,167.0,"[-0.35001424661152125, -0.017501582615978457, -3.128268043364101]"
168,168.0,"[-0.3289253007967539, -0.004417474739365571, -3.1300716727182962]"
169,169.0,"[-0.3028139190698523, -0.024966854635105507, -3.11798493579575]"
170,170.0,"[-0.3242228698088738, 0.06251790259985536, -3.1202920643846035]"
171,171.0,"[-0.35350304379927994, 0.13707716836704828, -3.1224732694894666]"
172,172.0,"[-0.34076870395370423, 0.16597982213123977, -3.1190405107618675]"
173,173.0,"[-0.3212454750975745, 0.19036055862455512, -3.114186047415991]"
174,174.0,"[-0.291582991858531, 0.14124392505053826, -3.114902195061352]"
175,175.0,"[-0.25901341596578353, 0.1367438777410521, -3.1245066623048006]"
176,176.0,"[-0.25087606305776466, 0.13338280171407935, -3.128097318202884]"
177,177.0,"[-0.23934296098523428, 0.06413154375787056, -3.127672478329106]"
178,178.0,"[-0.2291750001955398, 0.029926211117330827, -3.1304781962469503]"
179,179.0,"[-0.2221637801570993, 0.040308697924446045, -3.1261968902103554]"
180,180.0,"[-0.1890077674362692, 0.018583601951556603, -3.1283918305527836]"
181,181.0,"[-0.1847457112896174, 0.031681881435382794, -3.126847294763453]"
182,182.0,"[-0.1854840214734556, 0.07862153975900588, -3.1330503414060695]"
183,183.0,"[-0.16805942327743567, 0.07666747188211699, -3.13202063896184]"
184,184.0,"[-0.18518532862292164, 0.12571756321865574, -3.129909479348286]"
