,Frame Number,Rotation Vector
0,0.0,"[0.496545372846256, 0.1182589808832928, -3.1779223891666972]"
1,1.0,"[0.4893606410319624, 0.153691320353577, -3.171134363307999]"
2,2.0,"[0.4876611709273578, 0.1846360664339725, -3.1646173189011315]"
3,3.0,"[0.4683196472590508, 0.18141905926718674, -3.167775074151601]"
4,4.0,"[0.46639387750603395, 0.1506347229617005, -3.1619893423300813]"
5,5.0,"[0.4415454954061341, 0.14320605190218144, -3.158012633424953]"
6,6.0,"[0.43495355405663233, 0.137702538506992, -3.166773575091917]"
7,7.0,"[0.44952326648483654, 0.1344768236180863, -3.1711084724166247]"
8,8.0,"[0.40814738984519106, 0.1856621284410292, -3.1715164471285284]"
9,9.0,"[0.40799428512407493, 0.2054184806438618, -3.1647646690817046]"
10,10.0,"[0.39590822237655454, 0.19170848888972816, -3.1386039324999975]"
11,11.0,"[0.3920163168111978, 0.19699520803704337, -3.1149125737449803]"
12,12.0,"[0.3446472278779306, 0.17947131918779574, -3.085222101541467]"
13,13.0,"[0.3460124424586023, 0.13099054518786424, -3.0708772966758757]"
14,14.0,"[0.3083422564966678, 0.15366200664217353, -3.0419242931322343]"
15,15.0,"[0.29303088216352285, 0.17558450197797004, -3.02553601733037]"
16,16.0,"[0.2778481555090262, 0.16439748629416592, -3.0245697236129248]"
17,17.0,"[0.29579119579252844, 0.17834611912672954, -3.0228131547073716]"
18,18.0,"[0.31929181041330185, 0.18029380603191103, -3.0300813424836877]"
19,19.0,"[0.35770373453469984, 0.1838019349644871, -3.0380453918676738]"
20,20.0,"[0.37887644549108607, 0.1836472201569392, -3.0457390611656106]"
21,21.0,"[0.42053947732796637, 0.21639630285460404, -3.0636321987128268]"
22,22.0,"[0.4487113718674231, 0.22109335256220958, -3.0840772283030766]"
23,23.0,"[0.45072408588596224, 0.1751809349150475, -3.110538534058836]"
24,24.0,"[0.4826529159386466, 0.20479702960272184, -3.1324016703432767]"
25,25.0,"[0.505893731638847, 0.19579373155928054, -3.14842548031297]"
26,26.0,"[0.4979500855717313, 0.20390714433330115, -3.1774157831425227]"
27,27.0,"[0.4828174536596525, 0.15518103417038495, -3.2031710963075115]"
28,28.0,"[0.5221782811141094, 0.18611587578198133, -3.2073972913968043]"
29,29.0,"[0.5582369419851747, 0.212488380901474, -3.2051012043054263]"
30,30.0,"[0.5453040253175095, 0.21277057266347804, -3.212573690607156]"
31,31.0,"[0.5302102131176172, 0.2415981011182813, -3.2079768349997244]"
32,32.0,"[0.5176737646293563, 0.2667262765046479, -3.21349468157498]"
33,33.0,"[0.4943295886576035, 0.24305983823935154, -3.2210133136317958]"
34,34.0,"[0.4754066823221808, 0.19425136270933782, -3.2187667781660023]"
35,35.0,"[0.474357363756561, 0.15096250927806135, -3.2169367284099923]"
36,36.0,"[0.475867304784795, 0.1410328259505989, -3.207651550842917]"
37,37.0,"[0.48539426743898034, 0.1526027934125611, -3.2056830685219064]"
38,38.0,"[0.48727966827728597, 0.16592258999886267, -3.2026061247812425]"
39,39.0,"[0.4686593077022039, 0.13930023937221722, -3.2057218730629935]"
40,40.0,"[0.4623160721480062, 0.13686983654407087, -3.2036622061576145]"
41,41.0,"[0.44881209795138494, 0.13565157014861454, -3.2092196401422424]"
42,42.0,"[0.44449987530599344, 0.14886312270823737, -3.2022704577075314]"
43,43.0,"[0.44201248875429977, 0.14624476860255395, -3.1985126245147835]"
44,44.0,"[0.44530940014244313, 0.14271146281786323, -3.1975744156761103]"
45,45.0,"[0.4456770161621421, 0.14080961748104362, -3.200030048606719]"
46,46.0,"[0.43580846275150037, 0.14679773808313276, -3.1981468295357227]"
47,47.0,"[0.4334494383563318, 0.13632344593896917, -3.199152709977395]"
48,48.0,"[0.4392226592671897, 0.12057896846677435, -3.2062454806087155]"
49,49.0,"[0.4410507871099819, 0.13446265659557105, -3.209732693325074]"
50,50.0,"[0.4118695266277293, 0.12251391060650987, -3.2222675205721436]"
51,51.0,"[0.42750353133725905, 0.1580658119852763, -3.2258855180136523]"
52,52.0,"[0.41686061293827903, 0.1470304176753396, -3.226766117892579]"
53,53.0,"[0.4110636653438961, 0.13612491988229994, -3.2280125896962395]"
54,54.0,"[0.4202821971935364, 0.1553192550611791, -3.2327238057990852]"
55,55.0,"[0.42843587800656957, 0.15347215852865514, -3.2310696690473746]"
56,56.0,"[0.42892652981729024, 0.16562065662601128, -3.2258396028442595]"
57,57.0,"[0.42197360796567324, 0.16401276580450375, -3.2306864902188854]"
58,58.0,"[0.41965840407173943, 0.15241122189377498, -3.2259445160451135]"
59,59.0,"[0.4301707578544484, 0.17613544666549188, -3.2314126135858694]"
60,60.0,"[0.4488675229632943, 0.19532666640322394, -3.223759426907939]"
61,61.0,"[0.4260401691150478, 0.18257428643015566, -3.23318331175154]"
62,62.0,"[0.43122463386398713, 0.19603178897941842, -3.230424717725568]"
63,63.0,"[0.4182386461974011, 0.1944944672148122, -3.2311935632203883]"
64,64.0,"[0.4195757281296097, 0.19596303758381406, -3.2279853325315186]"
65,65.0,"[0.42685700014404976, 0.20724410563425805, -3.2305614453994145]"
66,66.0,"[0.41338432503967726, 0.19901810130031908, -3.236284097031289]"
67,67.0,"[0.44523185647599084, 0.20722546984279702, -3.2379559553002797]"
68,68.0,"[0.4513501172687388, 0.21318054524496685, -3.240923835457566]"
69,69.0,"[0.4461147782560629, 0.21836569849227622, -3.2372241865050086]"
70,70.0,"[0.4522604733071685, 0.20306819535603085, -3.2403102896650346]"
71,71.0,"[0.45388055757764495, 0.2046944250346969, -3.239370507728049]"
72,72.0,"[0.45478648772263747, 0.2033957119078091, -3.239183768691122]"
73,73.0,"[0.4691480298706814, 0.20838581680771262, -3.239275372008726]"
74,74.0,"[0.4706060424506963, 0.20691606617323274, -3.2394092312097578]"
75,75.0,"[0.4694874764730331, 0.20041741325641882, -3.237055322119333]"
76,76.0,"[0.48108427414064353, 0.2024056600422195, -3.236010380956072]"
77,77.0,"[0.47457315789017784, 0.20932142999892686, -3.2363463422473657]"
78,78.0,"[0.49031663094035527, 0.20820824980178496, -3.233334166175217]"
79,79.0,"[0.4901496228845167, 0.2115071132738199, -3.2365733337108553]"
80,80.0,"[0.49829220423037024, 0.22175291458772056, -3.232765276345094]"
81,81.0,"[0.5022451551831896, 0.21558109089028954, -3.2354099735633253]"
82,82.0,"[0.49768221649049266, 0.21010921670294308, -3.2362845149912087]"
83,83.0,"[0.4984415554615424, 0.19902990200859405, -3.2305701065645493]"
84,84.0,"[0.4809434066557078, 0.21339332088457377, -3.2346525503895642]"
