,Frame Number,Rotation Vector
0,0.0,"[-0.08927050964753437, -0.00405518212603302, -3.074543712816785]"
1,1.0,"[-0.08937866331259982, 0.0014916676071039965, -3.0740544377056223]"
2,2.0,"[-0.096460631800544, -0.018903688791929364, -3.077682274014795]"
3,3.0,"[-0.0911664650554374, -0.02436203845918652, -3.0728897127103214]"
4,4.0,"[-0.05538488541885986, -0.06405139788851803, -3.0816231055644074]"
5,5.0,"[-0.06337386226433937, -0.07249156878107099, -3.101024140377086]"
6,6.0,"[-0.07405661890875247, -0.09527979313255576, -3.1228567734211867]"
7,7.0,"[-0.07557965837448115, -0.09390281851105264, -3.1437395269557022]"
8,8.0,"[-0.08582490240804383, -0.05397057752403857, -3.1386863350345258]"
9,9.0,"[-0.09533489822722475, -0.05011546284599654, -3.129353054001211]"
10,10.0,"[-0.09288367854943166, -0.06732149891109114, -3.117980949617299]"
11,11.0,"[-0.08529038727549253, -0.07473026410248773, -3.1172038848620134]"
12,12.0,"[-0.046520676884681166, -0.11525906797915496, -3.1223939979694117]"
13,13.0,"[-0.030899562525958667, -0.10349986786097766, -3.109411954382063]"
14,14.0,"[-0.020588611186245644, -0.11366145649779205, -3.099470157359268]"
15,15.0,"[-0.022502344421903017, -0.10401464974372586, -3.0947272104372994]"
16,16.0,"[-0.017503124881952558, -0.11652018630975229, -3.094100370431475]"
17,17.0,"[-0.02390108596572083, -0.08726372703464978, -3.088101583733405]"
18,18.0,"[-0.024256499892970993, -0.0792925884735494, -3.0835761771402876]"
19,19.0,"[-0.018990255678296184, -0.07214676689106911, -3.0857360278220973]"
20,20.0,"[-0.03707696095937736, -0.05998364001453182, -3.090451062293724]"
21,21.0,"[-0.04907188342958559, -0.042177129183685484, -3.0930035986378086]"
22,22.0,"[-0.04464614123190103, -0.057333345343861836, -3.0967599354157658]"
23,23.0,"[-0.04955981816383374, -0.062319391705529734, -3.119685997621324]"
24,24.0,"[-0.05683568989249164, -0.05326093596737642, -3.11302171942456]"
25,25.0,"[-0.06701542879276269, -0.046577290562635765, -3.1152612024181336]"
26,26.0,"[-0.06739921763990574, -0.046898016901332086, -3.114442942794515]"
27,27.0,"[-0.07935841137474776, -0.06337989406676495, -3.1068476543687926]"
28,28.0,"[-0.07945192528713652, -0.06417301142900557, -3.1052525114231058]"
29,29.0,"[-0.06095393467748988, -0.026278526623902784, -3.0907650072215462]"
30,30.0,"[-0.05973060264129451, -0.04541804653895546, -3.0861062606148857]"
31,31.0,"[-0.07359484269261202, -0.061737785283423156, -3.0760177649281797]"
32,32.0,"[-0.07798820498576096, -0.06570357436547888, -3.079829352778616]"
33,33.0,"[-0.09654031043460502, -0.057461061689238334, -3.0731054951605232]"
34,34.0,"[-0.08544405590855565, -0.07869081143575356, -3.0791804421544025]"
35,35.0,"[-0.08964542386707101, -0.07967757112784375, -3.075395244836594]"
36,36.0,"[-0.09467908784666586, -0.03140093719920293, -3.0672046040503806]"
37,37.0,"[-0.09827636429348699, -0.022538193600527473, -3.0677469471423224]"
38,38.0,"[-0.10137811083835924, -0.04371398646359627, -3.0749077096593216]"
39,39.0,"[-0.09303989190737005, -0.023376926182534216, -3.076217099986259]"
40,40.0,"[-0.0876057835233798, -0.02366687123693165, -3.073754705768212]"
41,41.0,"[-0.10304846818577643, -0.007229220712323066, -3.070774511260846]"
42,42.0,"[-0.09256629167976964, -0.0069785571681574106, -3.0712009601795143]"
43,43.0,"[-0.09175192315414736, 0.012854193922914299, -3.062107234653527]"
44,44.0,"[-0.08856905282396378, 0.018012007411748146, -3.062971188596327]"
45,45.0,"[-0.08324061853525651, 0.020440682249818622, -3.0625502851600874]"
46,46.0,"[-0.06959376792347151, 0.02432522139534358, -3.0673140295875374]"
47,47.0,"[-0.08129531947497416, 0.04306576252663846, -3.065503159453439]"
48,48.0,"[-0.05991612552104875, 0.04513933511595952, -3.0701275731159767]"
49,49.0,"[-0.0558098822085963, 0.04398727351105113, -3.0803095555764974]"
50,50.0,"[-0.04805899407245604, 0.053927879868017205, -3.0823872836487562]"
51,51.0,"[-0.05703309063142078, 0.04659942400757335, -3.08755309678291]"
