,Frame Number,Rotation Vector
0,9.0,"[-0.6304656445240546, 0.06493691418420883, -3.058368308945958]"
1,10.0,"[-0.5409620643855432, 0.0445102537316406, -3.0793072047628125]"
2,11.0,"[-0.5587698262867115, 0.06507835287379284, -3.0918241442710594]"
3,12.0,"[-0.5477112281041713, 0.08313191352223107, -3.073984908802821]"
4,13.0,"[-0.5617466099604886, 0.14914039577862379, -3.0830789066506816]"
5,14.0,"[-0.569481636627261, 0.16834008296019554, -3.0809510579601715]"
6,15.0,"[-0.6052154009677002, 0.13569734616080695, -3.0768666528641586]"
7,16.0,"[-0.6222190470195494, 0.09140654232257225, -3.0727795138559624]"
8,17.0,"[-0.5997838728159836, 0.12477333311946485, -3.079465312691691]"
9,18.0,"[-0.5840236454658376, 0.14980475966686718, -3.077778991065539]"
10,19.0,"[-0.5826465295422463, 0.07898074153526467, -3.0903397208719263]"
11,20.0,"[-0.5771021715896795, 0.06722169920773095, -3.1138793094842816]"
12,21.0,"[-0.5554574825836812, 0.06496087068341502, -3.1140818156936776]"
13,22.0,"[-0.5559019927880001, 0.08582709426716884, -3.113222343900615]"
14,23.0,"[-0.5603201229338312, 0.07529571888043267, -3.098072544484146]"
15,24.0,"[-0.5888956961315347, 0.09236992580021439, -3.096040639379242]"
16,25.0,"[-0.5852510625068444, 0.09204210923774858, -3.0995452370055885]"
17,26.0,"[-0.5707829192447043, 0.08191814096412102, -3.1020831610367985]"
18,27.0,"[-0.5502591764493788, 0.08425133422428838, -3.1064024137700708]"
19,28.0,"[-0.5592002930648372, 0.10840399809183993, -3.1040402549526984]"
20,29.0,"[-0.5252628131077349, 0.1603516829582661, -3.1156204676951416]"
21,30.0,"[-0.5385468796782334, 0.16789044561828037, -3.0938541295870277]"
22,31.0,"[-0.5428074558844667, 0.1848950823015798, -3.0967899973421087]"
23,32.0,"[-0.5595675645971225, 0.20678044207956003, -3.09237132081532]"
24,33.0,"[-0.5459777869515119, 0.2075841578489285, -3.1004436924857592]"
25,34.0,"[-0.5393643153786558, 0.12002000288232492, -3.1141617338053784]"
26,35.0,"[-0.5536861586325871, 0.08905371039533987, -3.114334980349935]"
27,36.0,"[-0.5409550483797811, 0.10360456919366223, -3.1015632214909346]"
28,37.0,"[-0.5223662835845083, 0.1263704962354148, -3.1044384355908834]"
29,38.0,"[-0.5329758277208445, 0.13570751217208554, -3.1019143562869966]"
30,39.0,"[-0.5191279937891586, 0.11628825019886313, -3.12241700322319]"
31,40.0,"[-0.5775453435675852, 0.0777592184599106, -3.1061757789731494]"
32,41.0,"[-0.5625202978921833, 0.050590743752823526, -3.1014247538150705]"
33,42.0,"[-0.5779239775925543, 0.07717275335122534, -3.1041288371474796]"
34,43.0,"[-0.5357066742160609, 0.056598616607292346, -3.118684077311288]"
35,44.0,"[-0.5655710930648257, 0.06324358168153127, -3.114477436391485]"
36,45.0,"[-0.5798263750984064, 0.050770133432999735, -3.102374288575006]"
37,46.0,"[-0.5823289852569941, 0.07173898419244118, -3.10461845271171]"
38,47.0,"[-0.5703857848718544, 0.07913609555220355, -3.099229091412372]"
39,48.0,"[-0.5560809978211826, 0.08366549769787121, -3.1061838370272046]"
40,49.0,"[-0.5769879310782537, 0.06266913588741685, -3.1134847389079816]"
41,50.0,"[-0.5762713211758775, 0.043140183080929505, -3.10873021297094]"
42,51.0,"[-0.5282760633267277, 0.06754680625519656, -3.123785663172237]"
43,52.0,"[-0.5237789484089389, 0.14597879078297685, -3.119225611370694]"
44,53.0,"[-0.5204214663957317, 0.12664944916399098, -3.119118730059505]"
45,54.0,"[-0.5118890891110205, 0.10539803770767743, -3.120525442388526]"
46,55.0,"[-0.5134874687071267, 0.11400156245731582, -3.1244592598878387]"
47,56.0,"[-0.5139472407986824, 0.12246360499389804, -3.1257892880334492]"
48,57.0,"[-0.5425510420194247, 0.12649465810019306, -3.121034725660255]"
49,58.0,"[-0.5370386456647456, 0.12612112934852113, -3.118599152677556]"
