,Frame Number,Rotation Vector
0,0.0,"[0.58001530771292, 0.21461899399432854, -3.1002241451183434]"
1,1.0,"[0.5550240237937845, 0.23973282260427448, -3.0955044464418893]"
2,2.0,"[0.5714966214020597, 0.2726028676467666, -3.094514310496702]"
3,3.0,"[0.5180600979203851, 0.2557154338961959, -3.0860672204876463]"
4,4.0,"[0.5337446786111475, 0.29839988797015565, -3.086207445000659]"
5,5.0,"[0.5237874063313861, 0.32128092719587664, -3.071827019286934]"
6,6.0,"[0.5582116383495562, 0.36698532242195847, -3.059092134932312]"
7,7.0,"[0.5550545956335473, 0.3757418247237064, -3.042683486648306]"
8,8.0,"[0.5743179257666339, 0.39085160070412606, -3.035937181469024]"
9,9.0,"[0.580930891270839, 0.39436027711989174, -3.0515695378998235]"
10,10.0,"[0.5173993370947463, 0.40563153968079063, -3.0542096014115505]"
11,11.0,"[0.5333457029000593, 0.45845826686109936, -3.0364900739522733]"
12,12.0,"[0.4909076562079482, 0.48903512144042655, -3.045054448554944]"
13,13.0,"[0.4522577944904453, 0.4935292715041242, -3.058854845099752]"
14,14.0,"[0.4610315785271169, 0.48618662116872674, -3.0920670220592275]"
15,15.0,"[0.48055862883997547, 0.4678865675121141, -3.1097748663432023]"
16,16.0,"[0.5051904831896505, 0.4539513134625297, -3.1361658330600477]"
17,17.0,"[0.46642317561595636, 0.5066242181529389, -3.1367909590794856]"
18,18.0,"[0.38359445294717126, 0.4796572128431445, -3.1541127562066302]"
19,19.0,"[0.3872323452111004, 0.48252080716213486, -3.1541253833161225]"
20,20.0,"[0.3803877679072965, 0.4671121853069085, -3.156632078609252]"
21,21.0,"[0.3888401429609849, 0.461247116182885, -3.148660900213337]"
22,22.0,"[0.4200439452013666, 0.46374651272777073, -3.1398864567816647]"
23,23.0,"[0.4860842135775924, 0.4820898716453295, -3.105362950293095]"
24,24.0,"[0.4331688178495857, 0.4691296415515565, -3.1002154182471546]"
25,25.0,"[0.4643410971570537, 0.4399745899596514, -3.0935953097794595]"
26,26.0,"[0.5328540603027634, 0.4310183173671771, -3.1035499849987898]"
27,27.0,"[0.5239294119201635, 0.36964819888245304, -3.1115817676430613]"
28,28.0,"[0.5094410505185498, 0.35338121606139583, -3.1166930073230477]"
29,29.0,"[0.5266711646537969, 0.35985981073470985, -3.1043489636692003]"
30,30.0,"[0.5781341515614976, 0.3480776148667015, -3.09082096559268]"
31,31.0,"[0.684310116364474, 0.3566944879914375, -3.018154366855586]"
32,32.0,"[0.7006092245065075, 0.3434160156776373, -2.978877998361987]"
33,33.0,"[0.7316499895058275, 0.34865379259810964, -2.9573101012500014]"
34,34.0,"[0.737098603791131, 0.3382819270229613, -2.9492704797859415]"
35,35.0,"[0.7340053687234238, 0.32943289444411183, -2.9347549499238634]"
36,36.0,"[0.7771876043599368, 0.3197270453891458, -2.942535267590741]"
37,37.0,"[0.8358269526744501, 0.3114363767221847, -2.916275142892777]"
38,38.0,"[0.841429800572469, 0.3262805575759247, -2.9125997683258973]"
39,39.0,"[0.828716456584973, 0.38417794359153157, -2.9066132842791923]"
40,40.0,"[0.8605239379792203, 0.3903077544855216, -2.894868863162036]"
41,41.0,"[0.936298110051996, 0.39549374038171686, -2.8753184095499864]"
42,42.0,"[0.9486303977213092, 0.37378270646669975, -2.85228716205883]"
43,43.0,"[0.9548633553679812, 0.38386215432562315, -2.8395841507078456]"
44,44.0,"[0.930908242815455, 0.34893573271425427, -2.861764203151209]"
45,45.0,"[0.945405214106119, 0.37680070174208885, -2.8638251951002958]"
46,46.0,"[0.9143868171940694, 0.36727403302538336, -2.8594694702044534]"
47,47.0,"[0.9211624390692362, 0.36289965023966425, -2.858621304077956]"
48,48.0,"[0.8862456811708831, 0.3426517665865292, -2.870714139433719]"
49,49.0,"[0.9082913558935196, 0.3531705585921209, -2.8616048244100143]"
50,50.0,"[0.8951488661810537, 0.3563839128805386, -2.854235820990751]"
51,51.0,"[0.8836940186131594, 0.348659546182316, -2.863469412959862]"
