,Frame Number,Rotation Vector
0,0.0,"[-0.25706640169609635, 0.12197938897735876, -3.128059898334086]"
1,1.0,"[-0.24677749951870515, 0.11501919681064625, -3.1236203359042105]"
2,2.0,"[-0.21057129381056416, 0.11206601821951352, -3.1397874730730084]"
3,3.0,"[-0.2067066398662337, 0.08736026469034436, -3.1373559316255153]"
4,4.0,"[-0.20072797950517338, 0.0991202496015406, -3.1426827133781603]"
5,5.0,"[-0.2077655164469858, 0.11104865273718206, -3.137596838846532]"
6,6.0,"[-0.22295159869888856, 0.09823115371359832, -3.127455251644723]"
7,7.0,"[-0.2307366762594638, 0.09391977665856799, -3.133858445563367]"
8,8.0,"[-0.21711649153932286, 0.08790756248339, -3.139612847406621]"
9,9.0,"[-0.20749498226723423, 0.0803629165149336, -3.13426194685844]"
10,10.0,"[-0.24850761753761896, 0.09627815055391535, -3.1277047617320766]"
11,11.0,"[-0.23032477050503386, 0.07814787219517443, -3.1213344531338056]"
12,12.0,"[-0.21178086085825065, 0.08719562012417266, -3.124660473482962]"
13,13.0,"[-0.22053572935560214, 0.08992429954785061, -3.123160209149246]"
14,14.0,"[-0.20917647440840087, 0.08584864522853003, -3.119184798466453]"
15,15.0,"[-0.1893479074948433, 0.06837339860428147, -3.1192064397485293]"
16,16.0,"[-0.21763368546036096, 0.06578816562312939, -3.104074118660027]"
17,17.0,"[-0.22996082498837603, 0.07295493003240161, -3.085076731156427]"
18,18.0,"[-0.19948752794840208, 0.08258376821997472, -3.095823082098891]"
19,19.0,"[-0.21589676935783936, 0.09488878555576472, -3.0772459235857847]"
20,20.0,"[-0.17617029994522448, 0.10131765634552829, -3.09241576398713]"
21,21.0,"[-0.1523164659278334, 0.13100957422860576, -3.0736129378194468]"
22,22.0,"[-0.15590470950300767, 0.12697890136895712, -3.0900358544103437]"
23,23.0,"[-0.15251564862897093, 0.12926367202590186, -3.073791860728831]"
24,24.0,"[-0.27754374375777235, 0.049598444390274464, -2.949978129104381]"
25,25.0,"[-0.32626735204559815, 0.055618576229172656, -2.938373903739755]"
26,26.0,"[-0.2830630164965228, 0.08291418169146447, -2.8992867872984616]"
27,27.0,"[-0.2840359630273748, 0.09906152500222229, -2.899834542520896]"
28,28.0,"[-0.270210914696081, 0.1222334480094597, -2.8963649761303683]"
29,29.0,"[-0.2430774226402042, 0.10057588447433301, -2.9033588014217213]"
30,30.0,"[-0.23416214992620873, 0.06765366645056475, -2.892219040821792]"
31,31.0,"[-0.27360644267207335, 0.013562468705414187, -2.8724976274995493]"
32,32.0,"[-0.2887559622094161, -0.034924001128583376, -2.8659543901550193]"
33,33.0,"[-0.3000499841177429, -0.05708069635543274, -2.8532282956891306]"
34,34.0,"[-0.3148005390954285, -0.04498990260979149, -2.863693106261242]"
35,35.0,"[-0.27129044343200925, -0.019796864664502964, -2.879078320060398]"
36,36.0,"[-0.28505446008988644, 0.026116811145897766, -2.9544586495877714]"
37,37.0,"[-0.22864007118361604, 0.058945387271019285, -2.985937407692542]"
38,38.0,"[-0.3026525833825485, 0.0446226111498725, -2.9678896853905563]"
39,39.0,"[-0.316927937949627, 0.059753449033572076, -2.9658073762114587]"
40,40.0,"[-0.2982824119626444, 0.02622915556677599, -2.938539595153445]"
41,41.0,"[-0.28621974492400226, 0.02683007060625758, -2.9400222067164856]"
42,42.0,"[-0.2832638958897589, 0.02450435637730705, -2.935980059498196]"
43,43.0,"[-0.2905727081477747, 0.04414386978899786, -2.9411804319090353]"
44,44.0,"[-0.2846692370521446, 0.04947748965510467, -2.9470970637208844]"
45,45.0,"[-0.3028817942033061, 0.07704833257569045, -2.945875168517587]"
46,46.0,"[-0.30575544241089847, 0.0783716777210391, -2.9458439638368072]"
47,47.0,"[-0.30513370185569233, 0.06581050245344075, -2.9471286015175835]"
