,Frame Number,Rotation Vector
0,9.0,"[-0.635644867564483, 0.20252568293669376, -2.990058143212418]"
1,10.0,"[-0.4500862937599855, 0.15216207984286043, -3.1055615150516998]"
2,11.0,"[-0.4565926210043056, 0.14592926905532325, -3.096553357660094]"
3,12.0,"[-0.42187309216012425, 0.16298755884243904, -3.091534783014883]"
4,13.0,"[-0.4151688309713613, 0.17840165027085447, -3.0876982134357807]"
5,14.0,"[-0.4236081143506605, 0.12639890040602836, -3.079864776486468]"
6,15.0,"[-0.4447305355831627, 0.0669576520932384, -3.0643521275437595]"
7,16.0,"[-0.4056794320406224, 0.08645799146835625, -3.0697668839750074]"
8,17.0,"[-0.38748751666753783, 0.12555129629102374, -3.0890369528411203]"
9,18.0,"[-0.4009214317906891, 0.1470913999285111, -3.0906671101668595]"
10,19.0,"[-0.41120024191722493, 0.1643688170383895, -3.100697935032539]"
11,20.0,"[-0.39745694805564, 0.17207747838001305, -3.1076827882786655]"
12,21.0,"[-0.40833914466337057, 0.18135892793854655, -3.1042747166343125]"
13,22.0,"[-0.4184672985559419, 0.18780823125440413, -3.0985266306833137]"
14,23.0,"[-0.4125778561143813, 0.18917785833218534, -3.104462836838897]"
15,24.0,"[-0.42611062759762125, 0.18254124622380216, -3.099428136149557]"
16,25.0,"[-0.43343819030960273, 0.18297849333911256, -3.092737601081094]"
17,26.0,"[-0.43060316691549333, 0.20504416678222534, -3.089073059409357]"
18,27.0,"[-0.4357315582967436, 0.23675332737783839, -3.089250445116226]"
19,28.0,"[-0.4481440710585206, 0.2195869586533531, -3.0940905476781446]"
20,29.0,"[-0.4452787534454373, 0.21650275403729793, -3.086576903905995]"
21,30.0,"[-0.42933597497124215, 0.20561025539791, -3.095047541766589]"
22,31.0,"[-0.42688765188678995, 0.2109084429544614, -3.099286495093849]"
23,32.0,"[-0.405287189938475, 0.19650120075580277, -3.11273996372115]"
24,33.0,"[-0.4002207284470337, 0.18234051444977242, -3.1225169096160705]"
25,34.0,"[-0.4097752943169154, 0.16833742099387947, -3.120672424920702]"
26,35.0,"[-0.40730368042106785, 0.14976721912881283, -3.117877435737345]"
27,36.0,"[-0.393911017742681, 0.1506359561561278, -3.110180558497485]"
28,37.0,"[-0.3993056830494988, 0.153346591354927, -3.111969314975041]"
29,38.0,"[-0.41170209979778566, 0.16676990711095332, -3.103076673638609]"
30,39.0,"[-0.4118632646874957, 0.1727321951511428, -3.1131822035412697]"
31,40.0,"[-0.43677673645127724, 0.17671868754816225, -3.1083426358563133]"
32,41.0,"[-0.4570553460272809, 0.1417612537808852, -3.1080034409245134]"
