,Frame Number,Rotation Vector
0,0.0,"[0.5974024162174316, 0.10325659473387724, -3.141288388727979]"
1,1.0,"[0.6145814605831655, 0.10475590282260328, -3.1362212724318583]"
2,2.0,"[0.6011734911674256, 0.11821762482538553, -3.130962477336324]"
3,3.0,"[0.6137671147334096, 0.12468346977860016, -3.133981684023364]"
4,4.0,"[0.5929637452471556, 0.11718783598892027, -3.139131840673934]"
5,5.0,"[0.5958628221062411, 0.0978193470405685, -3.148787580084867]"
6,6.0,"[0.5846311362742691, 0.07768953336804064, -3.156587756990147]"
7,7.0,"[0.605692408547419, 0.10145165808388079, -3.1477161835418324]"
8,8.0,"[0.6316066378980775, 0.12703219977391442, -3.138234869998048]"
9,9.0,"[0.6406520693151925, 0.10173085409892307, -3.1284701305787936]"
10,10.0,"[0.6305370876696843, 0.08535029956515129, -3.128136931985119]"
11,11.0,"[0.599558033801876, 0.07941066734075425, -3.1232518894479337]"
12,12.0,"[0.5785820697178606, 0.08984720960352933, -3.1198329565870107]"
13,13.0,"[0.6502685309542879, 0.10326010213654033, -3.1136209944914714]"
14,14.0,"[0.6793325139151466, 0.13501995678422593, -3.1128118974926777]"
15,15.0,"[0.6796878704117835, 0.15159547051527317, -3.1079537316045944]"
16,16.0,"[0.6628172600162214, 0.14707959474483584, -3.120127553111543]"
17,17.0,"[0.6335892860164466, 0.11308166043288641, -3.113566103412962]"
18,18.0,"[0.6458748079485633, 0.12426125210446111, -3.112452713675545]"
19,19.0,"[0.6546311395871264, 0.1489927413282854, -3.115548286208897]"
20,20.0,"[0.6843612128327721, 0.1717187995090786, -3.1074694032565926]"
21,21.0,"[0.6802548187497476, 0.17928972816629601, -3.1101770378977904]"
22,22.0,"[0.6625266539616229, 0.1797013942608586, -3.1160227557508025]"
23,23.0,"[0.6371552260351125, 0.1392338865615465, -3.1211062740115425]"
24,24.0,"[0.5983389685672073, 0.11114572313309627, -3.1319129829041557]"
25,25.0,"[0.5994422374088022, 0.0993801585547236, -3.130306309697806]"
26,26.0,"[0.6142611783788781, 0.10959676476362691, -3.132034415929665]"
27,27.0,"[0.6147779792095199, 0.11928537537450361, -3.130529306791351]"
28,28.0,"[0.6043025235226139, 0.0652953552357779, -3.129941581786963]"
29,29.0,"[0.592383517579883, 0.12538666902338838, -3.1436631047100647]"
30,30.0,"[0.6064749316704746, 0.11262623172594508, -3.143203500495089]"
31,31.0,"[0.5986054573897457, 0.11180800943489759, -3.1519721213744076]"
32,32.0,"[0.6141916785113244, 0.10026743716328776, -3.1455515619514336]"
33,33.0,"[0.6411306211914789, 0.12334765495545465, -3.1327393480178394]"
34,34.0,"[0.6520630090775561, 0.12692161797714438, -3.1352461307927197]"
35,35.0,"[0.6656758364806408, 0.1427429935264722, -3.1258616965139847]"
36,36.0,"[0.686633374331109, 0.1662536286083036, -3.114762981408104]"
37,37.0,"[0.6762633688590932, 0.19746431574788403, -3.1317338263475625]"
38,38.0,"[0.6741629693280418, 0.1925553883997284, -3.1296558117766136]"
39,39.0,"[0.6846718577987057, 0.15364921115318883, -3.123754836579597]"
40,40.0,"[0.6884278473359048, 0.14881411276662468, -3.1189760678600558]"
41,41.0,"[0.6911432734687913, 0.17725769548802778, -3.1162358492859026]"
42,42.0,"[0.7036190123076327, 0.1897342553382879, -3.116599781093713]"
43,43.0,"[0.6824554006428847, 0.1680070848174373, -3.124162750645164]"
44,44.0,"[0.6990104862098415, 0.1618247712384091, -3.1003128021852944]"
45,45.0,"[0.6808685818235503, 0.15501735064542405, -3.089898186887871]"
46,46.0,"[0.661643820636784, 0.12645494240729252, -3.083676145385724]"
47,47.0,"[0.6347046811893661, 0.13517695605583346, -3.1075868656990346]"
