,Frame Number,Rotation Vector
0,0.0,"[-0.14363394378595074, 0.20344815120142973, -2.9923504187481105]"
1,1.0,"[-0.14366371591606686, 0.24311651642903126, -2.984956863350802]"
2,2.0,"[-0.15878469941853263, 0.2651189426351082, -2.990966963527272]"
3,3.0,"[-0.1562990482795194, 0.32053923963104813, -2.9869224818046987]"
4,4.0,"[-0.1391586844258353, 0.3172408842227941, -3.007544351491369]"
5,5.0,"[-0.1607091543274579, 0.29157719859928327, -3.0335125196915187]"
6,6.0,"[-0.13216595569740147, 0.27315287212042466, -3.0462061707242793]"
7,7.0,"[-0.11990549120577952, 0.2888215006372506, -3.0357509053357146]"
8,8.0,"[-0.1289248935057678, 0.2841487044861583, -3.025444137162297]"
9,9.0,"[-0.1344484052360812, 0.2865777681201689, -3.013797137591332]"
10,10.0,"[-0.1478835090020073, 0.2895594940970903, -3.0145818126284083]"
11,11.0,"[-0.14610874773445795, 0.32025957271145894, -3.000454451055405]"
12,12.0,"[-0.15575275588452545, 0.36072418452932026, -2.999024285649865]"
13,13.0,"[-0.1684119461482399, 0.31067634105179087, -3.014732647454756]"
14,14.0,"[-0.16823406434371163, 0.2956890438008114, -3.0213148756093404]"
15,15.0,"[-0.15073317537940217, 0.3043092373429989, -3.0303245366712894]"
16,16.0,"[-0.17863214269526798, 0.27980793432398665, -3.032352933914675]"
17,17.0,"[-0.18592456141700867, 0.21765985994576048, -3.056727039873837]"
18,18.0,"[-0.19658134498146929, 0.19599736394652517, -3.056744557186709]"
19,19.0,"[-0.2141990223401859, 0.1674145318783799, -3.0719171797710736]"
20,20.0,"[-0.1943341673563629, 0.1657388923916985, -3.0885545517985995]"
21,21.0,"[-0.20332895888364752, 0.15682759504618482, -3.0807302474260547]"
22,22.0,"[-0.1466414804417885, 0.07890685076420324, -3.0892993045797543]"
23,23.0,"[-0.14997892102638902, 0.07194903743179991, -3.114714563528897]"
24,24.0,"[-0.130799592395076, 0.06990542118720258, -3.171835494688324]"
25,25.0,"[-0.09150018663234663, 0.10343033783647901, -3.2018096314809728]"
26,26.0,"[-0.09834599873276474, 0.17506789337609216, -3.215999026393216]"
27,27.0,"[-0.12679047612565034, 0.2956989573942113, -3.155784720351593]"
28,28.0,"[-0.1533209198829344, 0.30367734095456295, -3.148759572514059]"
29,29.0,"[-0.14085054630896487, 0.33835942462556523, -3.125670124943736]"
30,30.0,"[-0.1628303590991079, 0.41806663993420007, -3.1335718129731513]"
31,31.0,"[-0.153984924633853, 0.39029789785013486, -3.147611059349807]"
32,32.0,"[-0.1395257751435228, 0.38136497427777805, -3.1571857957631364]"
33,33.0,"[-0.1582796077422342, 0.36030641577791805, -3.161564046485253]"
34,34.0,"[-0.16933170810032674, 0.3634110414481672, -3.1748148951096486]"
35,35.0,"[-0.16009802391205732, 0.3654575189841902, -3.1626186686557336]"
36,36.0,"[-0.19007720581187262, 0.325126444892921, -3.168606783476182]"
37,37.0,"[-0.1899287672981109, 0.3412570064807428, -3.1506933135120194]"
38,38.0,"[-0.1833100360079297, 0.357961609862712, -3.1446412752912902]"
39,39.0,"[-0.1782533603294277, 0.3564763450508784, -3.143509199985481]"
40,40.0,"[-0.19087804847537831, 0.3359108762505087, -3.140398151996971]"
41,41.0,"[-0.17730596448404798, 0.3486433936197549, -3.133584859415943]"
42,42.0,"[-0.17278703167281834, 0.3506597965363549, -3.1363837373416077]"
43,43.0,"[-0.15370664710726317, 0.3820171742246725, -3.1195856355312794]"
44,44.0,"[-0.1179104408214465, 0.36395228719473893, -3.0989062051855876]"
45,45.0,"[-0.10848058205630337, 0.3692809128183275, -3.071191345077645]"
46,46.0,"[-0.14137613672570296, 0.3138620900918231, -3.070202315033877]"
47,47.0,"[-0.13454530893803004, 0.2403299108933461, -3.057020723393463]"
48,48.0,"[-0.15133618197757856, 0.19561035475236632, -3.0324984910324804]"
49,49.0,"[-0.1636833582258482, 0.16773858548834977, -3.014936262124842]"
50,50.0,"[-0.20175190067298704, 0.1259539251324825, -3.0050606837734706]"
51,51.0,"[-0.22240895501653674, 0.09230431633789565, -3.016029104449762]"
52,52.0,"[-0.21721983188936939, 0.10072054630873024, -3.011279781227095]"
53,53.0,"[-0.21257352937444302, 0.10543248945354561, -3.024585534530994]"
54,54.0,"[-0.17019541443151118, 0.10637833391936584, -3.023822184916641]"
55,55.0,"[-0.15872130407673649, 0.09371523233263994, -3.0203396300932583]"
56,56.0,"[-0.1456176920262757, 0.12607002443670712, -3.015529462727729]"
57,57.0,"[-0.15055170932362327, 0.14009216496398688, -3.0351721622172403]"
58,58.0,"[-0.1595619770059905, 0.13139745253475718, -3.0396910340793055]"
59,59.0,"[-0.15161963162901643, 0.1446855610865331, -3.0522697698551]"
60,60.0,"[-0.12518146588995127, 0.15567261023647522, -3.062625831506578]"
61,61.0,"[-0.11606759993598217, 0.1569077503164384, -3.0675328553347]"
62,62.0,"[-0.10896200957944092, 0.1899189557620626, -3.0702152501460063]"
63,63.0,"[-0.1256826091044928, 0.1614528245053977, -3.0916835096111717]"
64,64.0,"[-0.11142338314173135, 0.19440924211621602, -3.1008588111716797]"
65,65.0,"[-0.10121396900004057, 0.19364165160744845, -3.105753771209853]"
66,66.0,"[-0.0742394313770453, 0.17044050811365835, -3.1240720406105145]"
67,67.0,"[-0.0757668941664304, 0.15271694414532389, -3.1367601230312308]"
68,68.0,"[-0.049058904105629575, 0.18135496123077433, -3.130688022036174]"
69,69.0,"[-0.02917610985048814, 0.17815949759723188, -3.1241999446643596]"
70,70.0,"[-0.017486631784024344, 0.17706883974020995, -3.0986563747805063]"
71,71.0,"[0.0001406228189442793, 0.1725210903928127, -3.098811445476238]"
72,72.0,"[0.002140112301073816, 0.24094564037988153, -3.0634401946328595]"
73,73.0,"[-0.02291279139630068, 0.2563482378802612, -3.071245119896339]"
74,74.0,"[-0.02217952667829639, 0.27566402069193047, -3.0826937674090966]"
75,75.0,"[-0.04494072367721151, 0.2981092185922308, -3.088293064068201]"
76,76.0,"[-0.051102426502428584, 0.26306177318426593, -3.105320588540103]"
77,77.0,"[-0.04964219931540342, 0.26441781662608993, -3.0657467371291194]"
78,78.0,"[-0.045699550273858504, 0.25900416414101995, -3.064003181026977]"
79,79.0,"[-0.07002596209076757, 0.2412848082625534, -3.0454717526834414]"
80,80.0,"[-0.11150802755017956, 0.1414248814954668, -3.061826532104516]"
81,81.0,"[-0.17424435363965288, 0.08891251388078732, -3.0501511201351903]"
82,82.0,"[-0.20394285850584862, 0.057436259718766244, -3.037215424607763]"
83,83.0,"[-0.24365046917168812, 0.04622684951059897, -3.0279931468172685]"
84,84.0,"[-0.2747636508318893, 0.04983110772419929, -3.0224990572521016]"
85,85.0,"[-0.30309729822244336, 0.05062020158491921, -3.0324638038642124]"
86,86.0,"[-0.30872665510388264, 0.06536505554313078, -3.03285873099586]"
87,87.0,"[-0.30209417246974557, 0.06009224061660855, -3.030131640766887]"
88,88.0,"[-0.28764607607269677, 0.07792110735760188, -3.017491417395023]"
89,89.0,"[-0.2839598063006312, 0.08242966351503217, -3.012765860126569]"
90,90.0,"[-0.2445945147117929, 0.1621292224017669, -2.982881440591058]"
91,91.0,"[-0.23401411700401187, 0.2514906780695924, -2.9778601814833983]"
92,92.0,"[-0.22026736244770342, 0.2957722380375746, -2.973563187801881]"
93,93.0,"[-0.17696079131004805, 0.3649661489554449, -2.9744354646544564]"
94,94.0,"[-0.17075565432261763, 0.4280447592162639, -2.968881941937228]"
95,95.0,"[-0.17015118410022828, 0.4107462746643509, -2.9903798386663776]"
96,96.0,"[-0.14714192734298215, 0.4082681583789485, -2.993616513996158]"
97,97.0,"[-0.1552938241555236, 0.38892356996812166, -2.9929628488174287]"
98,98.0,"[-0.14349416860263112, 0.36950798861144385, -3.0046177751857197]"
99,99.0,"[-0.13958040384615175, 0.3478787404826573, -3.012801880692935]"
100,100.0,"[-0.16060230477626375, 0.32841268373439614, -3.0129199446935417]"
101,101.0,"[-0.1691385548709097, 0.3053739516737153, -3.019037091065986]"
102,102.0,"[-0.1744888396362172, 0.2968235899777677, -3.020407544542581]"
103,103.0,"[-0.18717953645613886, 0.3053063061758858, -3.0209641536398433]"
104,104.0,"[-0.2179450641620984, 0.31768720619741764, -3.005475442763945]"
105,105.0,"[-0.29802009224480547, 0.2664015362773295, -3.008119766623272]"
106,106.0,"[-0.413135940950439, 0.2576834151294706, -2.9836122325787158]"
107,107.0,"[-0.5149212496221266, 0.22492737088353543, -2.9796264751884256]"
108,108.0,"[-0.6167472232183423, 0.262163040091031, -2.941355352823242]"
109,109.0,"[-0.6982422140507735, 0.22477025701340114, -2.939211490594452]"
110,110.0,"[-0.6692660498353449, 0.20614344278996427, -2.9434850654235416]"
111,111.0,"[-0.6830471371578707, 0.2043403557469255, -2.940973006882628]"
112,112.0,"[-0.6545140053040894, 0.21862766407500947, -2.950498155475406]"
113,113.0,"[-0.6541316052342251, 0.22442318128394198, -2.9496657645143984]"
114,114.0,"[-0.6169518794382565, 0.23500765157930248, -2.9673576340708476]"
115,115.0,"[-0.6463566679237622, 0.27969044480952987, -2.953449029308749]"
116,116.0,"[-0.6434159866618933, 0.29129965853608175, -2.9613341284062593]"
117,117.0,"[-0.6330783992701867, 0.3084472938587551, -2.969546395844906]"
118,118.0,"[-0.6341734179903232, 0.29659518758001296, -2.9678124026115404]"
119,119.0,"[-0.6260240729518838, 0.28924528628860224, -2.9703140810271043]"
120,120.0,"[-0.612772088167864, 0.2806614971053577, -2.974795034119564]"
121,121.0,"[-0.5986212735014991, 0.2627498664458065, -2.974315803853059]"
122,122.0,"[-0.5505961073688661, 0.2762066552527581, -2.977441898187402]"
123,123.0,"[-0.5525160029484649, 0.22757261877819243, -2.9765373932120363]"
124,124.0,"[-0.48612425263280057, 0.20257963030294707, -3.000131918665027]"
125,125.0,"[-0.45712246172780935, 0.19808383839413526, -3.000905418031497]"
126,126.0,"[-0.4361185677870039, 0.22783416487775252, -2.99502072960046]"
127,127.0,"[-0.39969113719883514, 0.2369141651986282, -2.9852588640482214]"
128,128.0,"[-0.3596422762043753, 0.20703498839460274, -2.9890317902154826]"
129,129.0,"[-0.3220139827145041, 0.19841036166899048, -2.9934337279130108]"
130,130.0,"[-0.31531024461874685, 0.1609423661021762, -2.9961522919664985]"
131,131.0,"[-0.2918895324462826, 0.13369967391493404, -2.996658503963846]"
132,132.0,"[-0.2841075138107868, 0.14728785969729488, -2.984484834907759]"
133,133.0,"[-0.24007132894820996, 0.14926882986153414, -2.9849333782365854]"
134,134.0,"[-0.24276622590276314, 0.17686101039735608, -2.9844599870311868]"
135,135.0,"[-0.22310664340798722, 0.19401103420492832, -2.9805798268918386]"
136,136.0,"[-0.21512282589009818, 0.20152247517887736, -2.980828997365743]"
137,137.0,"[-0.20186532589596404, 0.20329114670480813, -2.9853863382338983]"
138,138.0,"[-0.2044032702721957, 0.20554004776963727, -2.991529898118]"
139,139.0,"[-0.1953942963067797, 0.20706218972380872, -2.989898615846794]"
140,140.0,"[-0.20329195728300603, 0.21356736895267672, -2.986292373930709]"
141,141.0,"[-0.1883540178310512, 0.20351556174342772, -2.9927334198721662]"
142,142.0,"[-0.2337051996531748, 0.17219589026915907, -2.9694831941596056]"
143,143.0,"[-0.23159308138582596, 0.11008521449431165, -2.9729902038149647]"
144,144.0,"[-0.22699009620496802, 0.08010942512951905, -2.9730298379486615]"
145,145.0,"[-0.24043154835200412, 0.08449166129335205, -2.9973944201905582]"
146,146.0,"[-0.2399917390440153, 0.08718917123015382, -2.99263528633463]"
147,147.0,"[-0.2613765729698572, 0.05891183327297835, -3.006008246779766]"
148,148.0,"[-0.2899240941540254, 0.05615111720430265, -3.0047287320977296]"
149,149.0,"[-0.2955156532652294, 0.04787563881211234, -3.0097314926153027]"
150,150.0,"[-0.27136795213597975, 0.03591373370374339, -3.0089142992226043]"
151,151.0,"[-0.27456186296112445, 0.03149530138458099, -3.007711563995143]"
152,152.0,"[-0.29225707190916606, 0.02806815550950297, -3.0169629010234504]"
153,153.0,"[-0.30856197433744215, 0.03991032815322829, -3.0090701923623686]"
154,154.0,"[-0.29806805999011726, 0.06731579621608116, -2.9925884721179052]"
155,155.0,"[-0.2951779998507136, 0.07695437327029535, -2.9995127980103526]"
156,156.0,"[-0.3005417548469735, 0.145712249211153, -2.976824851141389]"
157,157.0,"[-0.2918727521986199, 0.14799378742063926, -2.973148816147459]"
158,158.0,"[-0.2765411294509631, 0.1693105903077487, -2.979999465800255]"
159,159.0,"[-0.29848578036701434, 0.2173396580412085, -2.977920036016592]"
160,160.0,"[-0.2914664634872071, 0.236588687296683, -2.978217411312013]"
161,161.0,"[-0.2904337426036061, 0.3135004621040733, -2.9665136422468508]"
