,Frame Number,Rotation Vector
0,10.0,"[-0.5699602800787409, 0.0955319462082727, -3.075685999601405]"
1,11.0,"[-0.568705339211203, 0.10098797861619369, -3.0755546838785714]"
2,12.0,"[-0.5706498247369464, 0.09329201363362068, -3.068202676771236]"
3,13.0,"[-0.5534343548202707, 0.060523168086546564, -3.07404334420274]"
4,14.0,"[-0.5376891332482887, 0.051925072257693425, -3.07449718419446]"
5,15.0,"[-0.5402582562955247, 0.07116830172575224, -3.071080715610155]"
6,16.0,"[-0.5366868128616409, 0.06586917182279377, -3.0719915279265613]"
7,17.0,"[-0.48754497176967154, 0.08658040261752771, -3.0888379453491197]"
8,18.0,"[-0.46432558744667185, 0.1256488669584173, -3.107825687072376]"
9,19.0,"[-0.3781288274928449, 0.18594139329144393, -3.1332394339643295]"
10,20.0,"[-0.3714007698344483, 0.21122651638007875, -3.151111476014364]"
11,21.0,"[-0.39661741906117864, 0.23608058986027824, -3.1717374332790373]"
12,22.0,"[-0.40093700951275685, 0.25465082523292176, -3.156302975292195]"
13,23.0,"[-0.3678016674625501, 0.23805060695031763, -3.1647722672746617]"
14,24.0,"[-0.35276865142591907, 0.215784718675815, -3.1487409220004743]"
15,25.0,"[-0.3631158247549277, 0.19063871234196683, -3.1398084403934323]"
16,26.0,"[-0.4141107472426105, 0.12222899687921232, -3.1161745196912576]"
17,27.0,"[-0.4040464641580271, 0.14156039898329828, -3.1276072032490454]"
18,28.0,"[-0.42514303037882756, 0.1472612757890998, -3.1090260619955714]"
19,29.0,"[-0.41871625548010866, 0.18408209581873206, -3.109941110002505]"
20,30.0,"[-0.40652119146809973, 0.21027622139163926, -3.1125806423306783]"
21,31.0,"[-0.40607788417736534, 0.15633886681660353, -3.131438859996505]"
22,32.0,"[-0.3990316961122225, 0.16266925690144646, -3.137005484583603]"
23,33.0,"[-0.42140846001786175, 0.18222096454145598, -3.1310340160986745]"
24,34.0,"[-0.45257547058715997, 0.20808449587681355, -3.1220726645671237]"
25,35.0,"[-0.46348570262541905, 0.25234007559831606, -3.1240245000253144]"
26,36.0,"[-0.4819594455991547, 0.2359539867510263, -3.1242318404258795]"
27,37.0,"[-0.5042657785857306, 0.2468090815525541, -3.1193222254175597]"
28,38.0,"[-0.49819706762916965, 0.23930348689682762, -3.1242695231363897]"
29,39.0,"[-0.5273416576458235, 0.25883745954709536, -3.111618104546599]"
30,40.0,"[-0.5322305073242148, 0.2798900017385654, -3.1091109085894595]"
31,41.0,"[-0.5038115782846929, 0.2450555875175436, -3.1153732795213225]"
32,42.0,"[-0.5136862351698742, 0.2205206028916257, -3.1177670804014848]"
33,43.0,"[-0.4915810648720192, 0.21606188517712588, -3.110981380955615]"
34,44.0,"[-0.49671583981139616, 0.22787383577578318, -3.1134179750679074]"
35,45.0,"[-0.49874607894384154, 0.22779674082476908, -3.1185725403198883]"
36,46.0,"[-0.5071647958879827, 0.20006806374216515, -3.1213969772730468]"
37,47.0,"[-0.49561240427940817, 0.18582904154561336, -3.118967875430646]"
38,48.0,"[-0.4850698000853221, 0.18642962109252226, -3.118543042056449]"
39,49.0,"[-0.4832981270552664, 0.15245708235999314, -3.1122841715325]"
40,50.0,"[-0.5243571871837212, 0.13846423135584582, -3.097517673954944]"
41,51.0,"[-0.5022922473153302, 0.10667259476567856, -3.098042535592707]"
42,52.0,"[-0.5138176477418265, 0.09897887114640143, -3.096641352806631]"
43,53.0,"[-0.503320499632188, 0.10323419976575404, -3.1015939393924903]"
44,54.0,"[-0.5095417190411674, 0.09840371207220862, -3.102962128167464]"
45,55.0,"[-0.5222950304716533, 0.09891782034918993, -3.1043974305217277]"
46,56.0,"[-0.4925087246680859, 0.12921834307602514, -3.126306995356649]"
47,57.0,"[-0.474582656003873, 0.14459141884984608, -3.1195515278455903]"
48,58.0,"[-0.5007723911325831, 0.1632720502819798, -3.123296758586192]"
49,59.0,"[-0.5120102046702065, 0.15355666857687428, -3.126033623351526]"
50,60.0,"[-0.5062501997924784, 0.1522201117326345, -3.130190673873601]"
51,61.0,"[-0.518385155574561, 0.16596505433910988, -3.1236224841580555]"
52,62.0,"[-0.5017511574686551, 0.20375820746382398, -3.1415601477965316]"
53,63.0,"[-0.5063062830467635, 0.2373800885541672, -3.145255504726714]"
54,64.0,"[-0.53125585464093, 0.21628063084926466, -3.1303841880497085]"
55,65.0,"[-0.4787800051321142, 0.18687367936904037, -3.1273414544478424]"
56,66.0,"[-0.46963875230086904, 0.23232998259346155, -3.129909086848429]"
57,67.0,"[-0.4722566161113172, 0.22468729076239197, -3.128650122668253]"
58,68.0,"[-0.4782615398988686, 0.2170633707381288, -3.120628011527619]"
59,69.0,"[-0.4724577309334482, 0.21815251703147626, -3.126052223994419]"
60,70.0,"[-0.4572512970439319, 0.2213057765508403, -3.136126162759614]"
61,71.0,"[-0.463016077949334, 0.23329833000757366, -3.1300844490086748]"
62,72.0,"[-0.4773485365375272, 0.22976630545845345, -3.1206541873752314]"
63,73.0,"[-0.48024023850286035, 0.20001860743087643, -3.1297336353270495]"
64,74.0,"[-0.482139081032381, 0.1684670311906575, -3.1364512053063995]"
65,75.0,"[-0.4759493541305703, 0.1355675930829772, -3.1322094581719226]"
66,76.0,"[-0.5127269033632588, 0.12024282251227976, -3.118092444283578]"
67,77.0,"[-0.48287571350632963, 0.11525113551784565, -3.12557348443501]"
68,78.0,"[-0.5058485025896118, 0.12407091279753701, -3.1158989090725266]"
69,79.0,"[-0.48841280358911165, 0.12096893907186108, -3.1244356588412785]"
70,80.0,"[-0.47502190302099856, 0.13246059187430267, -3.134496540870644]"
71,81.0,"[-0.47810708055267603, 0.1314429272939938, -3.1338349297907113]"
72,82.0,"[-0.4919446273933121, 0.14111895940216482, -3.121753309573194]"
73,83.0,"[-0.46279019246468095, 0.14359599521677552, -3.131840440463834]"
74,84.0,"[-0.48236012657513544, 0.040967664744511675, -3.1286094609930744]"
